Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Ishøj Landsby;A;Socialdemokratiet;Listestemmer;51
1. Ishøj Landsby;A;Socialdemokratiet;Merete Amdisen;94
1. Ishøj Landsby;A;Socialdemokratiet;Kasper Bjering Søby Jensen;3
1. Ishøj Landsby;A;Socialdemokratiet;Kathrine Bley Amdisen;4
1. Ishøj Landsby;A;Socialdemokratiet;Thomas Hjorth Rasmussen;27
1. Ishøj Landsby;A;Socialdemokratiet;Helle Schaldemose Bagger;36
1. Ishøj Landsby;A;Socialdemokratiet;Erkan Yapici;0
1. Ishøj Landsby;A;Socialdemokratiet;Ronnie Efland;9
1. Ishøj Landsby;A;Socialdemokratiet;Henrik Olsen;5
1. Ishøj Landsby;A;Socialdemokratiet;Jørn Højmark;1
1. Ishøj Landsby;A;Socialdemokratiet;Aase Bagger;2
1. Ishøj Landsby;A;Socialdemokratiet;Awale Mohamed;8
1. Ishøj Landsby;A;Socialdemokratiet;Bayram Yüksel;0
1. Ishøj Landsby;A;Socialdemokratiet;John Dinesen;1
1. Ishøj Landsby;A;Socialdemokratiet;Karl Bilde Jensen;0
1. Ishøj Landsby;A;Socialdemokratiet;Jilali Daf;2
1. Ishøj Landsby;A;Socialdemokratiet;Murat Kütük;5
1. Ishøj Landsby;B;Radikale Venstre;Listestemmer;11
1. Ishøj Landsby;B;Radikale Venstre;Ali Güvercin;15
1. Ishøj Landsby;B;Radikale Venstre;Helle Marianne Olesen;4
1. Ishøj Landsby;B;Radikale Venstre;Ektaj Sulejmanovski;3
1. Ishøj Landsby;B;Radikale Venstre;Waris Mahmood;4
1. Ishøj Landsby;B;Radikale Venstre;Hasibe Dönmez;1
1. Ishøj Landsby;B;Radikale Venstre;Steen Dilling;0
1. Ishøj Landsby;C;Det Konservative Folkeparti;Listestemmer;20
1. Ishøj Landsby;C;Det Konservative Folkeparti;Lizette Cramon;124
1. Ishøj Landsby;D;IshøjDemokraterne;Listestemmer;11
1. Ishøj Landsby;D;IshøjDemokraterne;Annelise Madsen;45
1. Ishøj Landsby;D;IshøjDemokraterne;Kjeld Hildebrandt Hansen;3
1. Ishøj Landsby;D;IshøjDemokraterne;Benny Hansen;2
1. Ishøj Landsby;D;IshøjDemokraterne;Torben Frederiksen;3
1. Ishøj Landsby;D;IshøjDemokraterne;Karen Trine Cedervang;0
1. Ishøj Landsby;D;IshøjDemokraterne;Michael Brostrøm;0
