Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Hyllinge-Lyndby;A;Socialdemokratiet;Listestemmer;150
1. Hyllinge-Lyndby;A;Socialdemokratiet;Rikke Zwisler Grøndal, Hvalsø;46
1. Hyllinge-Lyndby;A;Socialdemokratiet;Poul Ricard Christensen, Hvalsø;10
1. Hyllinge-Lyndby;A;Socialdemokratiet;Bente Blumensaat, Ejby;27
1. Hyllinge-Lyndby;A;Socialdemokratiet;Martin Stokholm, Hvalsø;15
1. Hyllinge-Lyndby;A;Socialdemokratiet;Augusta Elmeskov, Kisserup;5
1. Hyllinge-Lyndby;A;Socialdemokratiet;Martin Monterossi, Hvalsø;4
1. Hyllinge-Lyndby;A;Socialdemokratiet;Jette Jensen, Vester Såby;2
1. Hyllinge-Lyndby;A;Socialdemokratiet;Burak Ulrik Ulucan, Osted;16
1. Hyllinge-Lyndby;A;Socialdemokratiet;Connie B. Jensen, Lejre;7
1. Hyllinge-Lyndby;A;Socialdemokratiet;Bjarne Ego Jørgensen, Ejby;3
1. Hyllinge-Lyndby;A;Socialdemokratiet;Jens Nielsen, Hvalsø;0
1. Hyllinge-Lyndby;A;Socialdemokratiet;Søren Løfwall-Thorslund, Ejby;4
1. Hyllinge-Lyndby;A;Socialdemokratiet;Arvid Larsen, Vester Såby;0
1. Hyllinge-Lyndby;A;Socialdemokratiet;Herluf Hansen, Lyndby;1
1. Hyllinge-Lyndby;B;Radikale Venstre;Listestemmer;26
1. Hyllinge-Lyndby;B;Radikale Venstre;Thomas Bisgaard, Osted;6
1. Hyllinge-Lyndby;B;Radikale Venstre;Rasmus Mackeprang, Særløse;0
1. Hyllinge-Lyndby;B;Radikale Venstre;Lars Kristensen, Allerslev;5
1. Hyllinge-Lyndby;B;Radikale Venstre;Rie Haagen, Englerup;8
1. Hyllinge-Lyndby;B;Radikale Venstre;Rasmus Francke Harboe, Kornerup;1
1. Hyllinge-Lyndby;B;Radikale Venstre;Asta Rasmussen, Ejby;6
1. Hyllinge-Lyndby;B;Radikale Venstre;Ole Bjørn, Højby;3
1. Hyllinge-Lyndby;B;Radikale Venstre;Thea Bang, Hvalsø;3
1. Hyllinge-Lyndby;C;Det Konservative Folkeparti;Listestemmer;42
1. Hyllinge-Lyndby;C;Det Konservative Folkeparti;Ida Dyhr;62
1. Hyllinge-Lyndby;C;Det Konservative Folkeparti;Bjørn Lykke Sørensen;3
1. Hyllinge-Lyndby;C;Det Konservative Folkeparti;Grethe Nørtoft Saabye;23
1. Hyllinge-Lyndby;C;Det Konservative Folkeparti;Rune Nymann;3
1. Hyllinge-Lyndby;C;Det Konservative Folkeparti;Henrik Svanholm;5
1. Hyllinge-Lyndby;C;Det Konservative Folkeparti;Stig Olsen;4
1. Hyllinge-Lyndby;C;Det Konservative Folkeparti;Jan Hovmand;0
1. Hyllinge-Lyndby;C;Det Konservative Folkeparti;Peter Kaas-Claesson;2
1. Hyllinge-Lyndby;F;SF - Socialistisk Folkeparti;Listestemmer;122
1. Hyllinge-Lyndby;F;SF - Socialistisk Folkeparti;Mikael Ralf Baade Larsen, Sæby, Gershøj;129
1. Hyllinge-Lyndby;F;SF - Socialistisk Folkeparti;Claus Jørgensen, Lejre;27
1. Hyllinge-Lyndby;F;SF - Socialistisk Folkeparti;Anders Moe, Lejre;23
1. Hyllinge-Lyndby;F;SF - Socialistisk Folkeparti;Irene Porse, Kisserup, Hvalsø;9
1. Hyllinge-Lyndby;F;SF - Socialistisk Folkeparti;Nicklas Bjeverskov, Ejby;26
1. Hyllinge-Lyndby;F;SF - Socialistisk Folkeparti;Anders Bredsdorff, Osted;2
1. Hyllinge-Lyndby;F;SF - Socialistisk Folkeparti;Susanne Borup, Trællerup;7
1. Hyllinge-Lyndby;F;SF - Socialistisk Folkeparti;Jonathan Clemens Justesen, Allerslev, Lejre;2
1. Hyllinge-Lyndby;F;SF - Socialistisk Folkeparti;Nicoline Helweg, Hvalsø;12
1. Hyllinge-Lyndby;F;SF - Socialistisk Folkeparti;Pia Qvist, Øm;2
1. Hyllinge-Lyndby;F;SF - Socialistisk Folkeparti;Jane Brenøe, Lejre;3
1. Hyllinge-Lyndby;I;Liberal Alliance;Listestemmer;59
1. Hyllinge-Lyndby;I;Liberal Alliance;Joachim Riis;60
1. Hyllinge-Lyndby;I;Liberal Alliance;Nicklas Pedersen;12
1. Hyllinge-Lyndby;I;Liberal Alliance;Klaus Kristiansen;15
1. Hyllinge-Lyndby;I;Liberal Alliance;Hector Kristiansen;1
1. Hyllinge-Lyndby;I;Liberal Alliance;Mads Brenøe;8
1. Hyllinge-Lyndby;I;Liberal Alliance;Anders Hovgaard Møller;0
1. Hyllinge-Lyndby;L;Lokallisten Levende Landsbyer Lejre;Listestemmer;22
1. Hyllinge-Lyndby;L;Lokallisten Levende Landsbyer Lejre;Birgitte Schytte, Kirke Såby;35
1. Hyllinge-Lyndby;L;Lokallisten Levende Landsbyer Lejre;Niels Boye, Kirke Såby;6
1. Hyllinge-Lyndby;L;Lokallisten Levende Landsbyer Lejre;Michaeel Emborg, Kirke Såby;4
1. Hyllinge-Lyndby;L;Lokallisten Levende Landsbyer Lejre;Bo Boje, Kirke Såby;1
1. Hyllinge-Lyndby;L;Lokallisten Levende Landsbyer Lejre;Bettina Hinrichsen, Hvalsø;3
1. Hyllinge-Lyndby;L;Lokallisten Levende Landsbyer Lejre;Mette Schaufuss, Kirke Såby;2
1. Hyllinge-Lyndby;L;Lokallisten Levende Landsbyer Lejre;Jon Lorentsfeldt, Kirke Hyllinge;5
1. Hyllinge-Lyndby;L;Lokallisten Levende Landsbyer Lejre;Jeannette Mørch Miran, Højby, Lejre;0
1. Hyllinge-Lyndby;L;Lokallisten Levende Landsbyer Lejre;Kim Hansen, Hvalsø;0
1. Hyllinge-Lyndby;L;Lokallisten Levende Landsbyer Lejre;Lis Sigersted, Kirke Hyllinge;6
1. Hyllinge-Lyndby;L;Lokallisten Levende Landsbyer Lejre;Henrik Poulsen, Lejre;0
1. Hyllinge-Lyndby;L;Lokallisten Levende Landsbyer Lejre;Desi Poulsen, Højby, Lejre;0
1. Hyllinge-Lyndby;L;Lokallisten Levende Landsbyer Lejre;Pernille Sofia Glyngø, Kirke Såby;3
1. Hyllinge-Lyndby;L;Lokallisten Levende Landsbyer Lejre;Jesper Reumert, Kirke Såby;0
1. Hyllinge-Lyndby;L;Lokallisten Levende Landsbyer Lejre;Lone Stampe, Kirke Såby;1
1. Hyllinge-Lyndby;L;Lokallisten Levende Landsbyer Lejre;Søren Tønning, Ejby;3
1. Hyllinge-Lyndby;M;Moderaterne;Listestemmer;4
1. Hyllinge-Lyndby;M;Moderaterne;Christian Palmelund, Osted;2
1. Hyllinge-Lyndby;M;Moderaterne;Torben Conduah Hansen, Glim;1
1. Hyllinge-Lyndby;N;Nærdemokratiet;Listestemmer;1
1. Hyllinge-Lyndby;N;Nærdemokratiet;Sine Gormsen;6
1. Hyllinge-Lyndby;N;Nærdemokratiet;Mikkel Mojo Møller Johansen;3
1. Hyllinge-Lyndby;N;Nærdemokratiet;Jeppe Amossen;2
1. Hyllinge-Lyndby;N;Nærdemokratiet;Mathias Grip;2
1. Hyllinge-Lyndby;O;Dansk Folkeparti;Listestemmer;164
1. Hyllinge-Lyndby;O;Dansk Folkeparti;Steen Finn Hansen;24
1. Hyllinge-Lyndby;O;Dansk Folkeparti;Christian Harre;2
1. Hyllinge-Lyndby;O;Dansk Folkeparti;Lotte Hauritz;9
1. Hyllinge-Lyndby;O;Dansk Folkeparti;Mille Qvistgaard;22
1. Hyllinge-Lyndby;O;Dansk Folkeparti;Rolf Lorentzen;3
1. Hyllinge-Lyndby;O;Dansk Folkeparti;Michael Søborg;3
1. Hyllinge-Lyndby;O;Dansk Folkeparti;Betty Clausen;3
1. Hyllinge-Lyndby;V;Venstre, Danmarks Liberale Parti;Listestemmer;114
1. Hyllinge-Lyndby;V;Venstre, Danmarks Liberale Parti;Tina Mandrup;265
1. Hyllinge-Lyndby;V;Venstre, Danmarks Liberale Parti;Flemming Damgaard Larsen;92
1. Hyllinge-Lyndby;V;Venstre, Danmarks Liberale Parti;Lotte Greve;132
1. Hyllinge-Lyndby;V;Venstre, Danmarks Liberale Parti;Jens K. Jensen;33
1. Hyllinge-Lyndby;V;Venstre, Danmarks Liberale Parti;Carsten Helles Rasmussen;1
1. Hyllinge-Lyndby;V;Venstre, Danmarks Liberale Parti;Signe Kirstine Johansen;42
1. Hyllinge-Lyndby;V;Venstre, Danmarks Liberale Parti;Hans C. Kongsgaard;3
1. Hyllinge-Lyndby;V;Venstre, Danmarks Liberale Parti;Henning Nielsen;25
1. Hyllinge-Lyndby;V;Venstre, Danmarks Liberale Parti;Dorte Kiilerich;89
1. Hyllinge-Lyndby;V;Venstre, Danmarks Liberale Parti;Christina Nielsen;7
1. Hyllinge-Lyndby;V;Venstre, Danmarks Liberale Parti;Marianne Husted;8
1. Hyllinge-Lyndby;V;Venstre, Danmarks Liberale Parti;Jakob Hedegaard;11
1. Hyllinge-Lyndby;V;Venstre, Danmarks Liberale Parti;Peter Vestergaard;2
1. Hyllinge-Lyndby;V;Venstre, Danmarks Liberale Parti;Thomas Hartmann;2
1. Hyllinge-Lyndby;V;Venstre, Danmarks Liberale Parti;Martin Lastrup Hviid;4
1. Hyllinge-Lyndby;V;Venstre, Danmarks Liberale Parti;Heidi Lykke Källstrøm;5
1. Hyllinge-Lyndby;V;Venstre, Danmarks Liberale Parti;Brian Dall;8
1. Hyllinge-Lyndby;V;Venstre, Danmarks Liberale Parti;Ole Nielsen;0
1. Hyllinge-Lyndby;V;Venstre, Danmarks Liberale Parti;Henrik Svendsen;0
1. Hyllinge-Lyndby;V;Venstre, Danmarks Liberale Parti;Lone Ipsen;5
1. Hyllinge-Lyndby;V;Venstre, Danmarks Liberale Parti;Kim Magnussen;1
1. Hyllinge-Lyndby;Æ;Danmarksdemokraterne - Inger Støjberg;Listestemmer;62
1. Hyllinge-Lyndby;Æ;Danmarksdemokraterne - Inger Støjberg;Ole Blickfeldt;30
1. Hyllinge-Lyndby;Æ;Danmarksdemokraterne - Inger Støjberg;Astrid Barslund;38
1. Hyllinge-Lyndby;Æ;Danmarksdemokraterne - Inger Støjberg;Ingvald á Kamarinum;7
1. Hyllinge-Lyndby;Æ;Danmarksdemokraterne - Inger Støjberg;Regina de Gijsel;13
1. Hyllinge-Lyndby;Æ;Danmarksdemokraterne - Inger Støjberg;Chresta Falkenberg;0
1. Hyllinge-Lyndby;Ø;Enhedslisten;Listestemmer;55
1. Hyllinge-Lyndby;Ø;Enhedslisten;Amanda Badu, Lejre;40
1. Hyllinge-Lyndby;Ø;Enhedslisten;Ivan Mott, Øm;11
1. Hyllinge-Lyndby;Ø;Enhedslisten;Peter K. Sølvsten, Gl. Lejre;5
1. Hyllinge-Lyndby;Ø;Enhedslisten;Mia Mottelson, Allerslev;7
1. Hyllinge-Lyndby;Ø;Enhedslisten;Mathilde Mei Jørgensen, Kattinge;3
1. Hyllinge-Lyndby;Ø;Enhedslisten;Troels Land Landkrogh, Allerslev;0
1. Hyllinge-Lyndby;Ø;Enhedslisten;Anders Jørgensen, Kattinge;3
1. Hyllinge-Lyndby;Ø;Enhedslisten;Jonas Thyregod, Hvalsø;3
1. Hyllinge-Lyndby;Ø;Enhedslisten;Carsten Christensen, Kattinge;0
1. Hyllinge-Lyndby;Ø;Enhedslisten;Henning Kosack, Lejre;0
1. Hyllinge-Lyndby;Ø;Enhedslisten;Joan Yrsa Pedersen, Hvalsø;0
