Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Ringsted Nørretorv;A;Socialdemokratiet;Listestemmer;235
1. Ringsted Nørretorv;A;Socialdemokratiet;Mette Ahm-Petersen;482
1. Ringsted Nørretorv;A;Socialdemokratiet;Sadik Zeki Topcu;104
1. Ringsted Nørretorv;A;Socialdemokratiet;Sine Reffstrup;115
1. Ringsted Nørretorv;A;Socialdemokratiet;Svend-Erik Jakobsen;27
1. Ringsted Nørretorv;A;Socialdemokratiet;Anja Resen;24
1. Ringsted Nørretorv;A;Socialdemokratiet;John Fobian-Madsen;5
1. Ringsted Nørretorv;A;Socialdemokratiet;Lisbeth K. Andersen;25
1. Ringsted Nørretorv;A;Socialdemokratiet;Jonas Helgesen;60
1. Ringsted Nørretorv;A;Socialdemokratiet;Valentin Andersen;11
1. Ringsted Nørretorv;A;Socialdemokratiet;Flemming Skærbæk;7
1. Ringsted Nørretorv;B;Radikale Venstre;Listestemmer;50
1. Ringsted Nørretorv;B;Radikale Venstre;Marie Kruse;50
1. Ringsted Nørretorv;B;Radikale Venstre;Helen Nørret Schmidt;19
1. Ringsted Nørretorv;B;Radikale Venstre;Martin Bork;13
1. Ringsted Nørretorv;B;Radikale Venstre;Magnus Schultz Pedersen;8
1. Ringsted Nørretorv;B;Radikale Venstre;Jeanet Nordam Suadicani;8
1. Ringsted Nørretorv;B;Radikale Venstre;Torben Lollike;10
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Listestemmer;292
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Andreas Karlsen;1551
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Benjamin Pedersen;247
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Tina-Mia Eriksen;128
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Susanne Cornelius;110
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Thomas Vangsaa;26
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Per Nygaard;108
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Timo Jensen;50
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Jørn Lauritzen;7
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Birthe Jacob Wordenskjold;17
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Aladdin Yildirim;64
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Karl Johan Nordman;6
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Lucas Martin Pedersen;15
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Mette Sjøblom Skals;10
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Oliver  Larsen;25
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Jess Friis;3
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Peter Fisker Lassen;3
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Jan M. Johansen;7
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Torsten Desauv;4
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Mette Kathrine Millard;9
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Jack Fejerskov;37
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Klaus Huus;0
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Andreas Stensig Jensen;6
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Ole Keinicke Christensen;5
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Charlotte Poll;4
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Karin Egeberg;3
1. Ringsted Nørretorv;D;Nye Borgerlige;Listestemmer;4
1. Ringsted Nørretorv;D;Nye Borgerlige;Claus Bedemann;62
1. Ringsted Nørretorv;D;Nye Borgerlige;Ulrik Riis;6
1. Ringsted Nørretorv;D;Nye Borgerlige;Thurid Joensen;1
1. Ringsted Nørretorv;D;Nye Borgerlige;Helle Riis;2
1. Ringsted Nørretorv;D;Nye Borgerlige;Leif Nebbelunde;3
1. Ringsted Nørretorv;D;Nye Borgerlige;Hanne Bedemann;1
1. Ringsted Nørretorv;F;SF - Socialistisk Folkeparti;Listestemmer;169
1. Ringsted Nørretorv;F;SF - Socialistisk Folkeparti;Britta Nielsen;118
1. Ringsted Nørretorv;F;SF - Socialistisk Folkeparti;Lene Reffstrup;101
1. Ringsted Nørretorv;F;SF - Socialistisk Folkeparti;Christina Dilling-Munk;30
1. Ringsted Nørretorv;F;SF - Socialistisk Folkeparti;Reinhold Schæfer;44
1. Ringsted Nørretorv;F;SF - Socialistisk Folkeparti;Jørn Christensen;15
1. Ringsted Nørretorv;F;SF - Socialistisk Folkeparti;Anne Marie Østergaard;31
1. Ringsted Nørretorv;I;Liberal Alliance;Listestemmer;46
1. Ringsted Nørretorv;I;Liberal Alliance;Henrik Thomsen, Allindemagle;27
1. Ringsted Nørretorv;I;Liberal Alliance;Michael Burø Redke, Benløse;9
1. Ringsted Nørretorv;I;Liberal Alliance;Maja Burø Redke, Benløse;13
1. Ringsted Nørretorv;I;Liberal Alliance;Lotte Kristine Højgaard de Blanck, Slangerup;8
1. Ringsted Nørretorv;I;Liberal Alliance;Tina Türck, Allindemagle;1
1. Ringsted Nørretorv;I;Liberal Alliance;Jakob Møller-Pedersen, Ringsted;8
1. Ringsted Nørretorv;I;Liberal Alliance;Birthe Mogensen, Nordrup;1
1. Ringsted Nørretorv;K;KristenDemokraterne;Listestemmer;3
1. Ringsted Nørretorv;K;KristenDemokraterne;Finn Andersen;15
1. Ringsted Nørretorv;K;KristenDemokraterne;Mia Laibjørn;0
1. Ringsted Nørretorv;K;KristenDemokraterne;Preben Andersen;0
1. Ringsted Nørretorv;L;Landsbylisten;Listestemmer;0
1. Ringsted Nørretorv;L;Landsbylisten;Klaus Bodholt Andreasen, Vigersted;6
1. Ringsted Nørretorv;N;Det Nære Parti;Listestemmer;1
1. Ringsted Nørretorv;N;Det Nære Parti;Sara Jørgensen;4
1. Ringsted Nørretorv;N;Det Nære Parti;Kenny Olsson;0
1. Ringsted Nørretorv;O;Dansk Folkeparti;Listestemmer;132
1. Ringsted Nørretorv;O;Dansk Folkeparti;Per Flor, Sigersted Huse;59
1. Ringsted Nørretorv;O;Dansk Folkeparti;Anne Fussing, Egerup;21
1. Ringsted Nørretorv;O;Dansk Folkeparti;Pia Fussing, Gyrstinge;10
1. Ringsted Nørretorv;O;Dansk Folkeparti;Henrik Luntner, Ringsted;19
1. Ringsted Nørretorv;V;Venstre, Danmarks Liberale Parti;Listestemmer;158
1. Ringsted Nørretorv;V;Venstre, Danmarks Liberale Parti;Klaus Hansen;373
1. Ringsted Nørretorv;V;Venstre, Danmarks Liberale Parti;Johnny B. L. Dahlgaard;89
1. Ringsted Nørretorv;V;Venstre, Danmarks Liberale Parti;Kenneth Lind;29
1. Ringsted Nørretorv;V;Venstre, Danmarks Liberale Parti;Karin Nødgaard;85
1. Ringsted Nørretorv;V;Venstre, Danmarks Liberale Parti;Lasse Mølholt;50
1. Ringsted Nørretorv;V;Venstre, Danmarks Liberale Parti;Jette Nygaard;65
1. Ringsted Nørretorv;V;Venstre, Danmarks Liberale Parti;Mazlum Øz;100
1. Ringsted Nørretorv;V;Venstre, Danmarks Liberale Parti;Lotte Birkestrøm;26
1. Ringsted Nørretorv;V;Venstre, Danmarks Liberale Parti;Nadja Henriksen;11
1. Ringsted Nørretorv;V;Venstre, Danmarks Liberale Parti;Kristian Møller;0
1. Ringsted Nørretorv;V;Venstre, Danmarks Liberale Parti;Mikkel Olsen;4
1. Ringsted Nørretorv;V;Venstre, Danmarks Liberale Parti;Jørgen Barsøe;1
1. Ringsted Nørretorv;V;Venstre, Danmarks Liberale Parti;Lars L. Olsen;0
1. Ringsted Nørretorv;V;Venstre, Danmarks Liberale Parti;Jesper Jørgensen;0
1. Ringsted Nørretorv;V;Venstre, Danmarks Liberale Parti;Holger Lunden;2
1. Ringsted Nørretorv;Æ;Danmarksdemokraterne - Inger Støjberg;Listestemmer;61
1. Ringsted Nørretorv;Æ;Danmarksdemokraterne - Inger Støjberg;Michael Rosenmark;16
1. Ringsted Nørretorv;Æ;Danmarksdemokraterne - Inger Støjberg;Jeanne Blum;16
1. Ringsted Nørretorv;Æ;Danmarksdemokraterne - Inger Støjberg;Louise Holmsted Kristensen;15
1. Ringsted Nørretorv;Æ;Danmarksdemokraterne - Inger Støjberg;Carsten Petersen;9
1. Ringsted Nørretorv;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;101
1. Ringsted Nørretorv;Ø;Enhedslisten - De Rød-Grønne;Mona Musse;83
1. Ringsted Nørretorv;Ø;Enhedslisten - De Rød-Grønne;Liselotte Knudsen;8
1. Ringsted Nørretorv;Ø;Enhedslisten - De Rød-Grønne;Anne-Marie Venge;40
1. Ringsted Nørretorv;Ø;Enhedslisten - De Rød-Grønne;Andreas Otte;25
1. Ringsted Nørretorv;Ø;Enhedslisten - De Rød-Grønne;Misja Lykke Breith Toldam;3
1. Ringsted Nørretorv;Ø;Enhedslisten - De Rød-Grønne;Lene Boye-Hansen;1
2. Bringstrup;A;Socialdemokratiet;Listestemmer;10
2. Bringstrup;A;Socialdemokratiet;Mette Ahm-Petersen;23
2. Bringstrup;A;Socialdemokratiet;Sadik Zeki Topcu;0
2. Bringstrup;A;Socialdemokratiet;Sine Reffstrup;1
2. Bringstrup;A;Socialdemokratiet;Svend-Erik Jakobsen;0
2. Bringstrup;A;Socialdemokratiet;Anja Resen;4
2. Bringstrup;A;Socialdemokratiet;John Fobian-Madsen;0
2. Bringstrup;A;Socialdemokratiet;Lisbeth K. Andersen;2
2. Bringstrup;A;Socialdemokratiet;Jonas Helgesen;5
2. Bringstrup;A;Socialdemokratiet;Valentin Andersen;2
2. Bringstrup;A;Socialdemokratiet;Flemming Skærbæk;0
2. Bringstrup;B;Radikale Venstre;Listestemmer;1
2. Bringstrup;B;Radikale Venstre;Marie Kruse;3
2. Bringstrup;B;Radikale Venstre;Helen Nørret Schmidt;1
2. Bringstrup;B;Radikale Venstre;Martin Bork;0
2. Bringstrup;B;Radikale Venstre;Magnus Schultz Pedersen;1
2. Bringstrup;B;Radikale Venstre;Jeanet Nordam Suadicani;0
2. Bringstrup;B;Radikale Venstre;Torben Lollike;0
2. Bringstrup;C;Det Konservative Folkeparti;Listestemmer;23
2. Bringstrup;C;Det Konservative Folkeparti;Andreas Karlsen;77
2. Bringstrup;C;Det Konservative Folkeparti;Benjamin Pedersen;11
2. Bringstrup;C;Det Konservative Folkeparti;Tina-Mia Eriksen;5
2. Bringstrup;C;Det Konservative Folkeparti;Susanne Cornelius;2
2. Bringstrup;C;Det Konservative Folkeparti;Thomas Vangsaa;0
2. Bringstrup;C;Det Konservative Folkeparti;Per Nygaard;1
2. Bringstrup;C;Det Konservative Folkeparti;Timo Jensen;0
2. Bringstrup;C;Det Konservative Folkeparti;Jørn Lauritzen;0
2. Bringstrup;C;Det Konservative Folkeparti;Birthe Jacob Wordenskjold;3
2. Bringstrup;C;Det Konservative Folkeparti;Aladdin Yildirim;2
2. Bringstrup;C;Det Konservative Folkeparti;Karl Johan Nordman;1
2. Bringstrup;C;Det Konservative Folkeparti;Lucas Martin Pedersen;0
2. Bringstrup;C;Det Konservative Folkeparti;Mette Sjøblom Skals;0
2. Bringstrup;C;Det Konservative Folkeparti;Oliver  Larsen;2
2. Bringstrup;C;Det Konservative Folkeparti;Jess Friis;11
2. Bringstrup;C;Det Konservative Folkeparti;Peter Fisker Lassen;1
2. Bringstrup;C;Det Konservative Folkeparti;Jan M. Johansen;0
2. Bringstrup;C;Det Konservative Folkeparti;Torsten Desauv;0
2. Bringstrup;C;Det Konservative Folkeparti;Mette Kathrine Millard;0
2. Bringstrup;C;Det Konservative Folkeparti;Jack Fejerskov;0
2. Bringstrup;C;Det Konservative Folkeparti;Klaus Huus;2
2. Bringstrup;C;Det Konservative Folkeparti;Andreas Stensig Jensen;2
2. Bringstrup;C;Det Konservative Folkeparti;Ole Keinicke Christensen;1
2. Bringstrup;C;Det Konservative Folkeparti;Charlotte Poll;0
2. Bringstrup;C;Det Konservative Folkeparti;Karin Egeberg;0
2. Bringstrup;D;Nye Borgerlige;Listestemmer;0
