Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Birkerød;A;Socialdemokratiet;Listestemmer;164
1. Birkerød;A;Socialdemokratiet;Anette Maj Billesbølle, Holte;80
1. Birkerød;A;Socialdemokratiet;Alexander Baadh, Trørød;4
1. Birkerød;A;Socialdemokratiet;Alice Rudkjær, Bistrup;13
1. Birkerød;A;Socialdemokratiet;Søren Rye, Birkerød;24
1. Birkerød;A;Socialdemokratiet;Heidi Falden, Birkerød;34
1. Birkerød;A;Socialdemokratiet;Thomas Les Rasmussen, Nærum;8
1. Birkerød;A;Socialdemokratiet;Erik Eugen Olsen, Birkerød;36
1. Birkerød;A;Socialdemokratiet;Arne C. Holm, Birkerød;12
1. Birkerød;B;Radikale Venstre;Listestemmer;150
1. Birkerød;B;Radikale Venstre;Court Møller, Birkerød;137
1. Birkerød;B;Radikale Venstre;Jacob Netteberg, Birkerød;94
1. Birkerød;B;Radikale Venstre;Freja Eva Lockenwitz, Gl. Holte;48
1. Birkerød;B;Radikale Venstre;Christian Fink Elkjær, Birkerød;31
1. Birkerød;B;Radikale Venstre;Mark Hein, Birkerød;5
1. Birkerød;B;Radikale Venstre;Amalie Heegaard, Bistrup;56
1. Birkerød;B;Radikale Venstre;Kristoffer Boye Astrup, Nærum;4
1. Birkerød;B;Radikale Venstre;Mette Stenby Andresen, Birkerød;68
1. Birkerød;B;Radikale Venstre;Henrik Fænøe, Nærum;1
1. Birkerød;B;Radikale Venstre;Anne D. Manniche, Holte;1
1. Birkerød;C;Det Konservative Folkeparti;Listestemmer;282
1. Birkerød;C;Det Konservative Folkeparti;Ann Sofie Orth, Holte;182
1. Birkerød;C;Det Konservative Folkeparti;Christoffer Buster Reinhardt, Holte;74
1. Birkerød;C;Det Konservative Folkeparti;Knud Skadborg, Birkerød;54
1. Birkerød;C;Det Konservative Folkeparti;Nicola Emily Larsen, Birkerød;207
1. Birkerød;C;Det Konservative Folkeparti;Martin Barfoed, Vedbæk;8
1. Birkerød;C;Det Konservative Folkeparti;Mette Carstensen, Trørød;30
1. Birkerød;C;Det Konservative Folkeparti;Alexander Friborg, Nærum;6
1. Birkerød;C;Det Konservative Folkeparti;Carsten Winther, Trørød;6
1. Birkerød;C;Det Konservative Folkeparti;Anne Vinther Schmidt, Vedbæk;8
1. Birkerød;C;Det Konservative Folkeparti;Claus Larsen, Vedbæk;2
1. Birkerød;C;Det Konservative Folkeparti;Frederik Roose Øvlisen, Trørød;2
1. Birkerød;C;Det Konservative Folkeparti;Conny Birkholm, Bistrup;5
1. Birkerød;C;Det Konservative Folkeparti;Morten Jarlbæk Pedersen, Nærum;7
1. Birkerød;C;Det Konservative Folkeparti;Jeanett Debb, Skodsborg;4
1. Birkerød;C;Det Konservative Folkeparti;Henrik Skou Hansen, Gl. Holte;2
1. Birkerød;C;Det Konservative Folkeparti;Lene Juhl Stener, Holte;2
1. Birkerød;C;Det Konservative Folkeparti;Elena Markova, Trørød;4
1. Birkerød;C;Det Konservative Folkeparti;Claus Hjorting, Gl. Holte;0
1. Birkerød;C;Det Konservative Folkeparti;Eric Beran, Bistrup;3
1. Birkerød;C;Det Konservative Folkeparti;Gitte D'Arcy, Birkerød;26
1. Birkerød;C;Det Konservative Folkeparti;Einar Bolt, Skodsborg;1
1. Birkerød;C;Det Konservative Folkeparti;Sirenetta Poulsen, Trørød;2
1. Birkerød;C;Det Konservative Folkeparti;Henrik Mordhorst, Holte;0
1. Birkerød;C;Det Konservative Folkeparti;Lars V. Søndergaard-Nielsen, Birkerød;16
1. Birkerød;C;Det Konservative Folkeparti;Hanne Gerner, Nærum;1
1. Birkerød;C;Det Konservative Folkeparti;Elisabeth Ildal, Holte;1
1. Birkerød;F;SF - Socialistisk Folkeparti;Listestemmer;133
1. Birkerød;F;SF - Socialistisk Folkeparti;Dorte Nørbo;55
1. Birkerød;F;SF - Socialistisk Folkeparti;Martin Rosenkilde;76
1. Birkerød;F;SF - Socialistisk Folkeparti;Per Baar Kæseler;1
1. Birkerød;F;SF - Socialistisk Folkeparti;Kurt Petersen;12
1. Birkerød;F;SF - Socialistisk Folkeparti;Asger Ahn;12
1. Birkerød;F;SF - Socialistisk Folkeparti;Anne Udsholt;1
1. Birkerød;F;SF - Socialistisk Folkeparti;Rasmus Petersen;1
1. Birkerød;F;SF - Socialistisk Folkeparti;Birgitte Højer Poulsen;6
1. Birkerød;I;Liberal Alliance;Listestemmer;113
1. Birkerød;I;Liberal Alliance;Lars Høyer Holmqvist, Ubberød - Brådebæk;60
1. Birkerød;I;Liberal Alliance;Morten Rønager, Nærum;17
1. Birkerød;I;Liberal Alliance;Anders Nim, Søllerød;9
1. Birkerød;I;Liberal Alliance;Anja Christine Røgind, Vedbæk;19
1. Birkerød;I;Liberal Alliance;Morten Buchwald, Sandbjerg;8
1. Birkerød;I;Liberal Alliance;Jesper Trommer Volf, Holte;9
1. Birkerød;I;Liberal Alliance;Toke Thaarup Elmøe, Holte;5
1. Birkerød;L;Lokallisten;Listestemmer;87
1. Birkerød;L;Lokallisten;Anne Christiansen;106
1. Birkerød;L;Lokallisten;Khaled Mustapha;196
1. Birkerød;L;Lokallisten;Morten Noppenau;52
1. Birkerød;L;Lokallisten;Sanna Lund;6
1. Birkerød;L;Lokallisten;Mogens Wolf Johansen;0
1. Birkerød;L;Lokallisten;Emiline Christensen;5
1. Birkerød;L;Lokallisten;Luc de Visme;11
1. Birkerød;M;Moderaterne;Listestemmer;22
1. Birkerød;M;Moderaterne;Søren Hyldgaard;79
1. Birkerød;M;Moderaterne;Mette Munck;3
1. Birkerød;M;Moderaterne;Claus Ladefoged;3
1. Birkerød;M;Moderaterne;Susanne Bartholdy;1
1. Birkerød;M;Moderaterne;Peter Johansen;0
1. Birkerød;M;Moderaterne;Henrik Herman;1
1. Birkerød;M;Moderaterne;Annette Hansen;1
1. Birkerød;M;Moderaterne;David Rosenstrøm;0
1. Birkerød;M;Moderaterne;Torben Møller Wad Nørgaard;3
1. Birkerød;M;Moderaterne;Mikael Munk;0
1. Birkerød;O;Dansk Folkeparti;Listestemmer;66
1. Birkerød;O;Dansk Folkeparti;Jan Erik Messmann;42
1. Birkerød;O;Dansk Folkeparti;Rasmus Maglekilde-Micheelsen;12
1. Birkerød;V;Venstre, Danmarks Liberale Parti;Listestemmer;174
1. Birkerød;V;Venstre, Danmarks Liberale Parti;Jens Kloppenborg;144
1. Birkerød;V;Venstre, Danmarks Liberale Parti;Julie Quass;40
1. Birkerød;V;Venstre, Danmarks Liberale Parti;Randi Mondorf;51
1. Birkerød;V;Venstre, Danmarks Liberale Parti;Malene Barkhus;19
1. Birkerød;V;Venstre, Danmarks Liberale Parti;Per Carøe;14
1. Birkerød;V;Venstre, Danmarks Liberale Parti;Anders Modey;82
1. Birkerød;V;Venstre, Danmarks Liberale Parti;Peter Borresen;0
1. Birkerød;V;Venstre, Danmarks Liberale Parti;Charlotte Antonsen;11
1. Birkerød;V;Venstre, Danmarks Liberale Parti;Jesper Winther Andersen;10
1. Birkerød;V;Venstre, Danmarks Liberale Parti;Ulla Thillerup;5
1. Birkerød;V;Venstre, Danmarks Liberale Parti;Flemming Scheel;1
1. Birkerød;V;Venstre, Danmarks Liberale Parti;Sven Kolstrup;1
1. Birkerød;V;Venstre, Danmarks Liberale Parti;Lars Kristensen;1
1. Birkerød;V;Venstre, Danmarks Liberale Parti;Ulrik Iversen;0
1. Birkerød;V;Venstre, Danmarks Liberale Parti;Niels Jarnø Johansen;8
1. Birkerød;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;117
1. Birkerød;Ø;Enhedslisten - De Rød-Grønne;Christoffer Emil Jexen, Birkerød;146
1. Birkerød;Ø;Enhedslisten - De Rød-Grønne;Aleksandra Maria Spangsege, Nærum;16
1. Birkerød;Ø;Enhedslisten - De Rød-Grønne;Lars Gissel, Vedbæk;15
1. Birkerød;Ø;Enhedslisten - De Rød-Grønne;Thea Hirsch, Trørød;3
1. Birkerød;Ø;Enhedslisten - De Rød-Grønne;Signe Meyer, Birkerød;43
