Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Vestamager;A;Socialdemokratiet;Listestemmer;1086
1. Vestamager;A;Socialdemokratiet;Allan Andersen;
1. Vestamager;A;Socialdemokratiet;Annette Betak;
1. Vestamager;A;Socialdemokratiet;Klaus Bach;
1. Vestamager;A;Socialdemokratiet;Esther Metzon;
1. Vestamager;A;Socialdemokratiet;Lars Hein;
1. Vestamager;A;Socialdemokratiet;Chastine Nygaard Engqvist;
1. Vestamager;A;Socialdemokratiet;Marcus Jepsen;
1. Vestamager;A;Socialdemokratiet;Søren Hallum-Andersen;
1. Vestamager;A;Socialdemokratiet;Thomas Arentoft Hinsby;
1. Vestamager;A;Socialdemokratiet;Peter Hoffmann Nielsen;
1. Vestamager;A;Socialdemokratiet;Marianne Kold;
1. Vestamager;A;Socialdemokratiet;Michael O. Jørgensen;
1. Vestamager;A;Socialdemokratiet;Allan-Ivan Kristensen;
1. Vestamager;B;Radikale Venstre;Listestemmer;120
1. Vestamager;B;Radikale Venstre;Bjørn Bjerrehøj;
1. Vestamager;B;Radikale Venstre;Kasper Langelund;
1. Vestamager;B;Radikale Venstre;Agata Slewa;
1. Vestamager;B;Radikale Venstre;Morten Jensen;
1. Vestamager;B;Radikale Venstre;Sebastian Winslow;
1. Vestamager;C;Det Konservative Folkeparti;Listestemmer;308
1. Vestamager;C;Det Konservative Folkeparti;Carsten Fuhr;
1. Vestamager;C;Det Konservative Folkeparti;Patrick Lehto;
1. Vestamager;C;Det Konservative Folkeparti;Monika Karpinska Dollerup;
1. Vestamager;C;Det Konservative Folkeparti;Filip Andrzej Porebski;
1. Vestamager;C;Det Konservative Folkeparti;Jacob Strandgaard Andersen;
1. Vestamager;C;Det Konservative Folkeparti;Claus Skaalum Lyder;
1. Vestamager;C;Det Konservative Folkeparti;Kurt Wriedt;
1. Vestamager;C;Det Konservative Folkeparti;Oliver Thorgrimson;
1. Vestamager;E;Velfærdslisten;Listestemmer;6
1. Vestamager;E;Velfærdslisten;Dorthe Hecht;
1. Vestamager;F;SF - Socialistisk Folkeparti;Listestemmer;315
1. Vestamager;F;SF - Socialistisk Folkeparti;Winnie Sørensen;
1. Vestamager;F;SF - Socialistisk Folkeparti;Jan Bakmand;
1. Vestamager;F;SF - Socialistisk Folkeparti;Lars Brandstrup Nielsen;
1. Vestamager;F;SF - Socialistisk Folkeparti;Signe Nørgaard;
1. Vestamager;F;SF - Socialistisk Folkeparti;Ole Falster;
1. Vestamager;I;Liberal Alliance;Listestemmer;227
1. Vestamager;I;Liberal Alliance;Martin Lønborg;
1. Vestamager;I;Liberal Alliance;Charlotte Nellemann;
1. Vestamager;I;Liberal Alliance;Per Nørgaard Andersen;
1. Vestamager;I;Liberal Alliance;Eddie Blix;
1. Vestamager;M;Moderaterne;Listestemmer;109
1. Vestamager;M;Moderaterne;Ali Qais;
1. Vestamager;M;Moderaterne;Mathias Precht;
1. Vestamager;M;Moderaterne;Annika Noëlle Brandt Madolid Knudsen;
1. Vestamager;M;Moderaterne;Noor Hamoody;
1. Vestamager;O;Dansk Folkeparti;Listestemmer;666
1. Vestamager;O;Dansk Folkeparti;Paw Karslund;
1. Vestamager;O;Dansk Folkeparti;Ronny Børger;
1. Vestamager;O;Dansk Folkeparti;Rita Bach;
1. Vestamager;O;Dansk Folkeparti;Marlene Nyberg;
1. Vestamager;O;Dansk Folkeparti;Asbjørn Rasmussen;
1. Vestamager;T;Tårnby Listen;Listestemmer;125
1. Vestamager;T;Tårnby Listen;Liv Gam;
1. Vestamager;T;Tårnby Listen;Stella Gissel;
1. Vestamager;T;Tårnby Listen;Thea Veidiksen;
1. Vestamager;T;Tårnby Listen;Ulla Kallesøe;
1. Vestamager;T;Tårnby Listen;Michael Maigaard;
1. Vestamager;T;Tårnby Listen;Tasia Veidiksen;
1. Vestamager;T;Tårnby Listen;Jan Friis;
1. Vestamager;V;Venstre, Danmarks Liberale Parti;Listestemmer;231
1. Vestamager;V;Venstre, Danmarks Liberale Parti;Dennis W. Clausen;
1. Vestamager;V;Venstre, Danmarks Liberale Parti;Sarah Crone;
1. Vestamager;V;Venstre, Danmarks Liberale Parti;Jens Graff;
1. Vestamager;V;Venstre, Danmarks Liberale Parti;Mette Byrdal;
1. Vestamager;V;Venstre, Danmarks Liberale Parti;Jens Kofoed;
1. Vestamager;V;Venstre, Danmarks Liberale Parti;Pernille Meinertz;
1. Vestamager;V;Venstre, Danmarks Liberale Parti;Carsten Jørgensen;
1. Vestamager;Æ;Danmarksdemokraterne - Inger Støjberg;Listestemmer;103
1. Vestamager;Æ;Danmarksdemokraterne - Inger Støjberg;Benny Bindslev;
1. Vestamager;Æ;Danmarksdemokraterne - Inger Støjberg;Arne Simon Hansen;
1. Vestamager;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;199
1. Vestamager;Ø;Enhedslisten - De Rød-Grønne;Filip Breson;
1. Vestamager;Ø;Enhedslisten - De Rød-Grønne;Kim Larsen;
1. Vestamager;Ø;Enhedslisten - De Rød-Grønne;Simon Abramowitz;
1. Vestamager;Ø;Enhedslisten - De Rød-Grønne;Mette Fink;
1. Vestamager;Ø;Enhedslisten - De Rød-Grønne;Faiza Karim;
1. Vestamager;Ø;Enhedslisten - De Rød-Grønne;Amos Myatt;
2. Pilegården;A;Socialdemokratiet;Listestemmer;1260
2. Pilegården;A;Socialdemokratiet;Allan Andersen;
2. Pilegården;A;Socialdemokratiet;Annette Betak;
2. Pilegården;A;Socialdemokratiet;Klaus Bach;
2. Pilegården;A;Socialdemokratiet;Esther Metzon;
2. Pilegården;A;Socialdemokratiet;Lars Hein;
2. Pilegården;A;Socialdemokratiet;Chastine Nygaard Engqvist;
2. Pilegården;A;Socialdemokratiet;Marcus Jepsen;
2. Pilegården;A;Socialdemokratiet;Søren Hallum-Andersen;
2. Pilegården;A;Socialdemokratiet;Thomas Arentoft Hinsby;
2. Pilegården;A;Socialdemokratiet;Peter Hoffmann Nielsen;
2. Pilegården;A;Socialdemokratiet;Marianne Kold;
2. Pilegården;A;Socialdemokratiet;Michael O. Jørgensen;
2. Pilegården;A;Socialdemokratiet;Allan-Ivan Kristensen;
