Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Listestemmer;122
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Martin Nielson;91
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Anette Sandgreen;19
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Erdal Colak;155
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Susanne Voldfrom;13
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Peter Spliid;2
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Hanne Skou Poulsen;2
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Claus Weichel;0
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Joan Jensen;5
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Dorthe Holmager Weichel;1
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Mogens Eliasen;7
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Eva Gebauer;2
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Listestemmer;228
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Henrik Rasmussen;478
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Jytte Bendtsen;40
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Oliver Bagge;117
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Ricky Jannik van Overeem;34
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Firat Sari;82
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Morten Schou Jørgensen;29
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Lene Lykke Sørensen;22
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Ann Maria Tjagvad;51
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Søren Murmann Gotfredsen;150
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Emma Astrid Lund Nielsen;21
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Peter Christian Vinge-Maigaard;7
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Dorte Hvolbye Ibsen;1
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Heidi Røpstorff Rasmussen;21
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;John Albøger Sørensen;29
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Ahn Lykke Pedersen;7
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Birgit Skytte;4
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Carl Eltorp;2
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Lone Christiansen;1
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Jan Høgskilde;26
1. Vallensbæk Skole, Multisalen;F;SF - Socialistisk Folkeparti;Listestemmer;82
1. Vallensbæk Skole, Multisalen;F;SF - Socialistisk Folkeparti;Christian Skou Larsen;79
1. Vallensbæk Skole, Multisalen;F;SF - Socialistisk Folkeparti;Mette Harder-Georgi;40
1. Vallensbæk Skole, Multisalen;F;SF - Socialistisk Folkeparti;Stine Nadeem Korsgaard;34
1. Vallensbæk Skole, Multisalen;I;Liberal Alliance;Listestemmer;52
