Region,kommune,valgsted_navn,bogstavbetegnelse,kandidat_navn,parti,stemmer
,Brønderslev,1. Agersted,A,Listestemmer,Socialdemokratiet,43
,Brønderslev,1. Agersted,A,"Ulla Astman, Gistrup",Socialdemokratiet,35
,Brønderslev,1. Agersted,A,"Vagn Nørgaard, Thisted",Socialdemokratiet,0
,Brønderslev,1. Agersted,A,"Mogens Nørgård, Aabybro",Socialdemokratiet,8
,Brønderslev,1. Agersted,A,"Tina Juul Kjellberg, Ålbæk",Socialdemokratiet,2
,Brønderslev,1. Agersted,A,"Thomas Hav, Nørresundby",Socialdemokratiet,5
,Brønderslev,1. Agersted,A,"Pernille Buhelt, Hjørring",Socialdemokratiet,1
,Brønderslev,1. Agersted,A,"Medzait Ljatifi, Støvring",Socialdemokratiet,0
,Brønderslev,1. Agersted,A,"Heidi Linnemann Prehn, Aalborg",Socialdemokratiet,0
,Brønderslev,1. Agersted,A,"Lis Mancini, Hadsund",Socialdemokratiet,0
,Brønderslev,1. Agersted,A,"Mie Nielsen, Nykøbing Mors",Socialdemokratiet,0
,Brønderslev,1. Agersted,A,"Jette Ramskov, Brønderslev",Socialdemokratiet,8
,Brønderslev,1. Agersted,A,"Arne Nielsen, Nørresundby",Socialdemokratiet,1
,Brønderslev,1. Agersted,A,"Jørgen Rørbæk Henriksen, Sæby",Socialdemokratiet,1
,Brønderslev,1. Agersted,A,"Hanne Majbritt Nielsen, Vestbjerg",Socialdemokratiet,0
,Brønderslev,1. Agersted,A,"Morten Skaanning, Sindal",Socialdemokratiet,0
,Brønderslev,1. Agersted,A,"Bente Bang, Vestervig",Socialdemokratiet,1
,Brønderslev,1. Agersted,A,"Mogens Ove Madsen, Aars",Socialdemokratiet,1
,Brønderslev,1. Agersted,A,"Poul Erik Andreasen, Dronninglund",Socialdemokratiet,44
,Brønderslev,1. Agersted,A,"Kurt Toft, Aalborg",Socialdemokratiet,0
,Brønderslev,1. Agersted,A,"Peter Christensen, Aalborg",Socialdemokratiet,1
,Brønderslev,1. Agersted,A,"Henrik Ringbæk Madsen, Hobro",Socialdemokratiet,0
,Brønderslev,1. Agersted,A,"Ejner Guldager Nielsen, Skagen",Socialdemokratiet,0
,Brønderslev,1. Agersted,A,"Jørgen Hansen, Gandrup",Socialdemokratiet,2
,Brønderslev,1. Agersted,A,"Asger Andersen, Nibe",Socialdemokratiet,0
,Brønderslev,1. Agersted,A,"Bent-Ole Pedersen, Svenstrup, Aalb",Socialdemokratiet,0
,Brønderslev,1. Agersted,A,"Kim Levisen, Brovst",Socialdemokratiet,0
,Brønderslev,1. Agersted,A,"Bent Sigaard, Hals",Socialdemokratiet,0
