Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Aarhus;1. Frederiksbjerghallerne;A;Socialdemokratiet;Listestemmer;1420
Aarhus;1. Frederiksbjerghallerne;A;Socialdemokratiet;Anders Kühnau, Aarhus;534
Aarhus;1. Frederiksbjerghallerne;A;Socialdemokratiet;Else Søjmark, Djursland;44
Aarhus;1. Frederiksbjerghallerne;A;Socialdemokratiet;Michael Maaløe, Horsens;16
Aarhus;1. Frederiksbjerghallerne;A;Socialdemokratiet;Christina Kirkegaard, Aarhus;138
Aarhus;1. Frederiksbjerghallerne;A;Socialdemokratiet;Andreas Tang-Brock, Ry;21
Aarhus;1. Frederiksbjerghallerne;A;Socialdemokratiet;Iben Sønderup, Aarhus;38
Aarhus;1. Frederiksbjerghallerne;A;Socialdemokratiet;Lasse Bjørn Møller, Holstebro;3
Aarhus;1. Frederiksbjerghallerne;A;Socialdemokratiet;Peter Møller Andersen, Aarhus;54
Aarhus;1. Frederiksbjerghallerne;A;Socialdemokratiet;Ole Bøgh Vinther, Aarhus;13
Aarhus;1. Frederiksbjerghallerne;A;Socialdemokratiet;Lars Stampe, Holstebro;15
Aarhus;1. Frederiksbjerghallerne;A;Socialdemokratiet;Michele Offenbach Holm, Randers;30
Aarhus;1. Frederiksbjerghallerne;A;Socialdemokratiet;Njord Fomsgaard Kvistgaard, Randers C;0
Aarhus;1. Frederiksbjerghallerne;A;Socialdemokratiet;Nils Borring, Favrskov;17
Aarhus;1. Frederiksbjerghallerne;A;Socialdemokratiet;Susanne Grove, Skive;7
Aarhus;1. Frederiksbjerghallerne;A;Socialdemokratiet;Per Møller Jensen, Viborg;13
Aarhus;1. Frederiksbjerghallerne;A;Socialdemokratiet;Camilla Holt Jones, Viborg;6
Aarhus;1. Frederiksbjerghallerne;A;Socialdemokratiet;Lone Børlum, Herning;8
Aarhus;1. Frederiksbjerghallerne;A;Socialdemokratiet;Annette Roed, Silkeborg;15
Aarhus;1. Frederiksbjerghallerne;A;Socialdemokratiet;Linda Nielsen, Videbæk;2
Aarhus;1. Frederiksbjerghallerne;A;Socialdemokratiet;Niels Viggo Lynghøj, Struer;1
Aarhus;1. Frederiksbjerghallerne;A;Socialdemokratiet;Mustafa Arslan, Ikast-Brande;8
Aarhus;1. Frederiksbjerghallerne;A;Socialdemokratiet;Karoline Bergkvist Søgaard, Djursland;5
Aarhus;1. Frederiksbjerghallerne;A;Socialdemokratiet;Elvin J. Hansen, Odder;0
Aarhus;1. Frederiksbjerghallerne;A;Socialdemokratiet;Lilian Højbjerg, Holstebro;12
Aarhus;1. Frederiksbjerghallerne;A;Socialdemokratiet;Birgit Marie Christensen, Favrskov;14
Aarhus;1. Frederiksbjerghallerne;A;Socialdemokratiet;Jimmi Elley Nielsen, Snejbjerg;4
Aarhus;1. Frederiksbjerghallerne;B;Radikale Venstre;Listestemmer;656
Aarhus;1. Frederiksbjerghallerne;B;Radikale Venstre;Hanne Roed, Aarhus;189
Aarhus;1. Frederiksbjerghallerne;B;Radikale Venstre;Philip Vivet, Herning Kommune;41
Aarhus;1. Frederiksbjerghallerne;B;Radikale Venstre;Rasmus Gamst Beltofte, Holstebro Kommune;9
Aarhus;1. Frederiksbjerghallerne;B;Radikale Venstre;Lone Kjær Hein, Holstebro Kommune;19
Aarhus;1. Frederiksbjerghallerne;B;Radikale Venstre;Mia Nybo, Favrskov Kommune;57
Aarhus;1. Frederiksbjerghallerne;B;Radikale Venstre;Mathias Sikora, Aarhus Kommune;33
Aarhus;1. Frederiksbjerghallerne;B;Radikale Venstre;Thomas Hammer-Jakobsen, Odder Kommune;4
