Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Holstebro;1. Musikteatret;A;Socialdemokratiet;Listestemmer;689
Holstebro;1. Musikteatret;A;Socialdemokratiet;Anders Kühnau, Aarhus;326
Holstebro;1. Musikteatret;A;Socialdemokratiet;Else Søjmark, Djursland;13
Holstebro;1. Musikteatret;A;Socialdemokratiet;Michael Maaløe, Horsens;6
Holstebro;1. Musikteatret;A;Socialdemokratiet;Christina Kirkegaard, Aarhus;3
Holstebro;1. Musikteatret;A;Socialdemokratiet;Andreas Tang-Brock, Ry;3
Holstebro;1. Musikteatret;A;Socialdemokratiet;Iben Sønderup, Aarhus;9
Holstebro;1. Musikteatret;A;Socialdemokratiet;Lasse Bjørn Møller, Holstebro;348
Holstebro;1. Musikteatret;A;Socialdemokratiet;Peter Møller Andersen, Aarhus;4
Holstebro;1. Musikteatret;A;Socialdemokratiet;Ole Bøgh Vinther, Aarhus;0
Holstebro;1. Musikteatret;A;Socialdemokratiet;Lars Stampe, Holstebro;940
Holstebro;1. Musikteatret;A;Socialdemokratiet;Michele Offenbach Holm, Randers;17
Holstebro;1. Musikteatret;A;Socialdemokratiet;Njord Fomsgaard Kvistgaard, Randers C;0
Holstebro;1. Musikteatret;A;Socialdemokratiet;Nils Borring, Favrskov;6
Holstebro;1. Musikteatret;A;Socialdemokratiet;Susanne Grove, Skive;7
Holstebro;1. Musikteatret;A;Socialdemokratiet;Per Møller Jensen, Viborg;7
Holstebro;1. Musikteatret;A;Socialdemokratiet;Camilla Holt Jones, Viborg;4
Holstebro;1. Musikteatret;A;Socialdemokratiet;Lone Børlum, Herning;7
Holstebro;1. Musikteatret;A;Socialdemokratiet;Annette Roed, Silkeborg;2
Holstebro;1. Musikteatret;A;Socialdemokratiet;Linda Nielsen, Videbæk;3
Holstebro;1. Musikteatret;A;Socialdemokratiet;Niels Viggo Lynghøj, Struer;60
Holstebro;1. Musikteatret;A;Socialdemokratiet;Mustafa Arslan, Ikast-Brande;26
Holstebro;1. Musikteatret;A;Socialdemokratiet;Karoline Bergkvist Søgaard, Djursland;1
Holstebro;1. Musikteatret;A;Socialdemokratiet;Elvin J. Hansen, Odder;1
Holstebro;1. Musikteatret;A;Socialdemokratiet;Lilian Højbjerg, Holstebro;151
Holstebro;1. Musikteatret;A;Socialdemokratiet;Birgit Marie Christensen, Favrskov;4
Holstebro;1. Musikteatret;A;Socialdemokratiet;Jimmi Elley Nielsen, Snejbjerg;2
Holstebro;1. Musikteatret;B;Radikale Venstre;Listestemmer;175
Holstebro;1. Musikteatret;B;Radikale Venstre;Hanne Roed, Aarhus;12
Holstebro;1. Musikteatret;B;Radikale Venstre;Philip Vivet, Herning Kommune;12
Holstebro;1. Musikteatret;B;Radikale Venstre;Rasmus Gamst Beltofte, Holstebro Kommune;168
Holstebro;1. Musikteatret;B;Radikale Venstre;Lone Kjær Hein, Holstebro Kommune;420
Holstebro;1. Musikteatret;B;Radikale Venstre;Mia Nybo, Favrskov Kommune;7
Holstebro;1. Musikteatret;B;Radikale Venstre;Mathias Sikora, Aarhus Kommune;2
Holstebro;1. Musikteatret;B;Radikale Venstre;Thomas Hammer-Jakobsen, Odder Kommune;3
Holstebro;1. Musikteatret;B;Radikale Venstre;Marianne Tøttrup, Viborg Kommune;3
Holstebro;1. Musikteatret;B;Radikale Venstre;Søren Mikkelsen, Randers Kommune;2
Holstebro;1. Musikteatret;B;Radikale Venstre;Claus Pedersen, Ringkøbing-Skjern Kommune;4
Holstebro;1. Musikteatret;B;Radikale Venstre;Bjarke Jensen, Syddjurs Kommune;0
Holstebro;1. Musikteatret;B;Radikale Venstre;Steen Jonsson Agger, Aarhus Kommune;1
Holstebro;1. Musikteatret;B;Radikale Venstre;Rikke Christensen, Horsens Kommune;1
Holstebro;1. Musikteatret;B;Radikale Venstre;Kasper Humle, Lemvig Kommune;21
Holstebro;1. Musikteatret;B;Radikale Venstre;Morten Junget, Silkeborg Kommune;3
Holstebro;1. Musikteatret;B;Radikale Venstre;Niels Voetmann Jepsen, Horsens Kommune;2
Holstebro;1. Musikteatret;B;Radikale Venstre;Rasmus Bergholdt, Skanderborg Kommune;0
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Listestemmer;181
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Bo Jensen, Ikast-Brande;20
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Purnima Erichsen, Aarhus;30
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Mette Guldberg, Herning;19
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Lau Sørensen, Holstebro;156
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Siff Tang Lassen, Aarhus;7
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Susanne Lund, Aarhus;0
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Malena Møller Mortensen, Viborg;6
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Anders Krojgaard Lund, Horsens;2
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Lone Rusberg, Silkeborg;11
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Flemming Nielsen, Hadsten;0
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Ulrik Linvald, Ringkøbing-Skjern;2
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Morten Ballegaard Sørensen, Randers;1
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Dorthe le Fèvre, Ebeltoft;2
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Oliver Abildskov, Aarhus;7
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Claus Sørensen, Hedensted;2
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Jens Laursen-Schmidt, Struer;6
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Emilia M. Feldskov, Aarhus C;1
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;René Krongaard, Odder;2
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Birgitte Majgaard, Galten;3
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Michael Grove, Viborg;1
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Peter Askjær, Samsø;0
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Bjarne Linneberg, Skive;0
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Kasper Pagh, Horsens;1
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Emil Karlebjerg, Aarhus N;1
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Esben Iversen, Rødkærsbro;1
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Christian Wibe-Marker, Skanderborg;4
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Lars Jensen, Løsning;0
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Karl Højhus Jeppesen, Kibæk;9
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Kenneth J. Grinderslev, Skive;0
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Kirstine Skjødt, Viborg;5
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Esben Hedeager, Horsens;0
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Alice Holst Brask, Djursland;0
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Torben Krebs, Hadsten;2
Holstebro;1. Musikteatret;C;Det Konservative Folkeparti;Knud Schøler, Hinnerup;1
Holstebro;1. Musikteatret;D;Nye Borgerlige;Listestemmer;21
Holstebro;1. Musikteatret;D;Nye Borgerlige;Jan K. Pedersen, Hemmet;1
Holstebro;1. Musikteatret;D;Nye Borgerlige;Jytte Pedersen, Herning;1
Holstebro;1. Musikteatret;D;Nye Borgerlige;Jan Skat Riishøj, Østbirk;1
Holstebro;1. Musikteatret;D;Nye Borgerlige;Leif Krøyer, Søvind;0
Holstebro;1. Musikteatret;D;Nye Borgerlige;René Galsgaard, Holstebro;21
Holstebro;1. Musikteatret;F;SF - Socialistisk Folkeparti;Listestemmer;488
Holstebro;1. Musikteatret;F;SF - Socialistisk Folkeparti;Jacob Klærke, Horsens;38
Holstebro;1. Musikteatret;F;SF - Socialistisk Folkeparti;Susanne Buch, Favrskov;248
Holstebro;1. Musikteatret;F;SF - Socialistisk Folkeparti;Jakob Fuglsang Andersen, Aarhus;20
Holstebro;1. Musikteatret;F;SF - Socialistisk Folkeparti;Naja Kallesøe, Silkeborg;28
Holstebro;1. Musikteatret;F;SF - Socialistisk Folkeparti;Søren Norlander, Randers;2
Holstebro;1. Musikteatret;F;SF - Socialistisk Folkeparti;Peter Nowack, Herning;19
Holstebro;1. Musikteatret;F;SF - Socialistisk Folkeparti;Rasmus T. Mortensen, Aarhus;5
Holstebro;1. Musikteatret;F;SF - Socialistisk Folkeparti;Bente Strager, Skanderborg;1
Holstebro;1. Musikteatret;F;SF - Socialistisk Folkeparti;Kasper Venning, Viborg;1
Holstebro;1. Musikteatret;F;SF - Socialistisk Folkeparti;Adnan Nikontovic, Horsens;2
Holstebro;1. Musikteatret;F;SF - Socialistisk Folkeparti;Ulrik Rasmussen, Syddjurs Kommune;0
Holstebro;1. Musikteatret;F;SF - Socialistisk Folkeparti;Kasper Vindbjerg, Norddjurs;1
Holstebro;1. Musikteatret;F;SF - Socialistisk Folkeparti;Ronny Roy Nielsen, Hedensted Kommune;1
Holstebro;1. Musikteatret;F;SF - Socialistisk Folkeparti;Mogens Bedsted, Odder;2
Holstebro;1. Musikteatret;F;SF - Socialistisk Folkeparti;Aksel Munch Søndergaard, Aarhus V;3
Holstebro;1. Musikteatret;F;SF - Socialistisk Folkeparti;Steffen Søgaard, Randers;1
Holstebro;1. Musikteatret;F;SF - Socialistisk Folkeparti;Carina Sarkkinen Jacobsen, Hedensted;3
Holstebro;1. Musikteatret;F;SF - Socialistisk Folkeparti;Martin Vestergaard, Christiansbjerg;4
Holstebro;1. Musikteatret;F;SF - Socialistisk Folkeparti;Jytte Søgård Mikkelsen, Herning;35
Holstebro;1. Musikteatret;F;SF - Socialistisk Folkeparti;Sander Jensen, Aarhus;2
Holstebro;1. Musikteatret;F;SF - Socialistisk Folkeparti;Thue Grum-Schwensen, Skive;14
Holstebro;1. Musikteatret;I;Liberal Alliance;Listestemmer;362
Holstebro;1. Musikteatret;I;Liberal Alliance;Helle Jensen, Viborg;30
Holstebro;1. Musikteatret;I;Liberal Alliance;Anders Paabøl, Aarhus;9
Holstebro;1. Musikteatret;I;Liberal Alliance;Jan Beck-Nielsen, Silkeborg;6
Holstebro;1. Musikteatret;I;Liberal Alliance;Lene Foged, Stoholm;12
Holstebro;1. Musikteatret;I;Liberal Alliance;Thorbjørn Jacobsen, Struer;42
Holstebro;1. Musikteatret;I;Liberal Alliance;Hans Bak, Holstebro;156
Holstebro;1. Musikteatret;I;Liberal Alliance;Lisa Castro Jensen, Struer;36
Holstebro;1. Musikteatret;I;Liberal Alliance;Kenneth Storm, Aulum;5
Holstebro;1. Musikteatret;I;Liberal Alliance;Søren Møller Christensen, Dejbjerg;5
Holstebro;1. Musikteatret;I;Liberal Alliance;Henrik Christiansen, Brande;4
Holstebro;1. Musikteatret;I;Liberal Alliance;Simon Buus Olsen, Favrskov;0
Holstebro;1. Musikteatret;I;Liberal Alliance;Sebastian Halkjær-Grauert, Norddjurs;0
Holstebro;1. Musikteatret;I;Liberal Alliance;Arne V. Andersen, Ringkøbing;0
Holstebro;1. Musikteatret;I;Liberal Alliance;Steffen Jespersen, Horsens;0
Holstebro;1. Musikteatret;I;Liberal Alliance;Tobias Daugaard, Løsning;4
Holstebro;1. Musikteatret;I;Liberal Alliance;Peter Malbæk, Syddjurs;1
Holstebro;1. Musikteatret;I;Liberal Alliance;Charlotte Mönniche, Skanderborg;1
Holstebro;1. Musikteatret;K;Kristendemokraterne;Listestemmer;27
Holstebro;1. Musikteatret;K;Kristendemokraterne;Jens Erik T. Damgaard, Ringkøbing;70
Holstebro;1. Musikteatret;K;Kristendemokraterne;Birgit Jakobsen, Hedensted;0
Holstebro;1. Musikteatret;K;Kristendemokraterne;Karlo Brondbjerg, Herning;8
Holstebro;1. Musikteatret;K;Kristendemokraterne;Jensa Ottosdóttir, Randers;1
Holstebro;1. Musikteatret;K;Kristendemokraterne;Palle B. Rosenkilde, Aarhus;0
Holstebro;1. Musikteatret;K;Kristendemokraterne;Brian Christensen, Lemvig;4
Holstebro;1. Musikteatret;K;Kristendemokraterne;Nils-Erik Thorborg Mulvad, Randers;0
Holstebro;1. Musikteatret;K;Kristendemokraterne;Henning B. Mikkelsen, Lemvig;7
Holstebro;1. Musikteatret;K;Kristendemokraterne;Simon Overby Kristensen, Horsens;3
Holstebro;1. Musikteatret;K;Kristendemokraterne;Brian T. Andersen, Herning;0
Holstebro;1. Musikteatret;K;Kristendemokraterne;Sven-Erik Jørgensen, Hinnerup;0
Holstebro;1. Musikteatret;K;Kristendemokraterne;Inge Jensen, Ringkøbing-Skjern;1
Holstebro;1. Musikteatret;M;Moderaterne;Listestemmer;34
Holstebro;1. Musikteatret;M;Moderaterne;Sten Larsen;16
Holstebro;1. Musikteatret;M;Moderaterne;Søren Vanting;5
Holstebro;1. Musikteatret;M;Moderaterne;Lene Bach Nørgaard;6
Holstebro;1. Musikteatret;M;Moderaterne;Henrik Rejnholt Andersen;0
Holstebro;1. Musikteatret;M;Moderaterne;Jeppe von Berg;1
Holstebro;1. Musikteatret;M;Moderaterne;Poul Holm Christensen;4
Holstebro;1. Musikteatret;M;Moderaterne;Søren Boje Arvidsen;4
Holstebro;1. Musikteatret;M;Moderaterne;Jens Winther;0
Holstebro;1. Musikteatret;M;Moderaterne;Uffe Bie;0
Holstebro;1. Musikteatret;O;Dansk Folkeparti;Listestemmer;250
Holstebro;1. Musikteatret;O;Dansk Folkeparti;Majbritt Birkholm, Holstebro;458
Holstebro;1. Musikteatret;O;Dansk Folkeparti;Nicolai Estrup, Randers;7
Holstebro;1. Musikteatret;O;Dansk Folkeparti;Lone Langballe, Viborg;14
Holstebro;1. Musikteatret;O;Dansk Folkeparti;Charlotte Aaby, Silkeborg;1
Holstebro;1. Musikteatret;O;Dansk Folkeparti;Knud Nielsen, Herning;3
Holstebro;1. Musikteatret;O;Dansk Folkeparti;Jens Kannegaard Lundager, Djursland;2
Holstebro;1. Musikteatret;O;Dansk Folkeparti;Finn Brostrup, Ikast-Brande;3
Holstebro;1. Musikteatret;O;Dansk Folkeparti;Tenna Røberg, Aarhus;1
Holstebro;1. Musikteatret;O;Dansk Folkeparti;Søren Boel Olesen, Holstebro;108
Holstebro;1. Musikteatret;O;Dansk Folkeparti;Henrik Ræder Clausen, Aarhus;1
Holstebro;1. Musikteatret;O;Dansk Folkeparti;Beatrice W. Korsholm, Horsens;1
Holstebro;1. Musikteatret;O;Dansk Folkeparti;Thomas Kastrup Christensen, Aarhus;5
Holstebro;1. Musikteatret;O;Dansk Folkeparti;Peter Mousten, Skive;3
Holstebro;1. Musikteatret;O;Dansk Folkeparti;Jensi Tharsika Thangarajah, Aarhus;2
Holstebro;1. Musikteatret;O;Dansk Folkeparti;Frank Rune Kristensen Nielsen, Skanderborg;0
Holstebro;1. Musikteatret;O;Dansk Folkeparti;Tina Ostersen, Brande;1
Holstebro;1. Musikteatret;O;Dansk Folkeparti;Jesper Flensted, Hedensted;3
Holstebro;1. Musikteatret;P;Psykiatri-Listen;Listestemmer;64
Holstebro;1. Musikteatret;P;Psykiatri-Listen;Rose-Marie Mollerup, Hjortshøj;33
Holstebro;1. Musikteatret;P;Psykiatri-Listen;Knud Kristensen, Risskov;3
Holstebro;1. Musikteatret;P;Psykiatri-Listen;Lea Grey Haller, Åbyhøj;7
Holstebro;1. Musikteatret;P;Psykiatri-Listen;Colin Bradley, Lystrup;1
Holstebro;1. Musikteatret;P;Psykiatri-Listen;Tine Holm, Aarhus N;4
Holstebro;1. Musikteatret;R;Folkelisten for fred og velfærd;Listestemmer;6
Holstebro;1. Musikteatret;R;Folkelisten for fred og velfærd;Emil Boost, Aarhus;4
Holstebro;1. Musikteatret;R;Folkelisten for fred og velfærd;Heidi Rud, Herning;2
Holstebro;1. Musikteatret;R;Folkelisten for fred og velfærd;Jacob Olesen, Herning;0
Holstebro;1. Musikteatret;R;Folkelisten for fred og velfærd;Jan Sylvest Andersen, Aarhus;0
Holstebro;1. Musikteatret;R;Folkelisten for fred og velfærd;Karina Dammand, Aarhus;0
Holstebro;1. Musikteatret;R;Folkelisten for fred og velfærd;Per Møller Jacobsen, Herning;4
Holstebro;1. Musikteatret;R;Folkelisten for fred og velfærd;Per Nielsen, Aarhus;0
Holstebro;1. Musikteatret;R;Folkelisten for fred og velfærd;Sie Grubbe, Ry;0
Holstebro;1. Musikteatret;R;Folkelisten for fred og velfærd;Henrik Stamer Hedin, Ry;0
Holstebro;1. Musikteatret;R;Folkelisten for fred og velfærd;Inge Høgh, Silkeborg;1
Holstebro;1. Musikteatret;R;Folkelisten for fred og velfærd;Johannes Pilgaard, Struer;1
Holstebro;1. Musikteatret;R;Folkelisten for fred og velfærd;Tommy Christensen, Struer;0
Holstebro;1. Musikteatret;V;Venstre, Danmarks Liberale Parti;Listestemmer;557
Holstebro;1. Musikteatret;V;Venstre, Danmarks Liberale Parti;Anders G. Christensen, Favrskov;83
Holstebro;1. Musikteatret;V;Venstre, Danmarks Liberale Parti;Sebastian Sandgaard, Herning;19
Holstebro;1. Musikteatret;V;Venstre, Danmarks Liberale Parti;Hans Skou, Aarhus;5
Holstebro;1. Musikteatret;V;Venstre, Danmarks Liberale Parti;Bruno Hansen, Herning;20
Holstebro;1. Musikteatret;V;Venstre, Danmarks Liberale Parti;Poul Berggreen, Silkeborg;1
Holstebro;1. Musikteatret;V;Venstre, Danmarks Liberale Parti;Henrik Hjortshøj, Aarhus;1
Holstebro;1. Musikteatret;V;Venstre, Danmarks Liberale Parti;Ib Bjerregaard, Viborg;0
Holstebro;1. Musikteatret;V;Venstre, Danmarks Liberale Parti;Louise Høeg, Randers;8
Holstebro;1. Musikteatret;V;Venstre, Danmarks Liberale Parti;Kristian Ahle, Ringkøbing-Skjern;8
Holstebro;1. Musikteatret;V;Venstre, Danmarks Liberale Parti;Jens Kristian Hedegaard, Holstebro;977
Holstebro;1. Musikteatret;V;Venstre, Danmarks Liberale Parti;Lone Lundsgaard, Horsens;12
Holstebro;1. Musikteatret;V;Venstre, Danmarks Liberale Parti;Malthe Broe, Silkeborg;1
Holstebro;1. Musikteatret;V;Venstre, Danmarks Liberale Parti;Mikkel Strube-Weber, Aarhus;9
Holstebro;1. Musikteatret;V;Venstre, Danmarks Liberale Parti;Birte Markfoged, Skive;10
Holstebro;1. Musikteatret;V;Venstre, Danmarks Liberale Parti;Annette Bolvig, Hedensted;2
Holstebro;1. Musikteatret;V;Venstre, Danmarks Liberale Parti;Arne Lægaard, Skanderborg;10
