Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Horsens;1. Sønderbro;A;Socialdemokratiet;Listestemmer;466
Horsens;1. Sønderbro;A;Socialdemokratiet;Anders Kühnau, Aarhus;235
Horsens;1. Sønderbro;A;Socialdemokratiet;Else Søjmark, Djursland;6
Horsens;1. Sønderbro;A;Socialdemokratiet;Michael Maaløe, Horsens;310
Horsens;1. Sønderbro;A;Socialdemokratiet;Christina Kirkegaard, Aarhus;6
Horsens;1. Sønderbro;A;Socialdemokratiet;Andreas Tang-Brock, Ry;3
Horsens;1. Sønderbro;A;Socialdemokratiet;Iben Sønderup, Aarhus;0
Horsens;1. Sønderbro;A;Socialdemokratiet;Lasse Bjørn Møller, Holstebro;2
Horsens;1. Sønderbro;A;Socialdemokratiet;Peter Møller Andersen, Aarhus;8
Horsens;1. Sønderbro;A;Socialdemokratiet;Ole Bøgh Vinther, Aarhus;1
Horsens;1. Sønderbro;A;Socialdemokratiet;Lars Stampe, Holstebro;1
Horsens;1. Sønderbro;A;Socialdemokratiet;Michele Offenbach Holm, Randers;5
Horsens;1. Sønderbro;A;Socialdemokratiet;Njord Fomsgaard Kvistgaard, Randers C;2
Horsens;1. Sønderbro;A;Socialdemokratiet;Nils Borring, Favrskov;1
Horsens;1. Sønderbro;A;Socialdemokratiet;Susanne Grove, Skive;3
Horsens;1. Sønderbro;A;Socialdemokratiet;Per Møller Jensen, Viborg;1
Horsens;1. Sønderbro;A;Socialdemokratiet;Camilla Holt Jones, Viborg;1
Horsens;1. Sønderbro;A;Socialdemokratiet;Lone Børlum, Herning;1
Horsens;1. Sønderbro;A;Socialdemokratiet;Annette Roed, Silkeborg;5
Horsens;1. Sønderbro;A;Socialdemokratiet;Linda Nielsen, Videbæk;1
Horsens;1. Sønderbro;A;Socialdemokratiet;Niels Viggo Lynghøj, Struer;2
Horsens;1. Sønderbro;A;Socialdemokratiet;Mustafa Arslan, Ikast-Brande;7
Horsens;1. Sønderbro;A;Socialdemokratiet;Karoline Bergkvist Søgaard, Djursland;1
Horsens;1. Sønderbro;A;Socialdemokratiet;Elvin J. Hansen, Odder;2
Horsens;1. Sønderbro;A;Socialdemokratiet;Lilian Højbjerg, Holstebro;1
Horsens;1. Sønderbro;A;Socialdemokratiet;Birgit Marie Christensen, Favrskov;0
Horsens;1. Sønderbro;A;Socialdemokratiet;Jimmi Elley Nielsen, Snejbjerg;2
Horsens;1. Sønderbro;B;Radikale Venstre;Listestemmer;34
Horsens;1. Sønderbro;B;Radikale Venstre;Hanne Roed, Aarhus;4
Horsens;1. Sønderbro;B;Radikale Venstre;Philip Vivet, Herning Kommune;1
Horsens;1. Sønderbro;B;Radikale Venstre;Rasmus Gamst Beltofte, Holstebro Kommune;0
Horsens;1. Sønderbro;B;Radikale Venstre;Lone Kjær Hein, Holstebro Kommune;2
Horsens;1. Sønderbro;B;Radikale Venstre;Mia Nybo, Favrskov Kommune;4
Horsens;1. Sønderbro;B;Radikale Venstre;Mathias Sikora, Aarhus Kommune;1
Horsens;1. Sønderbro;B;Radikale Venstre;Thomas Hammer-Jakobsen, Odder Kommune;0
Horsens;1. Sønderbro;B;Radikale Venstre;Marianne Tøttrup, Viborg Kommune;4
Horsens;1. Sønderbro;B;Radikale Venstre;Søren Mikkelsen, Randers Kommune;0
Horsens;1. Sønderbro;B;Radikale Venstre;Claus Pedersen, Ringkøbing-Skjern Kommune;3
Horsens;1. Sønderbro;B;Radikale Venstre;Bjarke Jensen, Syddjurs Kommune;0
Horsens;1. Sønderbro;B;Radikale Venstre;Steen Jonsson Agger, Aarhus Kommune;1
Horsens;1. Sønderbro;B;Radikale Venstre;Rikke Christensen, Horsens Kommune;18
Horsens;1. Sønderbro;B;Radikale Venstre;Kasper Humle, Lemvig Kommune;2
Horsens;1. Sønderbro;B;Radikale Venstre;Morten Junget, Silkeborg Kommune;0
Horsens;1. Sønderbro;B;Radikale Venstre;Niels Voetmann Jepsen, Horsens Kommune;6
Horsens;1. Sønderbro;B;Radikale Venstre;Rasmus Bergholdt, Skanderborg Kommune;0
Horsens;1. Sønderbro;C;Det Konservative Folkeparti;Listestemmer;59
Horsens;1. Sønderbro;C;Det Konservative Folkeparti;Bo Jensen, Ikast-Brande;1
Horsens;1. Sønderbro;C;Det Konservative Folkeparti;Purnima Erichsen, Aarhus;13
Horsens;1. Sønderbro;C;Det Konservative Folkeparti;Mette Guldberg, Herning;2
Horsens;1. Sønderbro;C;Det Konservative Folkeparti;Lau Sørensen, Holstebro;0
Horsens;1. Sønderbro;C;Det Konservative Folkeparti;Siff Tang Lassen, Aarhus;1
Horsens;1. Sønderbro;C;Det Konservative Folkeparti;Susanne Lund, Aarhus;1
Horsens;1. Sønderbro;C;Det Konservative Folkeparti;Malena Møller Mortensen, Viborg;4
Horsens;1. Sønderbro;C;Det Konservative Folkeparti;Anders Krojgaard Lund, Horsens;33
Horsens;1. Sønderbro;C;Det Konservative Folkeparti;Lone Rusberg, Silkeborg;1
Horsens;1. Sønderbro;C;Det Konservative Folkeparti;Flemming Nielsen, Hadsten;0
Horsens;1. Sønderbro;C;Det Konservative Folkeparti;Ulrik Linvald, Ringkøbing-Skjern;0
Horsens;1. Sønderbro;C;Det Konservative Folkeparti;Morten Ballegaard Sørensen, Randers;0
Horsens;1. Sønderbro;C;Det Konservative Folkeparti;Dorthe le Fèvre, Ebeltoft;0
Horsens;1. Sønderbro;C;Det Konservative Folkeparti;Oliver Abildskov, Aarhus;3
Horsens;1. Sønderbro;C;Det Konservative Folkeparti;Claus Sørensen, Hedensted;2
Horsens;1. Sønderbro;C;Det Konservative Folkeparti;Jens Laursen-Schmidt, Struer;2
Horsens;1. Sønderbro;C;Det Konservative Folkeparti;Emilia M. Feldskov, Aarhus C;2
Horsens;1. Sønderbro;C;Det Konservative Folkeparti;René Krongaard, Odder;0
Horsens;1. Sønderbro;C;Det Konservative Folkeparti;Birgitte Majgaard, Galten;2
Horsens;1. Sønderbro;C;Det Konservative Folkeparti;Michael Grove, Viborg;0
Horsens;1. Sønderbro;C;Det Konservative Folkeparti;Peter Askjær, Samsø;1
