Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Odder;1. Odder;A;Socialdemokratiet;Listestemmer;1047
Odder;1. Odder;A;Socialdemokratiet;Anders Kühnau, Aarhus;571
Odder;1. Odder;A;Socialdemokratiet;Else Søjmark, Djursland;30
Odder;1. Odder;A;Socialdemokratiet;Michael Maaløe, Horsens;15
Odder;1. Odder;A;Socialdemokratiet;Christina Kirkegaard, Aarhus;40
Odder;1. Odder;A;Socialdemokratiet;Andreas Tang-Brock, Ry;43
Odder;1. Odder;A;Socialdemokratiet;Iben Sønderup, Aarhus;9
Odder;1. Odder;A;Socialdemokratiet;Lasse Bjørn Møller, Holstebro;1
Odder;1. Odder;A;Socialdemokratiet;Peter Møller Andersen, Aarhus;24
Odder;1. Odder;A;Socialdemokratiet;Ole Bøgh Vinther, Aarhus;1
Odder;1. Odder;A;Socialdemokratiet;Lars Stampe, Holstebro;7
Odder;1. Odder;A;Socialdemokratiet;Michele Offenbach Holm, Randers;9
Odder;1. Odder;A;Socialdemokratiet;Njord Fomsgaard Kvistgaard, Randers C;0
Odder;1. Odder;A;Socialdemokratiet;Nils Borring, Favrskov;5
Odder;1. Odder;A;Socialdemokratiet;Susanne Grove, Skive;5
Odder;1. Odder;A;Socialdemokratiet;Per Møller Jensen, Viborg;4
Odder;1. Odder;A;Socialdemokratiet;Camilla Holt Jones, Viborg;7
Odder;1. Odder;A;Socialdemokratiet;Lone Børlum, Herning;1
Odder;1. Odder;A;Socialdemokratiet;Annette Roed, Silkeborg;2
Odder;1. Odder;A;Socialdemokratiet;Linda Nielsen, Videbæk;3
Odder;1. Odder;A;Socialdemokratiet;Niels Viggo Lynghøj, Struer;0
Odder;1. Odder;A;Socialdemokratiet;Mustafa Arslan, Ikast-Brande;2
Odder;1. Odder;A;Socialdemokratiet;Karoline Bergkvist Søgaard, Djursland;1
Odder;1. Odder;A;Socialdemokratiet;Elvin J. Hansen, Odder;519
Odder;1. Odder;A;Socialdemokratiet;Lilian Højbjerg, Holstebro;7
Odder;1. Odder;A;Socialdemokratiet;Birgit Marie Christensen, Favrskov;5
Odder;1. Odder;A;Socialdemokratiet;Jimmi Elley Nielsen, Snejbjerg;1
Odder;1. Odder;B;Radikale Venstre;Listestemmer;166
Odder;1. Odder;B;Radikale Venstre;Hanne Roed, Aarhus;37
Odder;1. Odder;B;Radikale Venstre;Philip Vivet, Herning Kommune;8
Odder;1. Odder;B;Radikale Venstre;Rasmus Gamst Beltofte, Holstebro Kommune;2
Odder;1. Odder;B;Radikale Venstre;Lone Kjær Hein, Holstebro Kommune;4
Odder;1. Odder;B;Radikale Venstre;Mia Nybo, Favrskov Kommune;21
