Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Randers;1. Kulturhuset Langå;A;Socialdemokratiet;Listestemmer;185
Randers;1. Kulturhuset Langå;A;Socialdemokratiet;Anders Kühnau, Aarhus;95
Randers;1. Kulturhuset Langå;A;Socialdemokratiet;Else Søjmark, Djursland;5
Randers;1. Kulturhuset Langå;A;Socialdemokratiet;Michael Maaløe, Horsens;3
Randers;1. Kulturhuset Langå;A;Socialdemokratiet;Christina Kirkegaard, Aarhus;8
Randers;1. Kulturhuset Langå;A;Socialdemokratiet;Andreas Tang-Brock, Ry;1
Randers;1. Kulturhuset Langå;A;Socialdemokratiet;Iben Sønderup, Aarhus;214
Randers;1. Kulturhuset Langå;A;Socialdemokratiet;Lasse Bjørn Møller, Holstebro;0
Randers;1. Kulturhuset Langå;A;Socialdemokratiet;Peter Møller Andersen, Aarhus;2
Randers;1. Kulturhuset Langå;A;Socialdemokratiet;Ole Bøgh Vinther, Aarhus;2
Randers;1. Kulturhuset Langå;A;Socialdemokratiet;Lars Stampe, Holstebro;1
Randers;1. Kulturhuset Langå;A;Socialdemokratiet;Michele Offenbach Holm, Randers;91
Randers;1. Kulturhuset Langå;A;Socialdemokratiet;Njord Fomsgaard Kvistgaard, Randers C;9
Randers;1. Kulturhuset Langå;A;Socialdemokratiet;Nils Borring, Favrskov;25
Randers;1. Kulturhuset Langå;A;Socialdemokratiet;Susanne Grove, Skive;0
Randers;1. Kulturhuset Langå;A;Socialdemokratiet;Per Møller Jensen, Viborg;4
Randers;1. Kulturhuset Langå;A;Socialdemokratiet;Camilla Holt Jones, Viborg;4
Randers;1. Kulturhuset Langå;A;Socialdemokratiet;Lone Børlum, Herning;0
Randers;1. Kulturhuset Langå;A;Socialdemokratiet;Annette Roed, Silkeborg;0
Randers;1. Kulturhuset Langå;A;Socialdemokratiet;Linda Nielsen, Videbæk;0
Randers;1. Kulturhuset Langå;A;Socialdemokratiet;Niels Viggo Lynghøj, Struer;1
Randers;1. Kulturhuset Langå;A;Socialdemokratiet;Mustafa Arslan, Ikast-Brande;0
Randers;1. Kulturhuset Langå;A;Socialdemokratiet;Karoline Bergkvist Søgaard, Djursland;0
Randers;1. Kulturhuset Langå;A;Socialdemokratiet;Elvin J. Hansen, Odder;0
Randers;1. Kulturhuset Langå;A;Socialdemokratiet;Lilian Højbjerg, Holstebro;1
Randers;1. Kulturhuset Langå;A;Socialdemokratiet;Birgit Marie Christensen, Favrskov;1
Randers;1. Kulturhuset Langå;A;Socialdemokratiet;Jimmi Elley Nielsen, Snejbjerg;0
Randers;1. Kulturhuset Langå;B;Radikale Venstre;Listestemmer;23
Randers;1. Kulturhuset Langå;B;Radikale Venstre;Hanne Roed, Aarhus;11
Randers;1. Kulturhuset Langå;B;Radikale Venstre;Philip Vivet, Herning Kommune;6
Randers;1. Kulturhuset Langå;B;Radikale Venstre;Rasmus Gamst Beltofte, Holstebro Kommune;0
Randers;1. Kulturhuset Langå;B;Radikale Venstre;Lone Kjær Hein, Holstebro Kommune;2
Randers;1. Kulturhuset Langå;B;Radikale Venstre;Mia Nybo, Favrskov Kommune;10
Randers;1. Kulturhuset Langå;B;Radikale Venstre;Mathias Sikora, Aarhus Kommune;0
Randers;1. Kulturhuset Langå;B;Radikale Venstre;Thomas Hammer-Jakobsen, Odder Kommune;0
Randers;1. Kulturhuset Langå;B;Radikale Venstre;Marianne Tøttrup, Viborg Kommune;1
Randers;1. Kulturhuset Langå;B;Radikale Venstre;Søren Mikkelsen, Randers Kommune;2
Randers;1. Kulturhuset Langå;B;Radikale Venstre;Claus Pedersen, Ringkøbing-Skjern Kommune;1
Randers;1. Kulturhuset Langå;B;Radikale Venstre;Bjarke Jensen, Syddjurs Kommune;0
Randers;1. Kulturhuset Langå;B;Radikale Venstre;Steen Jonsson Agger, Aarhus Kommune;0
Randers;1. Kulturhuset Langå;B;Radikale Venstre;Rikke Christensen, Horsens Kommune;0
Randers;1. Kulturhuset Langå;B;Radikale Venstre;Kasper Humle, Lemvig Kommune;2
Randers;1. Kulturhuset Langå;B;Radikale Venstre;Morten Junget, Silkeborg Kommune;0
Randers;1. Kulturhuset Langå;B;Radikale Venstre;Niels Voetmann Jepsen, Horsens Kommune;1
Randers;1. Kulturhuset Langå;B;Radikale Venstre;Rasmus Bergholdt, Skanderborg Kommune;0
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Listestemmer;42
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Bo Jensen, Ikast-Brande;2
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Purnima Erichsen, Aarhus;7
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Mette Guldberg, Herning;0
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Lau Sørensen, Holstebro;0
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Siff Tang Lassen, Aarhus;0
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Susanne Lund, Aarhus;1
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Malena Møller Mortensen, Viborg;5
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Anders Krojgaard Lund, Horsens;0
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Lone Rusberg, Silkeborg;1
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Flemming Nielsen, Hadsten;4
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Ulrik Linvald, Ringkøbing-Skjern;0
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Morten Ballegaard Sørensen, Randers;11
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Dorthe le Fèvre, Ebeltoft;1
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Oliver Abildskov, Aarhus;0
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Claus Sørensen, Hedensted;0
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Jens Laursen-Schmidt, Struer;0
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Emilia M. Feldskov, Aarhus C;0
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;René Krongaard, Odder;0
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Birgitte Majgaard, Galten;2
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Michael Grove, Viborg;0
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Peter Askjær, Samsø;1
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Bjarne Linneberg, Skive;0
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Kasper Pagh, Horsens;0
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Emil Karlebjerg, Aarhus N;0
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Esben Iversen, Rødkærsbro;0
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Christian Wibe-Marker, Skanderborg;0
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Lars Jensen, Løsning;0
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Karl Højhus Jeppesen, Kibæk;0
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Kenneth J. Grinderslev, Skive;0
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Kirstine Skjødt, Viborg;1
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Esben Hedeager, Horsens;0
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Alice Holst Brask, Djursland;0
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Torben Krebs, Hadsten;0
Randers;1. Kulturhuset Langå;C;Det Konservative Folkeparti;Knud Schøler, Hinnerup;0
Randers;1. Kulturhuset Langå;D;Nye Borgerlige;Listestemmer;0
Randers;1. Kulturhuset Langå;D;Nye Borgerlige;Jan K. Pedersen, Hemmet;1
Randers;1. Kulturhuset Langå;D;Nye Borgerlige;Jytte Pedersen, Herning;0
Randers;1. Kulturhuset Langå;D;Nye Borgerlige;Jan Skat Riishøj, Østbirk;0
Randers;1. Kulturhuset Langå;D;Nye Borgerlige;Leif Krøyer, Søvind;1
Randers;1. Kulturhuset Langå;D;Nye Borgerlige;René Galsgaard, Holstebro;0
Randers;1. Kulturhuset Langå;F;SF - Socialistisk Folkeparti;Listestemmer;147
Randers;1. Kulturhuset Langå;F;SF - Socialistisk Folkeparti;Jacob Klærke, Horsens;7
Randers;1. Kulturhuset Langå;F;SF - Socialistisk Folkeparti;Susanne Buch, Favrskov;25
Randers;1. Kulturhuset Langå;F;SF - Socialistisk Folkeparti;Jakob Fuglsang Andersen, Aarhus;8
Randers;1. Kulturhuset Langå;F;SF - Socialistisk Folkeparti;Naja Kallesøe, Silkeborg;5
Randers;1. Kulturhuset Langå;F;SF - Socialistisk Folkeparti;Søren Norlander, Randers;30
Randers;1. Kulturhuset Langå;F;SF - Socialistisk Folkeparti;Peter Nowack, Herning;0
Randers;1. Kulturhuset Langå;F;SF - Socialistisk Folkeparti;Rasmus T. Mortensen, Aarhus;0
Randers;1. Kulturhuset Langå;F;SF - Socialistisk Folkeparti;Bente Strager, Skanderborg;3
Randers;1. Kulturhuset Langå;F;SF - Socialistisk Folkeparti;Kasper Venning, Viborg;0
Randers;1. Kulturhuset Langå;F;SF - Socialistisk Folkeparti;Adnan Nikontovic, Horsens;1
Randers;1. Kulturhuset Langå;F;SF - Socialistisk Folkeparti;Ulrik Rasmussen, Syddjurs Kommune;0
Randers;1. Kulturhuset Langå;F;SF - Socialistisk Folkeparti;Kasper Vindbjerg, Norddjurs;2
