Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Skive;1. Aakjær;A;Socialdemokratiet;Listestemmer;278
Skive;1. Aakjær;A;Socialdemokratiet;Anders Kühnau, Aarhus;141
Skive;1. Aakjær;A;Socialdemokratiet;Else Søjmark, Djursland;11
Skive;1. Aakjær;A;Socialdemokratiet;Michael Maaløe, Horsens;2
Skive;1. Aakjær;A;Socialdemokratiet;Christina Kirkegaard, Aarhus;8
Skive;1. Aakjær;A;Socialdemokratiet;Andreas Tang-Brock, Ry;2
Skive;1. Aakjær;A;Socialdemokratiet;Iben Sønderup, Aarhus;4
Skive;1. Aakjær;A;Socialdemokratiet;Lasse Bjørn Møller, Holstebro;7
Skive;1. Aakjær;A;Socialdemokratiet;Peter Møller Andersen, Aarhus;1
Skive;1. Aakjær;A;Socialdemokratiet;Ole Bøgh Vinther, Aarhus;1
Skive;1. Aakjær;A;Socialdemokratiet;Lars Stampe, Holstebro;4
Skive;1. Aakjær;A;Socialdemokratiet;Michele Offenbach Holm, Randers;2
Skive;1. Aakjær;A;Socialdemokratiet;Njord Fomsgaard Kvistgaard, Randers C;0
Skive;1. Aakjær;A;Socialdemokratiet;Nils Borring, Favrskov;2
Skive;1. Aakjær;A;Socialdemokratiet;Susanne Grove, Skive;396
Skive;1. Aakjær;A;Socialdemokratiet;Per Møller Jensen, Viborg;8
Skive;1. Aakjær;A;Socialdemokratiet;Camilla Holt Jones, Viborg;4
Skive;1. Aakjær;A;Socialdemokratiet;Lone Børlum, Herning;5
Skive;1. Aakjær;A;Socialdemokratiet;Annette Roed, Silkeborg;2
Skive;1. Aakjær;A;Socialdemokratiet;Linda Nielsen, Videbæk;1
Skive;1. Aakjær;A;Socialdemokratiet;Niels Viggo Lynghøj, Struer;6
Skive;1. Aakjær;A;Socialdemokratiet;Mustafa Arslan, Ikast-Brande;1
Skive;1. Aakjær;A;Socialdemokratiet;Karoline Bergkvist Søgaard, Djursland;1
Skive;1. Aakjær;A;Socialdemokratiet;Elvin J. Hansen, Odder;0
Skive;1. Aakjær;A;Socialdemokratiet;Lilian Højbjerg, Holstebro;2
Skive;1. Aakjær;A;Socialdemokratiet;Birgit Marie Christensen, Favrskov;1
Skive;1. Aakjær;A;Socialdemokratiet;Jimmi Elley Nielsen, Snejbjerg;0
Skive;1. Aakjær;B;Radikale Venstre;Listestemmer;33
Skive;1. Aakjær;B;Radikale Venstre;Hanne Roed, Aarhus;6
Skive;1. Aakjær;B;Radikale Venstre;Philip Vivet, Herning Kommune;2
Skive;1. Aakjær;B;Radikale Venstre;Rasmus Gamst Beltofte, Holstebro Kommune;2
Skive;1. Aakjær;B;Radikale Venstre;Lone Kjær Hein, Holstebro Kommune;8
Skive;1. Aakjær;B;Radikale Venstre;Mia Nybo, Favrskov Kommune;3
Skive;1. Aakjær;B;Radikale Venstre;Mathias Sikora, Aarhus Kommune;0
Skive;1. Aakjær;B;Radikale Venstre;Thomas Hammer-Jakobsen, Odder Kommune;1
Skive;1. Aakjær;B;Radikale Venstre;Marianne Tøttrup, Viborg Kommune;4
Skive;1. Aakjær;B;Radikale Venstre;Søren Mikkelsen, Randers Kommune;0
Skive;1. Aakjær;B;Radikale Venstre;Claus Pedersen, Ringkøbing-Skjern Kommune;0
Skive;1. Aakjær;B;Radikale Venstre;Bjarke Jensen, Syddjurs Kommune;0
Skive;1. Aakjær;B;Radikale Venstre;Steen Jonsson Agger, Aarhus Kommune;0
Skive;1. Aakjær;B;Radikale Venstre;Rikke Christensen, Horsens Kommune;1
Skive;1. Aakjær;B;Radikale Venstre;Kasper Humle, Lemvig Kommune;3
Skive;1. Aakjær;B;Radikale Venstre;Morten Junget, Silkeborg Kommune;0
Skive;1. Aakjær;B;Radikale Venstre;Niels Voetmann Jepsen, Horsens Kommune;1
