Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Struer;1. Struer;A;Socialdemokratiet;Listestemmer;319
Struer;1. Struer;A;Socialdemokratiet;Anders Kühnau, Aarhus;153
Struer;1. Struer;A;Socialdemokratiet;Else Søjmark, Djursland;2
Struer;1. Struer;A;Socialdemokratiet;Michael Maaløe, Horsens;3
Struer;1. Struer;A;Socialdemokratiet;Christina Kirkegaard, Aarhus;7
Struer;1. Struer;A;Socialdemokratiet;Andreas Tang-Brock, Ry;2
Struer;1. Struer;A;Socialdemokratiet;Iben Sønderup, Aarhus;1
Struer;1. Struer;A;Socialdemokratiet;Lasse Bjørn Møller, Holstebro;44
Struer;1. Struer;A;Socialdemokratiet;Peter Møller Andersen, Aarhus;1
Struer;1. Struer;A;Socialdemokratiet;Ole Bøgh Vinther, Aarhus;1
Struer;1. Struer;A;Socialdemokratiet;Lars Stampe, Holstebro;57
Struer;1. Struer;A;Socialdemokratiet;Michele Offenbach Holm, Randers;1
Struer;1. Struer;A;Socialdemokratiet;Njord Fomsgaard Kvistgaard, Randers C;1
Struer;1. Struer;A;Socialdemokratiet;Nils Borring, Favrskov;0
Struer;1. Struer;A;Socialdemokratiet;Susanne Grove, Skive;7
Struer;1. Struer;A;Socialdemokratiet;Per Møller Jensen, Viborg;1
Struer;1. Struer;A;Socialdemokratiet;Camilla Holt Jones, Viborg;2
Struer;1. Struer;A;Socialdemokratiet;Lone Børlum, Herning;2
Struer;1. Struer;A;Socialdemokratiet;Annette Roed, Silkeborg;2
Struer;1. Struer;A;Socialdemokratiet;Linda Nielsen, Videbæk;4
Struer;1. Struer;A;Socialdemokratiet;Niels Viggo Lynghøj, Struer;801
Struer;1. Struer;A;Socialdemokratiet;Mustafa Arslan, Ikast-Brande;11
Struer;1. Struer;A;Socialdemokratiet;Karoline Bergkvist Søgaard, Djursland;1
Struer;1. Struer;A;Socialdemokratiet;Elvin J. Hansen, Odder;0
Struer;1. Struer;A;Socialdemokratiet;Lilian Højbjerg, Holstebro;18
Struer;1. Struer;A;Socialdemokratiet;Birgit Marie Christensen, Favrskov;0
Struer;1. Struer;A;Socialdemokratiet;Jimmi Elley Nielsen, Snejbjerg;1
Struer;1. Struer;B;Radikale Venstre;Listestemmer;58
Struer;1. Struer;B;Radikale Venstre;Hanne Roed, Aarhus;9
Struer;1. Struer;B;Radikale Venstre;Philip Vivet, Herning Kommune;2
Struer;1. Struer;B;Radikale Venstre;Rasmus Gamst Beltofte, Holstebro Kommune;28
Struer;1. Struer;B;Radikale Venstre;Lone Kjær Hein, Holstebro Kommune;18
Struer;1. Struer;B;Radikale Venstre;Mia Nybo, Favrskov Kommune;3
Struer;1. Struer;B;Radikale Venstre;Mathias Sikora, Aarhus Kommune;1
Struer;1. Struer;B;Radikale Venstre;Thomas Hammer-Jakobsen, Odder Kommune;1
Struer;1. Struer;B;Radikale Venstre;Marianne Tøttrup, Viborg Kommune;1
Struer;1. Struer;B;Radikale Venstre;Søren Mikkelsen, Randers Kommune;3
Struer;1. Struer;B;Radikale Venstre;Claus Pedersen, Ringkøbing-Skjern Kommune;1
Struer;1. Struer;B;Radikale Venstre;Bjarke Jensen, Syddjurs Kommune;0
Struer;1. Struer;B;Radikale Venstre;Steen Jonsson Agger, Aarhus Kommune;1
Struer;1. Struer;B;Radikale Venstre;Rikke Christensen, Horsens Kommune;2
Struer;1. Struer;B;Radikale Venstre;Kasper Humle, Lemvig Kommune;10
Struer;1. Struer;B;Radikale Venstre;Morten Junget, Silkeborg Kommune;0
Struer;1. Struer;B;Radikale Venstre;Niels Voetmann Jepsen, Horsens Kommune;0
Struer;1. Struer;B;Radikale Venstre;Rasmus Bergholdt, Skanderborg Kommune;0
Struer;1. Struer;C;Det Konservative Folkeparti;Listestemmer;59
Struer;1. Struer;C;Det Konservative Folkeparti;Bo Jensen, Ikast-Brande;4
Struer;1. Struer;C;Det Konservative Folkeparti;Purnima Erichsen, Aarhus;5
Struer;1. Struer;C;Det Konservative Folkeparti;Mette Guldberg, Herning;5
Struer;1. Struer;C;Det Konservative Folkeparti;Lau Sørensen, Holstebro;7
Struer;1. Struer;C;Det Konservative Folkeparti;Siff Tang Lassen, Aarhus;3
Struer;1. Struer;C;Det Konservative Folkeparti;Susanne Lund, Aarhus;1
Struer;1. Struer;C;Det Konservative Folkeparti;Malena Møller Mortensen, Viborg;2
Struer;1. Struer;C;Det Konservative Folkeparti;Anders Krojgaard Lund, Horsens;1
Struer;1. Struer;C;Det Konservative Folkeparti;Lone Rusberg, Silkeborg;0
Struer;1. Struer;C;Det Konservative Folkeparti;Flemming Nielsen, Hadsten;0
Struer;1. Struer;C;Det Konservative Folkeparti;Ulrik Linvald, Ringkøbing-Skjern;0
Struer;1. Struer;C;Det Konservative Folkeparti;Morten Ballegaard Sørensen, Randers;0
Struer;1. Struer;C;Det Konservative Folkeparti;Dorthe le Fèvre, Ebeltoft;1
