Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Syddjurs;1. Ebeltoft;A;Socialdemokratiet;Listestemmer;519
Syddjurs;1. Ebeltoft;A;Socialdemokratiet;Anders Kühnau, Aarhus;379
Syddjurs;1. Ebeltoft;A;Socialdemokratiet;Else Søjmark, Djursland;412
Syddjurs;1. Ebeltoft;A;Socialdemokratiet;Michael Maaløe, Horsens;2
Syddjurs;1. Ebeltoft;A;Socialdemokratiet;Christina Kirkegaard, Aarhus;13
Syddjurs;1. Ebeltoft;A;Socialdemokratiet;Andreas Tang-Brock, Ry;5
Syddjurs;1. Ebeltoft;A;Socialdemokratiet;Iben Sønderup, Aarhus;9
Syddjurs;1. Ebeltoft;A;Socialdemokratiet;Lasse Bjørn Møller, Holstebro;1
Syddjurs;1. Ebeltoft;A;Socialdemokratiet;Peter Møller Andersen, Aarhus;9
Syddjurs;1. Ebeltoft;A;Socialdemokratiet;Ole Bøgh Vinther, Aarhus;3
Syddjurs;1. Ebeltoft;A;Socialdemokratiet;Lars Stampe, Holstebro;3
Syddjurs;1. Ebeltoft;A;Socialdemokratiet;Michele Offenbach Holm, Randers;10
Syddjurs;1. Ebeltoft;A;Socialdemokratiet;Njord Fomsgaard Kvistgaard, Randers C;0
Syddjurs;1. Ebeltoft;A;Socialdemokratiet;Nils Borring, Favrskov;8
Syddjurs;1. Ebeltoft;A;Socialdemokratiet;Susanne Grove, Skive;2
Syddjurs;1. Ebeltoft;A;Socialdemokratiet;Per Møller Jensen, Viborg;1
Syddjurs;1. Ebeltoft;A;Socialdemokratiet;Camilla Holt Jones, Viborg;1
Syddjurs;1. Ebeltoft;A;Socialdemokratiet;Lone Børlum, Herning;0
Syddjurs;1. Ebeltoft;A;Socialdemokratiet;Annette Roed, Silkeborg;3
Syddjurs;1. Ebeltoft;A;Socialdemokratiet;Linda Nielsen, Videbæk;1
Syddjurs;1. Ebeltoft;A;Socialdemokratiet;Niels Viggo Lynghøj, Struer;4
Syddjurs;1. Ebeltoft;A;Socialdemokratiet;Mustafa Arslan, Ikast-Brande;1
Syddjurs;1. Ebeltoft;A;Socialdemokratiet;Karoline Bergkvist Søgaard, Djursland;69
Syddjurs;1. Ebeltoft;A;Socialdemokratiet;Elvin J. Hansen, Odder;1
Syddjurs;1. Ebeltoft;A;Socialdemokratiet;Lilian Højbjerg, Holstebro;3
Syddjurs;1. Ebeltoft;A;Socialdemokratiet;Birgit Marie Christensen, Favrskov;3
Syddjurs;1. Ebeltoft;A;Socialdemokratiet;Jimmi Elley Nielsen, Snejbjerg;0
Syddjurs;1. Ebeltoft;B;Radikale Venstre;Listestemmer;124
Syddjurs;1. Ebeltoft;B;Radikale Venstre;Hanne Roed, Aarhus;46
Syddjurs;1. Ebeltoft;B;Radikale Venstre;Philip Vivet, Herning Kommune;1
Syddjurs;1. Ebeltoft;B;Radikale Venstre;Rasmus Gamst Beltofte, Holstebro Kommune;4
Syddjurs;1. Ebeltoft;B;Radikale Venstre;Lone Kjær Hein, Holstebro Kommune;4
Syddjurs;1. Ebeltoft;B;Radikale Venstre;Mia Nybo, Favrskov Kommune;12
Syddjurs;1. Ebeltoft;B;Radikale Venstre;Mathias Sikora, Aarhus Kommune;2
Syddjurs;1. Ebeltoft;B;Radikale Venstre;Thomas Hammer-Jakobsen, Odder Kommune;1
