Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Brønderslev;1. Agersted;A;Socialdemokratiet;Listestemmer;45
Brønderslev;1. Agersted;A;Socialdemokratiet;Arne Boelt, Hjørring;24
Brønderslev;1. Agersted;A;Socialdemokratiet;Anna Kirsten Olesen, Aalborg;3
Brønderslev;1. Agersted;A;Socialdemokratiet;Mogens Nørgård, Aabybro;1
Brønderslev;1. Agersted;A;Socialdemokratiet;Kirsten Morild Andersen, Frederikshavn;4
Brønderslev;1. Agersted;A;Socialdemokratiet;Jørgen Hansen, Aalborg Kommune;2
Brønderslev;1. Agersted;A;Socialdemokratiet;Hanne Korsgaard, Thisted;0
Brønderslev;1. Agersted;A;Socialdemokratiet;Lene Birket-Smith, Aalborg;0
Brønderslev;1. Agersted;A;Socialdemokratiet;Henrik Terp, Vesthimmerland;0
Brønderslev;1. Agersted;A;Socialdemokratiet;Torben Ringe Christensen, Mariagerfjord;0
Brønderslev;1. Agersted;A;Socialdemokratiet;Peter Holm, Aalborg;0
Brønderslev;1. Agersted;A;Socialdemokratiet;Oskar Schmidt, Skagen;0
Brønderslev;1. Agersted;A;Socialdemokratiet;Lone Clausen, Brønderslev;20
Brønderslev;1. Agersted;A;Socialdemokratiet;Mathias Lassen Antonsen, Hals;0
Brønderslev;1. Agersted;A;Socialdemokratiet;Poul Kristensen, Morsø;1
Brønderslev;1. Agersted;A;Socialdemokratiet;Pernille Buhelt, Hjørring;0
Brønderslev;1. Agersted;A;Socialdemokratiet;Lis Mancini, Hadsund;0
Brønderslev;1. Agersted;A;Socialdemokratiet;Søren Eriksen, Gistrup;0
Brønderslev;1. Agersted;A;Socialdemokratiet;Ali Hassan, Aalborg;0
Brønderslev;1. Agersted;B;Radikale Venstre;Listestemmer;4
Brønderslev;1. Agersted;B;Radikale Venstre;Marianne Mulle Jensen, Aalborg;1
Brønderslev;1. Agersted;B;Radikale Venstre;Gry Bruun Nielsen, Hjørring;2
Brønderslev;1. Agersted;B;Radikale Venstre;Sune Kragelund, Aalborg;0
Brønderslev;1. Agersted;B;Radikale Venstre;Steen Asgeir Petersen, Thisted;0
Brønderslev;1. Agersted;B;Radikale Venstre;Michael Portefée P. Lex, Rebild;2
Brønderslev;1. Agersted;B;Radikale Venstre;Karsten Kjærgaard, Vesthimmerland;0
Brønderslev;1. Agersted;B;Radikale Venstre;Gorm Simonsen, Dronninglund;2
