Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Hjørring;1. Horne;A;Socialdemokratiet;Listestemmer;41
Hjørring;1. Horne;A;Socialdemokratiet;Arne Boelt, Hjørring;124
Hjørring;1. Horne;A;Socialdemokratiet;Anna Kirsten Olesen, Aalborg;3
Hjørring;1. Horne;A;Socialdemokratiet;Mogens Nørgård, Aabybro;2
Hjørring;1. Horne;A;Socialdemokratiet;Kirsten Morild Andersen, Frederikshavn;1
Hjørring;1. Horne;A;Socialdemokratiet;Jørgen Hansen, Aalborg Kommune;0
Hjørring;1. Horne;A;Socialdemokratiet;Hanne Korsgaard, Thisted;0
Hjørring;1. Horne;A;Socialdemokratiet;Lene Birket-Smith, Aalborg;0
Hjørring;1. Horne;A;Socialdemokratiet;Henrik Terp, Vesthimmerland;0
Hjørring;1. Horne;A;Socialdemokratiet;Torben Ringe Christensen, Mariagerfjord;0
Hjørring;1. Horne;A;Socialdemokratiet;Peter Holm, Aalborg;0
Hjørring;1. Horne;A;Socialdemokratiet;Oskar Schmidt, Skagen;0
Hjørring;1. Horne;A;Socialdemokratiet;Lone Clausen, Brønderslev;2
Hjørring;1. Horne;A;Socialdemokratiet;Mathias Lassen Antonsen, Hals;1
Hjørring;1. Horne;A;Socialdemokratiet;Poul Kristensen, Morsø;0
Hjørring;1. Horne;A;Socialdemokratiet;Pernille Buhelt, Hjørring;21
Hjørring;1. Horne;A;Socialdemokratiet;Lis Mancini, Hadsund;0
Hjørring;1. Horne;A;Socialdemokratiet;Søren Eriksen, Gistrup;0
Hjørring;1. Horne;A;Socialdemokratiet;Ali Hassan, Aalborg;1
Hjørring;1. Horne;B;Radikale Venstre;Listestemmer;2
Hjørring;1. Horne;B;Radikale Venstre;Marianne Mulle Jensen, Aalborg;1
Hjørring;1. Horne;B;Radikale Venstre;Gry Bruun Nielsen, Hjørring;37
Hjørring;1. Horne;B;Radikale Venstre;Sune Kragelund, Aalborg;0
Hjørring;1. Horne;B;Radikale Venstre;Steen Asgeir Petersen, Thisted;0
Hjørring;1. Horne;B;Radikale Venstre;Michael Portefée P. Lex, Rebild;0
Hjørring;1. Horne;B;Radikale Venstre;Karsten Kjærgaard, Vesthimmerland;0
Hjørring;1. Horne;B;Radikale Venstre;Gorm Simonsen, Dronninglund;0
Hjørring;1. Horne;B;Radikale Venstre;Steffen Holme Helledie, Vejgaard;0
Hjørring;1. Horne;B;Radikale Venstre;Dorthe Kerschus, Brønderslev;0
Hjørring;1. Horne;B;Radikale Venstre;Hans Jørgen Nygaard, Frederikshavn;0
Hjørring;1. Horne;B;Radikale Venstre;Annegrete Jensen, Jammerbugt;0
Hjørring;1. Horne;B;Radikale Venstre;Daniel  Svendsen, Hjørring;0
Hjørring;1. Horne;B;Radikale Venstre;Niels Kristian Pilgaard Jensen, Jammerbugt;0
Hjørring;1. Horne;B;Radikale Venstre;Susanne Krebs, Aalborg;0
Hjørring;1. Horne;B;Radikale Venstre;Theis Magle, Hjørring;0
