Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Læsø;15. Læsø;A;Socialdemokratiet;Listestemmer;85
Læsø;15. Læsø;A;Socialdemokratiet;Arne Boelt, Hjørring;46
Læsø;15. Læsø;A;Socialdemokratiet;Anna Kirsten Olesen, Aalborg;4
Læsø;15. Læsø;A;Socialdemokratiet;Mogens Nørgård, Aabybro;1
Læsø;15. Læsø;A;Socialdemokratiet;Kirsten Morild Andersen, Frederikshavn;38
Læsø;15. Læsø;A;Socialdemokratiet;Jørgen Hansen, Aalborg Kommune;0
Læsø;15. Læsø;A;Socialdemokratiet;Hanne Korsgaard, Thisted;0
Læsø;15. Læsø;A;Socialdemokratiet;Lene Birket-Smith, Aalborg;1
Læsø;15. Læsø;A;Socialdemokratiet;Henrik Terp, Vesthimmerland;0
Læsø;15. Læsø;A;Socialdemokratiet;Torben Ringe Christensen, Mariagerfjord;0
Læsø;15. Læsø;A;Socialdemokratiet;Peter Holm, Aalborg;1
Læsø;15. Læsø;A;Socialdemokratiet;Oskar Schmidt, Skagen;0
Læsø;15. Læsø;A;Socialdemokratiet;Lone Clausen, Brønderslev;2
Læsø;15. Læsø;A;Socialdemokratiet;Mathias Lassen Antonsen, Hals;1
Læsø;15. Læsø;A;Socialdemokratiet;Poul Kristensen, Morsø;0
Læsø;15. Læsø;A;Socialdemokratiet;Pernille Buhelt, Hjørring;0
Læsø;15. Læsø;A;Socialdemokratiet;Lis Mancini, Hadsund;1
Læsø;15. Læsø;A;Socialdemokratiet;Søren Eriksen, Gistrup;0
Læsø;15. Læsø;A;Socialdemokratiet;Ali Hassan, Aalborg;0
Læsø;15. Læsø;B;Radikale Venstre;Listestemmer;15
Læsø;15. Læsø;B;Radikale Venstre;Marianne Mulle Jensen, Aalborg;14
Læsø;15. Læsø;B;Radikale Venstre;Gry Bruun Nielsen, Hjørring;0
Læsø;15. Læsø;B;Radikale Venstre;Sune Kragelund, Aalborg;0
Læsø;15. Læsø;B;Radikale Venstre;Steen Asgeir Petersen, Thisted;0
Læsø;15. Læsø;B;Radikale Venstre;Michael Portefée P. Lex, Rebild;0
Læsø;15. Læsø;B;Radikale Venstre;Karsten Kjærgaard, Vesthimmerland;0
Læsø;15. Læsø;B;Radikale Venstre;Gorm Simonsen, Dronninglund;0
Læsø;15. Læsø;B;Radikale Venstre;Steffen Holme Helledie, Vejgaard;0
Læsø;15. Læsø;B;Radikale Venstre;Dorthe Kerschus, Brønderslev;0
Læsø;15. Læsø;B;Radikale Venstre;Hans Jørgen Nygaard, Frederikshavn;0
Læsø;15. Læsø;B;Radikale Venstre;Annegrete Jensen, Jammerbugt;0
Læsø;15. Læsø;B;Radikale Venstre;Daniel  Svendsen, Hjørring;0
Læsø;15. Læsø;B;Radikale Venstre;Niels Kristian Pilgaard Jensen, Jammerbugt;0
Læsø;15. Læsø;B;Radikale Venstre;Susanne Krebs, Aalborg;0
Læsø;15. Læsø;B;Radikale Venstre;Theis Magle, Hjørring;0
Læsø;15. Læsø;B;Radikale Venstre;Frederik Asgeir Berg, Aalborg;2
Læsø;15. Læsø;B;Radikale Venstre;Hans Jørgen Kristensen, Kallerup;0
Læsø;15. Læsø;B;Radikale Venstre;Pia Elberg, Rebild;0
Læsø;15. Læsø;B;Radikale Venstre;Frede Hansen, Aalborg;0
Læsø;15. Læsø;B;Radikale Venstre;Keld K. Kvist, Nørresundby;0
Læsø;15. Læsø;B;Radikale Venstre;Hassan Alouch, Hjørring;0
Læsø;15. Læsø;B;Radikale Venstre;Marie Wandel, Frederikshavn;3
Læsø;15. Læsø;C;Det Konservative Folkeparti;Listestemmer;39
Læsø;15. Læsø;C;Det Konservative Folkeparti;Pia Buus Pinstrup, Vesthimmerland;10
Læsø;15. Læsø;C;Det Konservative Folkeparti;Per Larsen, Frederikshavn;8
Læsø;15. Læsø;C;Det Konservative Folkeparti;Vibeke Gamst, Aalborg;0
Læsø;15. Læsø;C;Det Konservative Folkeparti;Per Møller, Hjørring;0
Læsø;15. Læsø;C;Det Konservative Folkeparti;Lene Aalestrup, Rebild;0
Læsø;15. Læsø;C;Det Konservative Folkeparti;Alex Klein, Thisted;2
Læsø;15. Læsø;C;Det Konservative Folkeparti;Karen Tilma, Brønderslev;9
Læsø;15. Læsø;C;Det Konservative Folkeparti;Lotte Finck, Aalborg;2
Læsø;15. Læsø;C;Det Konservative Folkeparti;Simon Linde, Mariagerfjord;0
Læsø;15. Læsø;C;Det Konservative Folkeparti;Palle L. Nielsen, Jammerbugt;0
Læsø;15. Læsø;C;Det Konservative Folkeparti;Niels Odgaard, Læsø;261
Læsø;15. Læsø;C;Det Konservative Folkeparti;Rikke Pedersen, Aalborg;1
Læsø;15. Læsø;C;Det Konservative Folkeparti;Sofie Therese Svendsen, Aalborg;0
Læsø;15. Læsø;C;Det Konservative Folkeparti;Pernille Kjul Knudsen, Hjørring;0
Læsø;15. Læsø;C;Det Konservative Folkeparti;Flemming Agerskov, Frederikshavn;0
Læsø;15. Læsø;C;Det Konservative Folkeparti;Janni Høybye, Brønderslev;0
Læsø;15. Læsø;C;Det Konservative Folkeparti;Jens Tilma, Thisted;1
Læsø;15. Læsø;C;Det Konservative Folkeparti;Lene Burchardt, Aalborg;0
Læsø;15. Læsø;C;Det Konservative Folkeparti;Ulrik Mark Jensen, Vesthimmerland;0
Læsø;15. Læsø;C;Det Konservative Folkeparti;Jeanette Sagan, Rebild;0
Læsø;15. Læsø;C;Det Konservative Folkeparti;Jørgen Ravn Christensen, Jammerbugt;0
Læsø;15. Læsø;C;Det Konservative Folkeparti;Kristian Hedelund, Brønderslev;0
Læsø;15. Læsø;C;Det Konservative Folkeparti;Jens Martin Fjordbak, Frederikshavn;2
Læsø;15. Læsø;C;Det Konservative Folkeparti;Bjarne B. Madsen, Frederikshavn;2
Læsø;15. Læsø;C;Det Konservative Folkeparti;Poul Roesen, Morsø;0
Læsø;15. Læsø;D;Nye Borgerlige;Listestemmer;6
Læsø;15. Læsø;D;Nye Borgerlige;Lars Erling Sørensen, Brønderslev;1
Læsø;15. Læsø;F;SF - Socialistisk Folkeparti;Listestemmer;43
Læsø;15. Læsø;F;SF - Socialistisk Folkeparti;Lene Linnemann, Aalborg Kommune;10
Læsø;15. Læsø;F;SF - Socialistisk Folkeparti;Benjamin Christensen, Aalborg;0
Læsø;15. Læsø;F;SF - Socialistisk Folkeparti;Anne-Sofie Overgaard, Aalborg Kommune;3
Læsø;15. Læsø;F;SF - Socialistisk Folkeparti;Thomas Krog, Brønderslev Kommune;0
Læsø;15. Læsø;F;SF - Socialistisk Folkeparti;Jakob Sønderhaven, Jammerbugt;0
Læsø;15. Læsø;F;SF - Socialistisk Folkeparti;Annemette Bach, Vesthimmerlands Kommune;1
Læsø;15. Læsø;F;SF - Socialistisk Folkeparti;Erik Holm, Thisted;0
Læsø;15. Læsø;F;SF - Socialistisk Folkeparti;Charlotte Holst Høybye, Jammerbugt;0
Læsø;15. Læsø;F;SF - Socialistisk Folkeparti;Charlotte Petersen, Mariagerfjord;1
Læsø;15. Læsø;F;SF - Socialistisk Folkeparti;Per Alstrup, Rebild;0
Læsø;15. Læsø;F;SF - Socialistisk Folkeparti;Kristina Johansen, Brønderslev;2
Læsø;15. Læsø;F;SF - Socialistisk Folkeparti;Frank Østergaard, Jammerbugt Kommune;0
Læsø;15. Læsø;F;SF - Socialistisk Folkeparti;Peder Larsen, Mariagerfjord;0
Læsø;15. Læsø;F;SF - Socialistisk Folkeparti;Jens Lyhne, Thisted Kommune;0
Læsø;15. Læsø;F;SF - Socialistisk Folkeparti;Almina Nikontovic, Frederikshavn Kommune;11
Læsø;15. Læsø;F;SF - Socialistisk Folkeparti;Gerda Nørgaard, Hjørring;1
Læsø;15. Læsø;I;Liberal Alliance;Listestemmer;16
Læsø;15. Læsø;I;Liberal Alliance;Kenneth Hammer;0
Læsø;15. Læsø;I;Liberal Alliance;Bo Ritterbusch;0
Læsø;15. Læsø;I;Liberal Alliance;Kim Gaarsdahl;0
Læsø;15. Læsø;I;Liberal Alliance;Mikael Simonsen;0
Læsø;15. Læsø;I;Liberal Alliance;HP Beck;0
Læsø;15. Læsø;I;Liberal Alliance;Peter Thellufsen Pedersen;0
Læsø;15. Læsø;I;Liberal Alliance;Lars Rem;0
Læsø;15. Læsø;I;Liberal Alliance;Michel Thrysøe;0
Læsø;15. Læsø;I;Liberal Alliance;Thomas Christiansen;0
Læsø;15. Læsø;I;Liberal Alliance;Frederik Blicher Pedersen;0
Læsø;15. Læsø;I;Liberal Alliance;Morten Bo;0
