Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Mariagerfjord;2. Assens;A;Socialdemokratiet;Listestemmer;138
Mariagerfjord;2. Assens;A;Socialdemokratiet;Arne Boelt, Hjørring;35
Mariagerfjord;2. Assens;A;Socialdemokratiet;Anna Kirsten Olesen, Aalborg;4
Mariagerfjord;2. Assens;A;Socialdemokratiet;Mogens Nørgård, Aabybro;2
Mariagerfjord;2. Assens;A;Socialdemokratiet;Kirsten Morild Andersen, Frederikshavn;0
Mariagerfjord;2. Assens;A;Socialdemokratiet;Jørgen Hansen, Aalborg Kommune;0
Mariagerfjord;2. Assens;A;Socialdemokratiet;Hanne Korsgaard, Thisted;1
Mariagerfjord;2. Assens;A;Socialdemokratiet;Lene Birket-Smith, Aalborg;1
Mariagerfjord;2. Assens;A;Socialdemokratiet;Henrik Terp, Vesthimmerland;1
Mariagerfjord;2. Assens;A;Socialdemokratiet;Torben Ringe Christensen, Mariagerfjord;72
Mariagerfjord;2. Assens;A;Socialdemokratiet;Peter Holm, Aalborg;1
Mariagerfjord;2. Assens;A;Socialdemokratiet;Oskar Schmidt, Skagen;0
Mariagerfjord;2. Assens;A;Socialdemokratiet;Lone Clausen, Brønderslev;2
Mariagerfjord;2. Assens;A;Socialdemokratiet;Mathias Lassen Antonsen, Hals;2
Mariagerfjord;2. Assens;A;Socialdemokratiet;Poul Kristensen, Morsø;0
Mariagerfjord;2. Assens;A;Socialdemokratiet;Pernille Buhelt, Hjørring;0
Mariagerfjord;2. Assens;A;Socialdemokratiet;Lis Mancini, Hadsund;52
Mariagerfjord;2. Assens;A;Socialdemokratiet;Søren Eriksen, Gistrup;0
Mariagerfjord;2. Assens;A;Socialdemokratiet;Ali Hassan, Aalborg;0
Mariagerfjord;2. Assens;B;Radikale Venstre;Listestemmer;8
Mariagerfjord;2. Assens;B;Radikale Venstre;Marianne Mulle Jensen, Aalborg;1
Mariagerfjord;2. Assens;B;Radikale Venstre;Gry Bruun Nielsen, Hjørring;2
Mariagerfjord;2. Assens;B;Radikale Venstre;Sune Kragelund, Aalborg;1
Mariagerfjord;2. Assens;B;Radikale Venstre;Steen Asgeir Petersen, Thisted;0
Mariagerfjord;2. Assens;B;Radikale Venstre;Michael Portefée P. Lex, Rebild;0
Mariagerfjord;2. Assens;B;Radikale Venstre;Karsten Kjærgaard, Vesthimmerland;0
Mariagerfjord;2. Assens;B;Radikale Venstre;Gorm Simonsen, Dronninglund;0
Mariagerfjord;2. Assens;B;Radikale Venstre;Steffen Holme Helledie, Vejgaard;0
Mariagerfjord;2. Assens;B;Radikale Venstre;Dorthe Kerschus, Brønderslev;0
Mariagerfjord;2. Assens;B;Radikale Venstre;Hans Jørgen Nygaard, Frederikshavn;1
Mariagerfjord;2. Assens;B;Radikale Venstre;Annegrete Jensen, Jammerbugt;1
Mariagerfjord;2. Assens;B;Radikale Venstre;Daniel  Svendsen, Hjørring;1
Mariagerfjord;2. Assens;B;Radikale Venstre;Niels Kristian Pilgaard Jensen, Jammerbugt;0
Mariagerfjord;2. Assens;B;Radikale Venstre;Susanne Krebs, Aalborg;0
Mariagerfjord;2. Assens;B;Radikale Venstre;Theis Magle, Hjørring;0
Mariagerfjord;2. Assens;B;Radikale Venstre;Frederik Asgeir Berg, Aalborg;1
Mariagerfjord;2. Assens;B;Radikale Venstre;Hans Jørgen Kristensen, Kallerup;0
Mariagerfjord;2. Assens;B;Radikale Venstre;Pia Elberg, Rebild;0
Mariagerfjord;2. Assens;B;Radikale Venstre;Frede Hansen, Aalborg;1
Mariagerfjord;2. Assens;B;Radikale Venstre;Keld K. Kvist, Nørresundby;0
Mariagerfjord;2. Assens;B;Radikale Venstre;Hassan Alouch, Hjørring;0
Mariagerfjord;2. Assens;B;Radikale Venstre;Marie Wandel, Frederikshavn;0
Mariagerfjord;2. Assens;C;Det Konservative Folkeparti;Listestemmer;43
Mariagerfjord;2. Assens;C;Det Konservative Folkeparti;Pia Buus Pinstrup, Vesthimmerland;3
Mariagerfjord;2. Assens;C;Det Konservative Folkeparti;Per Larsen, Frederikshavn;4
Mariagerfjord;2. Assens;C;Det Konservative Folkeparti;Vibeke Gamst, Aalborg;0
Mariagerfjord;2. Assens;C;Det Konservative Folkeparti;Per Møller, Hjørring;0
Mariagerfjord;2. Assens;C;Det Konservative Folkeparti;Lene Aalestrup, Rebild;1
Mariagerfjord;2. Assens;C;Det Konservative Folkeparti;Alex Klein, Thisted;2
Mariagerfjord;2. Assens;C;Det Konservative Folkeparti;Karen Tilma, Brønderslev;1
Mariagerfjord;2. Assens;C;Det Konservative Folkeparti;Lotte Finck, Aalborg;0
Mariagerfjord;2. Assens;C;Det Konservative Folkeparti;Simon Linde, Mariagerfjord;29
Mariagerfjord;2. Assens;C;Det Konservative Folkeparti;Palle L. Nielsen, Jammerbugt;0
Mariagerfjord;2. Assens;C;Det Konservative Folkeparti;Niels Odgaard, Læsø;0
Mariagerfjord;2. Assens;C;Det Konservative Folkeparti;Rikke Pedersen, Aalborg;0
Mariagerfjord;2. Assens;C;Det Konservative Folkeparti;Sofie Therese Svendsen, Aalborg;0
Mariagerfjord;2. Assens;C;Det Konservative Folkeparti;Pernille Kjul Knudsen, Hjørring;0
Mariagerfjord;2. Assens;C;Det Konservative Folkeparti;Flemming Agerskov, Frederikshavn;0
Mariagerfjord;2. Assens;C;Det Konservative Folkeparti;Janni Høybye, Brønderslev;1
Mariagerfjord;2. Assens;C;Det Konservative Folkeparti;Jens Tilma, Thisted;0
Mariagerfjord;2. Assens;C;Det Konservative Folkeparti;Lene Burchardt, Aalborg;0
Mariagerfjord;2. Assens;C;Det Konservative Folkeparti;Ulrik Mark Jensen, Vesthimmerland;2
Mariagerfjord;2. Assens;C;Det Konservative Folkeparti;Jeanette Sagan, Rebild;0
Mariagerfjord;2. Assens;C;Det Konservative Folkeparti;Jørgen Ravn Christensen, Jammerbugt;0
Mariagerfjord;2. Assens;C;Det Konservative Folkeparti;Kristian Hedelund, Brønderslev;1
Mariagerfjord;2. Assens;C;Det Konservative Folkeparti;Jens Martin Fjordbak, Frederikshavn;0
Mariagerfjord;2. Assens;C;Det Konservative Folkeparti;Bjarne B. Madsen, Frederikshavn;0
Mariagerfjord;2. Assens;C;Det Konservative Folkeparti;Poul Roesen, Morsø;2
Mariagerfjord;2. Assens;D;Nye Borgerlige;Listestemmer;2
Mariagerfjord;2. Assens;D;Nye Borgerlige;Lars Erling Sørensen, Brønderslev;0
Mariagerfjord;2. Assens;F;SF - Socialistisk Folkeparti;Listestemmer;38
Mariagerfjord;2. Assens;F;SF - Socialistisk Folkeparti;Lene Linnemann, Aalborg Kommune;5
Mariagerfjord;2. Assens;F;SF - Socialistisk Folkeparti;Benjamin Christensen, Aalborg;0
Mariagerfjord;2. Assens;F;SF - Socialistisk Folkeparti;Anne-Sofie Overgaard, Aalborg Kommune;1
Mariagerfjord;2. Assens;F;SF - Socialistisk Folkeparti;Thomas Krog, Brønderslev Kommune;0
Mariagerfjord;2. Assens;F;SF - Socialistisk Folkeparti;Jakob Sønderhaven, Jammerbugt;0
Mariagerfjord;2. Assens;F;SF - Socialistisk Folkeparti;Annemette Bach, Vesthimmerlands Kommune;1
Mariagerfjord;2. Assens;F;SF - Socialistisk Folkeparti;Erik Holm, Thisted;0
Mariagerfjord;2. Assens;F;SF - Socialistisk Folkeparti;Charlotte Holst Høybye, Jammerbugt;0
Mariagerfjord;2. Assens;F;SF - Socialistisk Folkeparti;Charlotte Petersen, Mariagerfjord;22
Mariagerfjord;2. Assens;F;SF - Socialistisk Folkeparti;Per Alstrup, Rebild;0
Mariagerfjord;2. Assens;F;SF - Socialistisk Folkeparti;Kristina Johansen, Brønderslev;0
Mariagerfjord;2. Assens;F;SF - Socialistisk Folkeparti;Frank Østergaard, Jammerbugt Kommune;0
Mariagerfjord;2. Assens;F;SF - Socialistisk Folkeparti;Peder Larsen, Mariagerfjord;35
Mariagerfjord;2. Assens;F;SF - Socialistisk Folkeparti;Jens Lyhne, Thisted Kommune;0
Mariagerfjord;2. Assens;F;SF - Socialistisk Folkeparti;Almina Nikontovic, Frederikshavn Kommune;0
Mariagerfjord;2. Assens;F;SF - Socialistisk Folkeparti;Gerda Nørgaard, Hjørring;0
Mariagerfjord;2. Assens;I;Liberal Alliance;Listestemmer;21
Mariagerfjord;2. Assens;I;Liberal Alliance;Kenneth Hammer;4
Mariagerfjord;2. Assens;I;Liberal Alliance;Bo Ritterbusch;15
Mariagerfjord;2. Assens;I;Liberal Alliance;Kim Gaarsdahl;2
Mariagerfjord;2. Assens;I;Liberal Alliance;Mikael Simonsen;0
Mariagerfjord;2. Assens;I;Liberal Alliance;HP Beck;0
Mariagerfjord;2. Assens;I;Liberal Alliance;Peter Thellufsen Pedersen;0
Mariagerfjord;2. Assens;I;Liberal Alliance;Lars Rem;0
Mariagerfjord;2. Assens;I;Liberal Alliance;Michel Thrysøe;0
Mariagerfjord;2. Assens;I;Liberal Alliance;Thomas Christiansen;1
Mariagerfjord;2. Assens;I;Liberal Alliance;Frederik Blicher Pedersen;0
Mariagerfjord;2. Assens;I;Liberal Alliance;Morten Bo;0
Mariagerfjord;2. Assens;I;Liberal Alliance;Thomas Heuniche;0
Mariagerfjord;2. Assens;I;Liberal Alliance;Ronny Van Tieu;0
Mariagerfjord;2. Assens;I;Liberal Alliance;Rikke Olssen;2
Mariagerfjord;2. Assens;I;Liberal Alliance;Klaus Hjulmand;0
Mariagerfjord;2. Assens;I;Liberal Alliance;Kent Budolfsen;0
Mariagerfjord;2. Assens;I;Liberal Alliance;Hans-Henning Terp-Hansen;0
Mariagerfjord;2. Assens;I;Liberal Alliance;Rasmus Tymm;0
Mariagerfjord;2. Assens;I;Liberal Alliance;Jimmy Abel Nielsen;0
Mariagerfjord;2. Assens;I;Liberal Alliance;Henrik Viholm;1
Mariagerfjord;2. Assens;K;Kristendemokraterne;Listestemmer;1
Mariagerfjord;2. Assens;K;Kristendemokraterne;Anne-Marie Jørgensen, Løgstør;0
Mariagerfjord;2. Assens;K;Kristendemokraterne;Andreas Müller, Sindal;0
Mariagerfjord;2. Assens;K;Kristendemokraterne;Jesper Veiby, Aalborg;0
Mariagerfjord;2. Assens;K;Kristendemokraterne;Magnus Rothmann, Aalborg;0
Mariagerfjord;2. Assens;K;Kristendemokraterne;Jørgen Bjerregaard, Brovst;0
Mariagerfjord;2. Assens;K;Kristendemokraterne;Charlotte Greibe, Hobro;1
Mariagerfjord;2. Assens;K;Kristendemokraterne;Anders Kristian Lyng, Hobro;0
Mariagerfjord;2. Assens;K;Kristendemokraterne;Majbrit P. Rothmann, Aalborg;0
Mariagerfjord;2. Assens;K;Kristendemokraterne;Jakup F. Jacobsen, Fjerritslev;0
Mariagerfjord;2. Assens;K;Kristendemokraterne;Peter Øhrstrøm, Aalborg;0
Mariagerfjord;2. Assens;L;Vendelbo-Listen;Listestemmer;0
Mariagerfjord;2. Assens;L;Vendelbo-Listen;Erik Høgh-Sørensen;1
Mariagerfjord;2. Assens;L;Vendelbo-Listen;Jesper Riis Hansen;0
Mariagerfjord;2. Assens;L;Vendelbo-Listen;Asger Trier;0
Mariagerfjord;2. Assens;L;Vendelbo-Listen;Tania Lange;1
Mariagerfjord;2. Assens;L;Vendelbo-Listen;Søren Pagh Albers;0
Mariagerfjord;2. Assens;L;Vendelbo-Listen;Marthin Stadsvold;0
Mariagerfjord;2. Assens;L;Vendelbo-Listen;Frank Jørgensen;0
Mariagerfjord;2. Assens;L;Vendelbo-Listen;Anne V. Lauritsen;0
Mariagerfjord;2. Assens;L;Vendelbo-Listen;Anita Storgaard;0
Mariagerfjord;2. Assens;L;Vendelbo-Listen;John Bjerg;0
Mariagerfjord;2. Assens;L;Vendelbo-Listen;Ove Birk;0
Mariagerfjord;2. Assens;L;Vendelbo-Listen;Lindhardt Højen;0
Mariagerfjord;2. Assens;M;Moderaterne;Listestemmer;3
Mariagerfjord;2. Assens;M;Moderaterne;Morten Arvidsson;4
Mariagerfjord;2. Assens;M;Moderaterne;Ditte Ravn Kaagaard;0
Mariagerfjord;2. Assens;M;Moderaterne;Nikolaj C. Andersen;0
Mariagerfjord;2. Assens;M;Moderaterne;Laura Jensen;2
Mariagerfjord;2. Assens;M;Moderaterne;Paw Rytter;0
Mariagerfjord;2. Assens;M;Moderaterne;Rikke Kirstine Lomholt;1
Mariagerfjord;2. Assens;M;Moderaterne;Johnni Winther;0
Mariagerfjord;2. Assens;O;Dansk Folkeparti;Listestemmer;31
Mariagerfjord;2. Assens;O;Dansk Folkeparti;Ib Madsen, Brovst;1
Mariagerfjord;2. Assens;O;Dansk Folkeparti;Jørgen Hammer Sørensen, Hobro;7
Mariagerfjord;2. Assens;O;Dansk Folkeparti;Danny Rosenkilde, Flauenskjold;1
Mariagerfjord;2. Assens;O;Dansk Folkeparti;Anne Mette Mortensen, Aalborg;0
Mariagerfjord;2. Assens;O;Dansk Folkeparti;Ib Poulsen, Thisted;0
Mariagerfjord;2. Assens;O;Dansk Folkeparti;Emma Houe Mølgaard, Hobro;13
Mariagerfjord;2. Assens;O;Dansk Folkeparti;Per Hyldig, Hjørring;0
Mariagerfjord;2. Assens;O;Dansk Folkeparti;Thomas Hjort, Frederikshavn;0
Mariagerfjord;2. Assens;O;Dansk Folkeparti;Arne Hyldgaard, Hjørring;0
Mariagerfjord;2. Assens;O;Dansk Folkeparti;Ib Østenkær, Hjørring;1
Mariagerfjord;2. Assens;O;Dansk Folkeparti;Johnny Christensen, Nibe;0
Mariagerfjord;2. Assens;O;Dansk Folkeparti;Frode Larsen, Vrå;0
Mariagerfjord;2. Assens;O;Dansk Folkeparti;Thomas Storm, Tårs;0
Mariagerfjord;2. Assens;V;Venstre, Danmarks Liberale Parti;Listestemmer;44
Mariagerfjord;2. Assens;V;Venstre, Danmarks Liberale Parti;Mads Duedahl, Aalborg;52
Mariagerfjord;2. Assens;V;Venstre, Danmarks Liberale Parti;Phillip Sperling, Aalborg;0
Mariagerfjord;2. Assens;V;Venstre, Danmarks Liberale Parti;Lærke Holm Sø, Aalborg;4
Mariagerfjord;2. Assens;V;Venstre, Danmarks Liberale Parti;Lone Olsen, Hjørring;0
Mariagerfjord;2. Assens;V;Venstre, Danmarks Liberale Parti;Mette Hardam, Frederikshavn Kommune;1
Mariagerfjord;2. Assens;V;Venstre, Danmarks Liberale Parti;Lina Hundebøll Jespersen, Thisted;0
Mariagerfjord;2. Assens;V;Venstre, Danmarks Liberale Parti;Jess V. Laursen, Mariagerfjord;64
Mariagerfjord;2. Assens;V;Venstre, Danmarks Liberale Parti;Mogens Gade, Jammerbugt;1
Mariagerfjord;2. Assens;V;Venstre, Danmarks Liberale Parti;Jakob Dyrman, Vesthimmerland;0
Mariagerfjord;2. Assens;V;Venstre, Danmarks Liberale Parti;Frits Danielsen, Dronninglund;0
Mariagerfjord;2. Assens;V;Venstre, Danmarks Liberale Parti;Marie Tvergaard, Rebild;3
Mariagerfjord;2. Assens;V;Venstre, Danmarks Liberale Parti;Johanne Poulstrup, Aalborg Kommune;0
Mariagerfjord;2. Assens;V;Venstre, Danmarks Liberale Parti;Anne Honoré Østergaard, Aalborg Kommune;3
Mariagerfjord;2. Assens;V;Venstre, Danmarks Liberale Parti;Martin Brag, Hjørring;0
Mariagerfjord;2. Assens;V;Venstre, Danmarks Liberale Parti;Niels H. Bünemann, Skagen;0
Mariagerfjord;2. Assens;V;Venstre, Danmarks Liberale Parti;Ole Gregersen, Thisted;0
Mariagerfjord;2. Assens;V;Venstre, Danmarks Liberale Parti;Jan Andersen, Mariagerfjord;21
Mariagerfjord;2. Assens;V;Venstre, Danmarks Liberale Parti;Malou Skeel, Jammerbugt;1
Mariagerfjord;2. Assens;V;Venstre, Danmarks Liberale Parti;Per Bisgaard, Vesthimmerland;0
Mariagerfjord;2. Assens;V;Venstre, Danmarks Liberale Parti;Morten Nørgaard Hald, Brønderslev;0
Mariagerfjord;2. Assens;V;Venstre, Danmarks Liberale Parti;Per Henrik Dålfogt, Rebild;1
Mariagerfjord;2. Assens;V;Venstre, Danmarks Liberale Parti;Peter Therkildsen, Morsø;0
Mariagerfjord;2. Assens;V;Venstre, Danmarks Liberale Parti;Sigurd Andersen, Nørresundby;1
Mariagerfjord;2. Assens;V;Venstre, Danmarks Liberale Parti;Diana Kjærulff, Aalborg;0
Mariagerfjord;2. Assens;V;Venstre, Danmarks Liberale Parti;Leif Christensen, Sæby;0
Mariagerfjord;2. Assens;V;Venstre, Danmarks Liberale Parti;Anders Rydahl-Jensen, Hjørring;0
Mariagerfjord;2. Assens;V;Venstre, Danmarks Liberale Parti;Ole Nør Pedersen, Nibe;0
Mariagerfjord;2. Assens;V;Venstre, Danmarks Liberale Parti;Thomas Møller, Thisted;0
Mariagerfjord;2. Assens;V;Venstre, Danmarks Liberale Parti;Lasse Rich Henningsen, Aalborg;7
Mariagerfjord;2. Assens;Æ;Danmarksdemokraterne - Inger Støjberg;Listestemmer;174
Mariagerfjord;2. Assens;Æ;Danmarksdemokraterne - Inger Støjberg;Gitte Bundgaard, Rebild;8
Mariagerfjord;2. Assens;Æ;Danmarksdemokraterne - Inger Støjberg;Kim Edberg Andersen, Rebild;11
Mariagerfjord;2. Assens;Æ;Danmarksdemokraterne - Inger Støjberg;Andreas Huus Andersen, Hjørring;0
Mariagerfjord;2. Assens;Æ;Danmarksdemokraterne - Inger Støjberg;Carsten Ullmann Andersen, Brønderslev;0
Mariagerfjord;2. Assens;Æ;Danmarksdemokraterne - Inger Støjberg;Per de Fries, Mariagerfjord;44
Mariagerfjord;2. Assens;Æ;Danmarksdemokraterne - Inger Støjberg;Nina Røntved Krog, Thisted;1
Mariagerfjord;2. Assens;Æ;Danmarksdemokraterne - Inger Støjberg;Jens Nygaard, Frederikshavn;1
Mariagerfjord;2. Assens;Æ;Danmarksdemokraterne - Inger Støjberg;Meiner Nørgaard, Morsø;0
Mariagerfjord;2. Assens;Æ;Danmarksdemokraterne - Inger Støjberg;Per Salling, Jammerbugt;1
Mariagerfjord;2. Assens;Æ;Danmarksdemokraterne - Inger Støjberg;Frederik Storm, Aalborg;0
Mariagerfjord;2. Assens;Æ;Danmarksdemokraterne - Inger Støjberg;Birgitte Sørensen, Vesthimmerland;1
Mariagerfjord;2. Assens;Æ;Danmarksdemokraterne - Inger Støjberg;Hans Henrik Sørensen, Mariagerfjord;31
Mariagerfjord;2. Assens;Æ;Danmarksdemokraterne - Inger Støjberg;Jamie Voldby, Brønderslev;0
Mariagerfjord;2. Assens;Æ;Danmarksdemokraterne - Inger Støjberg;Peter Wallenskog, Frederikshavn;0
Mariagerfjord;2. Assens;Æ;Danmarksdemokraterne - Inger Støjberg;Brian Winther, Læsø;0
Mariagerfjord;2. Assens;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;16
Mariagerfjord;2. Assens;Ø;Enhedslisten - De Rød-Grønne;Susanne Flydtkjær, Aalborg;2
