Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Thisted;1. Thisted;A;Socialdemokratiet;Listestemmer;615
Thisted;1. Thisted;A;Socialdemokratiet;Arne Boelt, Hjørring;32
Thisted;1. Thisted;A;Socialdemokratiet;Anna Kirsten Olesen, Aalborg;8
Thisted;1. Thisted;A;Socialdemokratiet;Mogens Nørgård, Aabybro;10
Thisted;1. Thisted;A;Socialdemokratiet;Kirsten Morild Andersen, Frederikshavn;3
Thisted;1. Thisted;A;Socialdemokratiet;Jørgen Hansen, Aalborg Kommune;6
Thisted;1. Thisted;A;Socialdemokratiet;Hanne Korsgaard, Thisted;1698
Thisted;1. Thisted;A;Socialdemokratiet;Lene Birket-Smith, Aalborg;4
Thisted;1. Thisted;A;Socialdemokratiet;Henrik Terp, Vesthimmerland;3
Thisted;1. Thisted;A;Socialdemokratiet;Torben Ringe Christensen, Mariagerfjord;1
Thisted;1. Thisted;A;Socialdemokratiet;Peter Holm, Aalborg;3
Thisted;1. Thisted;A;Socialdemokratiet;Oskar Schmidt, Skagen;1
Thisted;1. Thisted;A;Socialdemokratiet;Lone Clausen, Brønderslev;3
Thisted;1. Thisted;A;Socialdemokratiet;Mathias Lassen Antonsen, Hals;2
Thisted;1. Thisted;A;Socialdemokratiet;Poul Kristensen, Morsø;14
Thisted;1. Thisted;A;Socialdemokratiet;Pernille Buhelt, Hjørring;1
Thisted;1. Thisted;A;Socialdemokratiet;Lis Mancini, Hadsund;0
Thisted;1. Thisted;A;Socialdemokratiet;Søren Eriksen, Gistrup;2
Thisted;1. Thisted;A;Socialdemokratiet;Ali Hassan, Aalborg;3
Thisted;1. Thisted;B;Radikale Venstre;Listestemmer;82
Thisted;1. Thisted;B;Radikale Venstre;Marianne Mulle Jensen, Aalborg;23
Thisted;1. Thisted;B;Radikale Venstre;Gry Bruun Nielsen, Hjørring;11
Thisted;1. Thisted;B;Radikale Venstre;Sune Kragelund, Aalborg;1
Thisted;1. Thisted;B;Radikale Venstre;Steen Asgeir Petersen, Thisted;48
Thisted;1. Thisted;B;Radikale Venstre;Michael Portefée P. Lex, Rebild;5
