Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Vesthimmerlands;1. Aalestrup;A;Socialdemokratiet;Listestemmer;129
Vesthimmerlands;1. Aalestrup;A;Socialdemokratiet;Arne Boelt, Hjørring;22
Vesthimmerlands;1. Aalestrup;A;Socialdemokratiet;Anna Kirsten Olesen, Aalborg;8
Vesthimmerlands;1. Aalestrup;A;Socialdemokratiet;Mogens Nørgård, Aabybro;3
Vesthimmerlands;1. Aalestrup;A;Socialdemokratiet;Kirsten Morild Andersen, Frederikshavn;0
Vesthimmerlands;1. Aalestrup;A;Socialdemokratiet;Jørgen Hansen, Aalborg Kommune;2
Vesthimmerlands;1. Aalestrup;A;Socialdemokratiet;Hanne Korsgaard, Thisted;2
Vesthimmerlands;1. Aalestrup;A;Socialdemokratiet;Lene Birket-Smith, Aalborg;0
Vesthimmerlands;1. Aalestrup;A;Socialdemokratiet;Henrik Terp, Vesthimmerland;53
Vesthimmerlands;1. Aalestrup;A;Socialdemokratiet;Torben Ringe Christensen, Mariagerfjord;2
Vesthimmerlands;1. Aalestrup;A;Socialdemokratiet;Peter Holm, Aalborg;1
Vesthimmerlands;1. Aalestrup;A;Socialdemokratiet;Oskar Schmidt, Skagen;0
Vesthimmerlands;1. Aalestrup;A;Socialdemokratiet;Lone Clausen, Brønderslev;0
Vesthimmerlands;1. Aalestrup;A;Socialdemokratiet;Mathias Lassen Antonsen, Hals;0
Vesthimmerlands;1. Aalestrup;A;Socialdemokratiet;Poul Kristensen, Morsø;0
Vesthimmerlands;1. Aalestrup;A;Socialdemokratiet;Pernille Buhelt, Hjørring;1
Vesthimmerlands;1. Aalestrup;A;Socialdemokratiet;Lis Mancini, Hadsund;2
Vesthimmerlands;1. Aalestrup;A;Socialdemokratiet;Søren Eriksen, Gistrup;0
Vesthimmerlands;1. Aalestrup;A;Socialdemokratiet;Ali Hassan, Aalborg;1
Vesthimmerlands;1. Aalestrup;B;Radikale Venstre;Listestemmer;5
Vesthimmerlands;1. Aalestrup;B;Radikale Venstre;Marianne Mulle Jensen, Aalborg;4
Vesthimmerlands;1. Aalestrup;B;Radikale Venstre;Gry Bruun Nielsen, Hjørring;1
Vesthimmerlands;1. Aalestrup;B;Radikale Venstre;Sune Kragelund, Aalborg;0
Vesthimmerlands;1. Aalestrup;B;Radikale Venstre;Steen Asgeir Petersen, Thisted;0
Vesthimmerlands;1. Aalestrup;B;Radikale Venstre;Michael Portefée P. Lex, Rebild;1
Vesthimmerlands;1. Aalestrup;B;Radikale Venstre;Karsten Kjærgaard, Vesthimmerland;8
Vesthimmerlands;1. Aalestrup;B;Radikale Venstre;Gorm Simonsen, Dronninglund;1
Vesthimmerlands;1. Aalestrup;B;Radikale Venstre;Steffen Holme Helledie, Vejgaard;0
Vesthimmerlands;1. Aalestrup;B;Radikale Venstre;Dorthe Kerschus, Brønderslev;0
Vesthimmerlands;1. Aalestrup;B;Radikale Venstre;Hans Jørgen Nygaard, Frederikshavn;0
Vesthimmerlands;1. Aalestrup;B;Radikale Venstre;Annegrete Jensen, Jammerbugt;1
Vesthimmerlands;1. Aalestrup;B;Radikale Venstre;Daniel  Svendsen, Hjørring;0
Vesthimmerlands;1. Aalestrup;B;Radikale Venstre;Niels Kristian Pilgaard Jensen, Jammerbugt;0
Vesthimmerlands;1. Aalestrup;B;Radikale Venstre;Susanne Krebs, Aalborg;2
Vesthimmerlands;1. Aalestrup;B;Radikale Venstre;Theis Magle, Hjørring;0
Vesthimmerlands;1. Aalestrup;B;Radikale Venstre;Frederik Asgeir Berg, Aalborg;1
