Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Haderslev;1. Haderslev Nord;A;Socialdemokratiet;Listestemmer;623
Haderslev;1. Haderslev Nord;A;Socialdemokratiet;Mette With Hagensen, Varde;129
Haderslev;1. Haderslev Nord;A;Socialdemokratiet;Simon Sharif Chowdhury, Odense;3
Haderslev;1. Haderslev Nord;A;Socialdemokratiet;Jette Damsø Henriksen, Sønderborg;25
Haderslev;1. Haderslev Nord;A;Socialdemokratiet;Andi Sejersen, Vejle;5
Haderslev;1. Haderslev Nord;A;Socialdemokratiet;Sonja Randrup, Fredericia;2
Haderslev;1. Haderslev Nord;A;Socialdemokratiet;Mikael Hansen, Svendborg;2
Haderslev;1. Haderslev Nord;A;Socialdemokratiet;Anne Fabricius, Odense;11
Haderslev;1. Haderslev Nord;A;Socialdemokratiet;Kim Johansen, Nordfyn;1
Haderslev;1. Haderslev Nord;A;Socialdemokratiet;Elin Søndergaard, Ringe;8
Haderslev;1. Haderslev Nord;A;Socialdemokratiet;Poul Erik Jensen, Kolding;13
Haderslev;1. Haderslev Nord;A;Socialdemokratiet;Kim Eskesen, Esbjerg;2
Haderslev;1. Haderslev Nord;A;Socialdemokratiet;Tanja Vestergaard Skøtt, Vejen;2
Haderslev;1. Haderslev Nord;A;Socialdemokratiet;Halil Özsari, Odense;2
Haderslev;1. Haderslev Nord;A;Socialdemokratiet;Karsten Meyer Olesen, Aabenraa;19
Haderslev;1. Haderslev Nord;A;Socialdemokratiet;Alina Racila, Tønder;2
Haderslev;1. Haderslev Nord;A;Socialdemokratiet;Hans Stavnsager, Faaborg;1
Haderslev;1. Haderslev Nord;A;Socialdemokratiet;Jens William Grav, Fredericia;4
Haderslev;1. Haderslev Nord;A;Socialdemokratiet;Ulla Koman, Esbjerg;2
Haderslev;1. Haderslev Nord;A;Socialdemokratiet;Maria Glinvad Damgaard, Haderslev;283
Haderslev;1. Haderslev Nord;A;Socialdemokratiet;Ivan Damsted, Assens;0
Haderslev;1. Haderslev Nord;A;Socialdemokratiet;Karina Vestergaard, Billund;7
Haderslev;1. Haderslev Nord;A;Socialdemokratiet;Jasmin Bjelosevic, Vejle;12
Haderslev;1. Haderslev Nord;B;Radikale Venstre;Listestemmer;106
Haderslev;1. Haderslev Nord;B;Radikale Venstre;Morten Lorenzen, Assens;11
Haderslev;1. Haderslev Nord;B;Radikale Venstre;Melissa Gilroy, Fanø;11
Haderslev;1. Haderslev Nord;B;Radikale Venstre;Emilie Haaning, Nyborg;6
Haderslev;1. Haderslev Nord;B;Radikale Venstre;Lærke Lysdal, Odense;7
Haderslev;1. Haderslev Nord;B;Radikale Venstre;Zeb Meier Watz, Odense C;0
Haderslev;1. Haderslev Nord;B;Radikale Venstre;Finn Hartvig Nielsen, Næsbyhoved Broby;1
Haderslev;1. Haderslev Nord;B;Radikale Venstre;Hanne Ringgaard Møller, Svendborg;1
Haderslev;1. Haderslev Nord;B;Radikale Venstre;Anna Mette Skov Borring, Årslev;1
