Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Kolding;1. Centrum Nord;A;Socialdemokratiet;Listestemmer;305
Kolding;1. Centrum Nord;A;Socialdemokratiet;Mette With Hagensen, Varde;50
Kolding;1. Centrum Nord;A;Socialdemokratiet;Simon Sharif Chowdhury, Odense;1
Kolding;1. Centrum Nord;A;Socialdemokratiet;Jette Damsø Henriksen, Sønderborg;2
Kolding;1. Centrum Nord;A;Socialdemokratiet;Andi Sejersen, Vejle;7
Kolding;1. Centrum Nord;A;Socialdemokratiet;Sonja Randrup, Fredericia;2
Kolding;1. Centrum Nord;A;Socialdemokratiet;Mikael Hansen, Svendborg;0
Kolding;1. Centrum Nord;A;Socialdemokratiet;Anne Fabricius, Odense;9
Kolding;1. Centrum Nord;A;Socialdemokratiet;Kim Johansen, Nordfyn;0
Kolding;1. Centrum Nord;A;Socialdemokratiet;Elin Søndergaard, Ringe;2
Kolding;1. Centrum Nord;A;Socialdemokratiet;Poul Erik Jensen, Kolding;131
Kolding;1. Centrum Nord;A;Socialdemokratiet;Kim Eskesen, Esbjerg;1
Kolding;1. Centrum Nord;A;Socialdemokratiet;Tanja Vestergaard Skøtt, Vejen;3
Kolding;1. Centrum Nord;A;Socialdemokratiet;Halil Özsari, Odense;1
Kolding;1. Centrum Nord;A;Socialdemokratiet;Karsten Meyer Olesen, Aabenraa;2
Kolding;1. Centrum Nord;A;Socialdemokratiet;Alina Racila, Tønder;0
Kolding;1. Centrum Nord;A;Socialdemokratiet;Hans Stavnsager, Faaborg;4
Kolding;1. Centrum Nord;A;Socialdemokratiet;Jens William Grav, Fredericia;3
Kolding;1. Centrum Nord;A;Socialdemokratiet;Ulla Koman, Esbjerg;1
Kolding;1. Centrum Nord;A;Socialdemokratiet;Maria Glinvad Damgaard, Haderslev;1
Kolding;1. Centrum Nord;A;Socialdemokratiet;Ivan Damsted, Assens;0
Kolding;1. Centrum Nord;A;Socialdemokratiet;Karina Vestergaard, Billund;8
Kolding;1. Centrum Nord;A;Socialdemokratiet;Jasmin Bjelosevic, Vejle;6
Kolding;1. Centrum Nord;B;Radikale Venstre;Listestemmer;141
Kolding;1. Centrum Nord;B;Radikale Venstre;Morten Lorenzen, Assens;4
Kolding;1. Centrum Nord;B;Radikale Venstre;Melissa Gilroy, Fanø;9
Kolding;1. Centrum Nord;B;Radikale Venstre;Emilie Haaning, Nyborg;3
Kolding;1. Centrum Nord;B;Radikale Venstre;Lærke Lysdal, Odense;9
Kolding;1. Centrum Nord;B;Radikale Venstre;Zeb Meier Watz, Odense C;3
Kolding;1. Centrum Nord;B;Radikale Venstre;Finn Hartvig Nielsen, Næsbyhoved Broby;1
Kolding;1. Centrum Nord;B;Radikale Venstre;Hanne Ringgaard Møller, Svendborg;1
Kolding;1. Centrum Nord;B;Radikale Venstre;Anna Mette Skov Borring, Årslev;0
Kolding;1. Centrum Nord;B;Radikale Venstre;Claus Bjørn Madsen, Vejle;0
Kolding;1. Centrum Nord;B;Radikale Venstre;Agnete Fog, Tranekær;0
