Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Middelfart;1. Middelfart V;A;Socialdemokratiet;Listestemmer;727
Middelfart;1. Middelfart V;A;Socialdemokratiet;Mette With Hagensen, Varde;73
Middelfart;1. Middelfart V;A;Socialdemokratiet;Simon Sharif Chowdhury, Odense;7
Middelfart;1. Middelfart V;A;Socialdemokratiet;Jette Damsø Henriksen, Sønderborg;12
Middelfart;1. Middelfart V;A;Socialdemokratiet;Andi Sejersen, Vejle;10
Middelfart;1. Middelfart V;A;Socialdemokratiet;Sonja Randrup, Fredericia;59
Middelfart;1. Middelfart V;A;Socialdemokratiet;Mikael Hansen, Svendborg;1
Middelfart;1. Middelfart V;A;Socialdemokratiet;Anne Fabricius, Odense;18
Middelfart;1. Middelfart V;A;Socialdemokratiet;Kim Johansen, Nordfyn;98
Middelfart;1. Middelfart V;A;Socialdemokratiet;Elin Søndergaard, Ringe;10
Middelfart;1. Middelfart V;A;Socialdemokratiet;Poul Erik Jensen, Kolding;7
Middelfart;1. Middelfart V;A;Socialdemokratiet;Kim Eskesen, Esbjerg;2
Middelfart;1. Middelfart V;A;Socialdemokratiet;Tanja Vestergaard Skøtt, Vejen;2
Middelfart;1. Middelfart V;A;Socialdemokratiet;Halil Özsari, Odense;3
Middelfart;1. Middelfart V;A;Socialdemokratiet;Karsten Meyer Olesen, Aabenraa;7
Middelfart;1. Middelfart V;A;Socialdemokratiet;Alina Racila, Tønder;2
Middelfart;1. Middelfart V;A;Socialdemokratiet;Hans Stavnsager, Faaborg;9
Middelfart;1. Middelfart V;A;Socialdemokratiet;Jens William Grav, Fredericia;16
Middelfart;1. Middelfart V;A;Socialdemokratiet;Ulla Koman, Esbjerg;5
Middelfart;1. Middelfart V;A;Socialdemokratiet;Maria Glinvad Damgaard, Haderslev;2
Middelfart;1. Middelfart V;A;Socialdemokratiet;Ivan Damsted, Assens;4
Middelfart;1. Middelfart V;A;Socialdemokratiet;Karina Vestergaard, Billund;5
Middelfart;1. Middelfart V;A;Socialdemokratiet;Jasmin Bjelosevic, Vejle;5
Middelfart;1. Middelfart V;B;Radikale Venstre;Listestemmer;88
Middelfart;1. Middelfart V;B;Radikale Venstre;Morten Lorenzen, Assens;10
Middelfart;1. Middelfart V;B;Radikale Venstre;Melissa Gilroy, Fanø;9
Middelfart;1. Middelfart V;B;Radikale Venstre;Emilie Haaning, Nyborg;1
Middelfart;1. Middelfart V;B;Radikale Venstre;Lærke Lysdal, Odense;4
Middelfart;1. Middelfart V;B;Radikale Venstre;Zeb Meier Watz, Odense C;2
Middelfart;1. Middelfart V;B;Radikale Venstre;Finn Hartvig Nielsen, Næsbyhoved Broby;4
Middelfart;1. Middelfart V;B;Radikale Venstre;Hanne Ringgaard Møller, Svendborg;4
Middelfart;1. Middelfart V;B;Radikale Venstre;Anna Mette Skov Borring, Årslev;3
Middelfart;1. Middelfart V;B;Radikale Venstre;Claus Bjørn Madsen, Vejle;0
Middelfart;1. Middelfart V;B;Radikale Venstre;Agnete Fog, Tranekær;1
Middelfart;1. Middelfart V;B;Radikale Venstre;Lars E. Boesen, Middelfart;46
Middelfart;1. Middelfart V;B;Radikale Venstre;Stefan Göttler, Svendborg;1
Middelfart;1. Middelfart V;B;Radikale Venstre;Knud Nørregaard, Kolding;4
Middelfart;1. Middelfart V;B;Radikale Venstre;Kim Lei-Jensen, Odense;2
Middelfart;1. Middelfart V;B;Radikale Venstre;Benedicte Wilson, Odense;2
Middelfart;1. Middelfart V;B;Radikale Venstre;Teddy Stafsen, Svendborg;0
Middelfart;1. Middelfart V;B;Radikale Venstre;Kenny Holm, Sjølund;0
Middelfart;1. Middelfart V;C;Det Konservative Folkeparti;Listestemmer;95
Middelfart;1. Middelfart V;C;Det Konservative Folkeparti;Joachim Hoffmann, Odense;43
Middelfart;1. Middelfart V;C;Det Konservative Folkeparti;May-Britt Andrea Andersen, Esbjerg;0
Middelfart;1. Middelfart V;C;Det Konservative Folkeparti;Roya Moore, Odense;16
Middelfart;1. Middelfart V;C;Det Konservative Folkeparti;Knud Erik Langhoff, Kolding;1
Middelfart;1. Middelfart V;C;Det Konservative Folkeparti;Kirsten Hassing, Fredericia;8
Middelfart;1. Middelfart V;C;Det Konservative Folkeparti;Michael Nielsen, Kerteminde;3
Middelfart;1. Middelfart V;C;Det Konservative Folkeparti;Alexander Bork, Aabenraa;0
Middelfart;1. Middelfart V;C;Det Konservative Folkeparti;Rasmus Sandvej, Kolding;1
Middelfart;1. Middelfart V;C;Det Konservative Folkeparti;Anders Johansson, Svendborg;0
Middelfart;1. Middelfart V;C;Det Konservative Folkeparti;Gunver Birgitte Nielsen, Haderslev;3
Middelfart;1. Middelfart V;C;Det Konservative Folkeparti;Morten Weiss-Pedersen, Middelfart;85
Middelfart;1. Middelfart V;C;Det Konservative Folkeparti;Marianne Quorp Kjærgaard, Aabenraa;0
Middelfart;1. Middelfart V;C;Det Konservative Folkeparti;Henrik Sandholm, Vejle;1
Middelfart;1. Middelfart V;C;Det Konservative Folkeparti;Betina Wettengel, Kolding;4
