Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Nordfyns;1. Bogense;A;Socialdemokratiet;Listestemmer;280
Nordfyns;1. Bogense;A;Socialdemokratiet;Mette With Hagensen, Varde;15
Nordfyns;1. Bogense;A;Socialdemokratiet;Simon Sharif Chowdhury, Odense;6
Nordfyns;1. Bogense;A;Socialdemokratiet;Jette Damsø Henriksen, Sønderborg;4
Nordfyns;1. Bogense;A;Socialdemokratiet;Andi Sejersen, Vejle;1
Nordfyns;1. Bogense;A;Socialdemokratiet;Sonja Randrup, Fredericia;2
Nordfyns;1. Bogense;A;Socialdemokratiet;Mikael Hansen, Svendborg;3
Nordfyns;1. Bogense;A;Socialdemokratiet;Anne Fabricius, Odense;13
Nordfyns;1. Bogense;A;Socialdemokratiet;Kim Johansen, Nordfyn;706
Nordfyns;1. Bogense;A;Socialdemokratiet;Elin Søndergaard, Ringe;2
Nordfyns;1. Bogense;A;Socialdemokratiet;Poul Erik Jensen, Kolding;0
Nordfyns;1. Bogense;A;Socialdemokratiet;Kim Eskesen, Esbjerg;1
Nordfyns;1. Bogense;A;Socialdemokratiet;Tanja Vestergaard Skøtt, Vejen;1
Nordfyns;1. Bogense;A;Socialdemokratiet;Halil Özsari, Odense;0
Nordfyns;1. Bogense;A;Socialdemokratiet;Karsten Meyer Olesen, Aabenraa;3
Nordfyns;1. Bogense;A;Socialdemokratiet;Alina Racila, Tønder;0
Nordfyns;1. Bogense;A;Socialdemokratiet;Hans Stavnsager, Faaborg;6
Nordfyns;1. Bogense;A;Socialdemokratiet;Jens William Grav, Fredericia;0
Nordfyns;1. Bogense;A;Socialdemokratiet;Ulla Koman, Esbjerg;2
Nordfyns;1. Bogense;A;Socialdemokratiet;Maria Glinvad Damgaard, Haderslev;2
Nordfyns;1. Bogense;A;Socialdemokratiet;Ivan Damsted, Assens;1
Nordfyns;1. Bogense;A;Socialdemokratiet;Karina Vestergaard, Billund;2
Nordfyns;1. Bogense;A;Socialdemokratiet;Jasmin Bjelosevic, Vejle;0
Nordfyns;1. Bogense;B;Radikale Venstre;Listestemmer;52
Nordfyns;1. Bogense;B;Radikale Venstre;Morten Lorenzen, Assens;7
Nordfyns;1. Bogense;B;Radikale Venstre;Melissa Gilroy, Fanø;1
Nordfyns;1. Bogense;B;Radikale Venstre;Emilie Haaning, Nyborg;2
Nordfyns;1. Bogense;B;Radikale Venstre;Lærke Lysdal, Odense;4
Nordfyns;1. Bogense;B;Radikale Venstre;Zeb Meier Watz, Odense C;0
Nordfyns;1. Bogense;B;Radikale Venstre;Finn Hartvig Nielsen, Næsbyhoved Broby;4
Nordfyns;1. Bogense;B;Radikale Venstre;Hanne Ringgaard Møller, Svendborg;1
Nordfyns;1. Bogense;B;Radikale Venstre;Anna Mette Skov Borring, Årslev;4
Nordfyns;1. Bogense;B;Radikale Venstre;Claus Bjørn Madsen, Vejle;1
Nordfyns;1. Bogense;B;Radikale Venstre;Agnete Fog, Tranekær;1
Nordfyns;1. Bogense;B;Radikale Venstre;Lars E. Boesen, Middelfart;1
Nordfyns;1. Bogense;B;Radikale Venstre;Stefan Göttler, Svendborg;0
Nordfyns;1. Bogense;B;Radikale Venstre;Knud Nørregaard, Kolding;0
Nordfyns;1. Bogense;B;Radikale Venstre;Kim Lei-Jensen, Odense;0
Nordfyns;1. Bogense;B;Radikale Venstre;Benedicte Wilson, Odense;1
Nordfyns;1. Bogense;B;Radikale Venstre;Teddy Stafsen, Svendborg;0
Nordfyns;1. Bogense;B;Radikale Venstre;Kenny Holm, Sjølund;0
Nordfyns;1. Bogense;C;Det Konservative Folkeparti;Listestemmer;57
Nordfyns;1. Bogense;C;Det Konservative Folkeparti;Joachim Hoffmann, Odense;25
Nordfyns;1. Bogense;C;Det Konservative Folkeparti;May-Britt Andrea Andersen, Esbjerg;2
Nordfyns;1. Bogense;C;Det Konservative Folkeparti;Roya Moore, Odense;20
Nordfyns;1. Bogense;C;Det Konservative Folkeparti;Knud Erik Langhoff, Kolding;3
Nordfyns;1. Bogense;C;Det Konservative Folkeparti;Kirsten Hassing, Fredericia;3
Nordfyns;1. Bogense;C;Det Konservative Folkeparti;Michael Nielsen, Kerteminde;2
Nordfyns;1. Bogense;C;Det Konservative Folkeparti;Alexander Bork, Aabenraa;0
Nordfyns;1. Bogense;C;Det Konservative Folkeparti;Rasmus Sandvej, Kolding;1
Nordfyns;1. Bogense;C;Det Konservative Folkeparti;Anders Johansson, Svendborg;0
Nordfyns;1. Bogense;C;Det Konservative Folkeparti;Gunver Birgitte Nielsen, Haderslev;0
Nordfyns;1. Bogense;C;Det Konservative Folkeparti;Morten Weiss-Pedersen, Middelfart;8
Nordfyns;1. Bogense;C;Det Konservative Folkeparti;Marianne Quorp Kjærgaard, Aabenraa;1
Nordfyns;1. Bogense;C;Det Konservative Folkeparti;Henrik Sandholm, Vejle;0
Nordfyns;1. Bogense;C;Det Konservative Folkeparti;Betina Wettengel, Kolding;2
Nordfyns;1. Bogense;C;Det Konservative Folkeparti;Joacchim Brahtz, Faaborg;1
Nordfyns;1. Bogense;C;Det Konservative Folkeparti;Tonny Stenkilde, Vissenbjerg;1
Nordfyns;1. Bogense;C;Det Konservative Folkeparti;Carsten Jäger, Otterup;5
Nordfyns;1. Bogense;C;Det Konservative Folkeparti;Carl Jørgen Heide, Ærø;1
Nordfyns;1. Bogense;C;Det Konservative Folkeparti;Preben Steen, Vejle;0
Nordfyns;1. Bogense;E;Borgerlig Fornuft;Listestemmer;7
Nordfyns;1. Bogense;E;Borgerlig Fornuft;Sabrina Bech Bartholin, Esbjerg;0
Nordfyns;1. Bogense;E;Borgerlig Fornuft;Morten Møller, Esbjerg;1
Nordfyns;1. Bogense;E;Borgerlig Fornuft;Maiken Huglstad Pedersen, Esbjerg;0
Nordfyns;1. Bogense;E;Borgerlig Fornuft;Niels Jessen, Esbjerg;0
Nordfyns;1. Bogense;F;SF - Socialistisk Folkeparti;Listestemmer;136
Nordfyns;1. Bogense;F;SF - Socialistisk Folkeparti;Annette Blynel, Svendborg;20
Nordfyns;1. Bogense;F;SF - Socialistisk Folkeparti;Sara Darling Jørgensen, Svendborg;8
Nordfyns;1. Bogense;F;SF - Socialistisk Folkeparti;Susanne Stenstrop Thorsen, Kolding;6
Nordfyns;1. Bogense;F;SF - Socialistisk Folkeparti;Simon Meyer Off, Assens;9
Nordfyns;1. Bogense;F;SF - Socialistisk Folkeparti;Simon Dahl Verner, Esbjerg;0
Nordfyns;1. Bogense;F;SF - Socialistisk Folkeparti;Hanne Pedersen, Haderslev;2
Nordfyns;1. Bogense;F;SF - Socialistisk Folkeparti;Ole Tyrsted Jørgensen, Nyborg;0
Nordfyns;1. Bogense;F;SF - Socialistisk Folkeparti;Mikkel Berggreen Schmidt, Varde;1
Nordfyns;1. Bogense;F;SF - Socialistisk Folkeparti;Mads Holdgaard, Faaborg-Midtfyn;3
Nordfyns;1. Bogense;F;SF - Socialistisk Folkeparti;John Hyrup Jensen, Sønderborg;0
Nordfyns;1. Bogense;F;SF - Socialistisk Folkeparti;Jesper Mayerhofer, Odense;7
Nordfyns;1. Bogense;F;SF - Socialistisk Folkeparti;Bjarne Lund Henneberg, Tønder;0
Nordfyns;1. Bogense;F;SF - Socialistisk Folkeparti;Bent Olsen, Nordfyn;58
Nordfyns;1. Bogense;F;SF - Socialistisk Folkeparti;Lars Olesen, Fredericia;0
Nordfyns;1. Bogense;F;SF - Socialistisk Folkeparti;Laurits Kaae, Vejle;1
Nordfyns;1. Bogense;F;SF - Socialistisk Folkeparti;Kim Jørstad, Kerteminde;0
Nordfyns;1. Bogense;F;SF - Socialistisk Folkeparti;Michael Christensen, Aabenraa;0
Nordfyns;1. Bogense;I;Liberal Alliance;Listestemmer;45
Nordfyns;1. Bogense;I;Liberal Alliance;Bettina Eriksen, Kerteminde;5
Nordfyns;1. Bogense;I;Liberal Alliance;Christian Nyby Bergholdt, Varde;3
Nordfyns;1. Bogense;I;Liberal Alliance;Thomas Vedsted, Haderslev;1
Nordfyns;1. Bogense;I;Liberal Alliance;Camilla Silfverberg, Svendborg;3
Nordfyns;1. Bogense;I;Liberal Alliance;Lars Lillebæk, Vissenbjerg;4
Nordfyns;1. Bogense;I;Liberal Alliance;John Rasmussen, Fredericia;2
Nordfyns;1. Bogense;I;Liberal Alliance;Christian Fini, Vejle;0
Nordfyns;1. Bogense;I;Liberal Alliance;Marc Dyhr Seremet-Bangert, Vojens;0
Nordfyns;1. Bogense;I;Liberal Alliance;Cecilie Liv Hansen, Kolding;3
Nordfyns;1. Bogense;I;Liberal Alliance;Christina Kokkendoff, Kolding;2
Nordfyns;1. Bogense;I;Liberal Alliance;Peter Nikolajsen, Esbjerg;0
Nordfyns;1. Bogense;K;KristenDemokraterne;Listestemmer;2
Nordfyns;1. Bogense;K;KristenDemokraterne;Paul Erik Planitzer;0
Nordfyns;1. Bogense;K;KristenDemokraterne;Niclas Aarestrup;0
Nordfyns;1. Bogense;K;KristenDemokraterne;Ester Esmarch;1
Nordfyns;1. Bogense;K;KristenDemokraterne;Simon Lavdal;0
Nordfyns;1. Bogense;K;KristenDemokraterne;Poul Harald Holm;0
Nordfyns;1. Bogense;K;KristenDemokraterne;Jens Chr. Olesen;0
Nordfyns;1. Bogense;K;KristenDemokraterne;Hanna-Maria Lyng;0
Nordfyns;1. Bogense;K;KristenDemokraterne;Michael Lund Markussen;0
Nordfyns;1. Bogense;K;KristenDemokraterne;Bjarne Vium Mikkelsen;0
Nordfyns;1. Bogense;K;KristenDemokraterne;Karl Heinz Tønder;0
Nordfyns;1. Bogense;K;KristenDemokraterne;Steen Bjerregaard Jørgensen;0
Nordfyns;1. Bogense;K;KristenDemokraterne;Johannes Latter;0
Nordfyns;1. Bogense;K;KristenDemokraterne;Joakim Viborg Olesen;0
Nordfyns;1. Bogense;K;KristenDemokraterne;Anders Friis Knudsen;1
Nordfyns;1. Bogense;K;KristenDemokraterne;Margit Lund-Cramer;2
Nordfyns;1. Bogense;K;KristenDemokraterne;Christian Bjerre;0
Nordfyns;1. Bogense;M;Moderaterne;Listestemmer;17
Nordfyns;1. Bogense;M;Moderaterne;Andreas Møller;2
Nordfyns;1. Bogense;M;Moderaterne;Morten Hell;2
Nordfyns;1. Bogense;M;Moderaterne;Lone Hansen;0
Nordfyns;1. Bogense;M;Moderaterne;Kamila Holt;0
Nordfyns;1. Bogense;M;Moderaterne;Hans-Jørgen Jagd;0
Nordfyns;1. Bogense;M;Moderaterne;Preben Thorsen;0
Nordfyns;1. Bogense;M;Moderaterne;Kasper-Peder Von Bach;2
Nordfyns;1. Bogense;M;Moderaterne;Jørgen Steen Hansen;2
Nordfyns;1. Bogense;M;Moderaterne;Vibeke Henriksen;1
Nordfyns;1. Bogense;M;Moderaterne;Camilla Schuster Nygaard;0
Nordfyns;1. Bogense;M;Moderaterne;Andreas Lausen;0
Nordfyns;1. Bogense;M;Moderaterne;Ivar Nørlund;0
Nordfyns;1. Bogense;M;Moderaterne;Ole J. J. Jensen;0
Nordfyns;1. Bogense;M;Moderaterne;Bent Olsen;0
Nordfyns;1. Bogense;M;Moderaterne;Evis Sadikaj;1
Nordfyns;1. Bogense;M;Moderaterne;Thue Uhre Lauridsen;0
Nordfyns;1. Bogense;M;Moderaterne;Abdinoor Adam Hassan;1
