Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Nyborg;1. Aunslevhallen;A;Socialdemokratiet;Listestemmer;107
Nyborg;1. Aunslevhallen;A;Socialdemokratiet;Mette With Hagensen, Varde;17
Nyborg;1. Aunslevhallen;A;Socialdemokratiet;Simon Sharif Chowdhury, Odense;5
Nyborg;1. Aunslevhallen;A;Socialdemokratiet;Jette Damsø Henriksen, Sønderborg;1
Nyborg;1. Aunslevhallen;A;Socialdemokratiet;Andi Sejersen, Vejle;1
Nyborg;1. Aunslevhallen;A;Socialdemokratiet;Sonja Randrup, Fredericia;0
Nyborg;1. Aunslevhallen;A;Socialdemokratiet;Mikael Hansen, Svendborg;4
Nyborg;1. Aunslevhallen;A;Socialdemokratiet;Anne Fabricius, Odense;8
Nyborg;1. Aunslevhallen;A;Socialdemokratiet;Kim Johansen, Nordfyn;3
Nyborg;1. Aunslevhallen;A;Socialdemokratiet;Elin Søndergaard, Ringe;6
Nyborg;1. Aunslevhallen;A;Socialdemokratiet;Poul Erik Jensen, Kolding;1
Nyborg;1. Aunslevhallen;A;Socialdemokratiet;Kim Eskesen, Esbjerg;0
Nyborg;1. Aunslevhallen;A;Socialdemokratiet;Tanja Vestergaard Skøtt, Vejen;1
Nyborg;1. Aunslevhallen;A;Socialdemokratiet;Halil Özsari, Odense;2
Nyborg;1. Aunslevhallen;A;Socialdemokratiet;Karsten Meyer Olesen, Aabenraa;0
Nyborg;1. Aunslevhallen;A;Socialdemokratiet;Alina Racila, Tønder;0
Nyborg;1. Aunslevhallen;A;Socialdemokratiet;Hans Stavnsager, Faaborg;2
Nyborg;1. Aunslevhallen;A;Socialdemokratiet;Jens William Grav, Fredericia;0
Nyborg;1. Aunslevhallen;A;Socialdemokratiet;Ulla Koman, Esbjerg;0
Nyborg;1. Aunslevhallen;A;Socialdemokratiet;Maria Glinvad Damgaard, Haderslev;0
Nyborg;1. Aunslevhallen;A;Socialdemokratiet;Ivan Damsted, Assens;1
Nyborg;1. Aunslevhallen;A;Socialdemokratiet;Karina Vestergaard, Billund;0
Nyborg;1. Aunslevhallen;A;Socialdemokratiet;Jasmin Bjelosevic, Vejle;0
Nyborg;1. Aunslevhallen;B;Radikale Venstre;Listestemmer;12
Nyborg;1. Aunslevhallen;B;Radikale Venstre;Morten Lorenzen, Assens;1
Nyborg;1. Aunslevhallen;B;Radikale Venstre;Melissa Gilroy, Fanø;1
Nyborg;1. Aunslevhallen;B;Radikale Venstre;Emilie Haaning, Nyborg;11
Nyborg;1. Aunslevhallen;B;Radikale Venstre;Lærke Lysdal, Odense;0
Nyborg;1. Aunslevhallen;B;Radikale Venstre;Zeb Meier Watz, Odense C;1
Nyborg;1. Aunslevhallen;B;Radikale Venstre;Finn Hartvig Nielsen, Næsbyhoved Broby;0
Nyborg;1. Aunslevhallen;B;Radikale Venstre;Hanne Ringgaard Møller, Svendborg;1
Nyborg;1. Aunslevhallen;B;Radikale Venstre;Anna Mette Skov Borring, Årslev;0
Nyborg;1. Aunslevhallen;B;Radikale Venstre;Claus Bjørn Madsen, Vejle;2
Nyborg;1. Aunslevhallen;B;Radikale Venstre;Agnete Fog, Tranekær;0
Nyborg;1. Aunslevhallen;B;Radikale Venstre;Lars E. Boesen, Middelfart;0
Nyborg;1. Aunslevhallen;B;Radikale Venstre;Stefan Göttler, Svendborg;0
Nyborg;1. Aunslevhallen;B;Radikale Venstre;Knud Nørregaard, Kolding;0
Nyborg;1. Aunslevhallen;B;Radikale Venstre;Kim Lei-Jensen, Odense;1
Nyborg;1. Aunslevhallen;B;Radikale Venstre;Benedicte Wilson, Odense;0
Nyborg;1. Aunslevhallen;B;Radikale Venstre;Teddy Stafsen, Svendborg;0
Nyborg;1. Aunslevhallen;B;Radikale Venstre;Kenny Holm, Sjølund;0
Nyborg;1. Aunslevhallen;C;Det Konservative Folkeparti;Listestemmer;24
Nyborg;1. Aunslevhallen;C;Det Konservative Folkeparti;Joachim Hoffmann, Odense;9
Nyborg;1. Aunslevhallen;C;Det Konservative Folkeparti;May-Britt Andrea Andersen, Esbjerg;0
Nyborg;1. Aunslevhallen;C;Det Konservative Folkeparti;Roya Moore, Odense;6
Nyborg;1. Aunslevhallen;C;Det Konservative Folkeparti;Knud Erik Langhoff, Kolding;0
Nyborg;1. Aunslevhallen;C;Det Konservative Folkeparti;Kirsten Hassing, Fredericia;1
Nyborg;1. Aunslevhallen;C;Det Konservative Folkeparti;Michael Nielsen, Kerteminde;4
Nyborg;1. Aunslevhallen;C;Det Konservative Folkeparti;Alexander Bork, Aabenraa;0
Nyborg;1. Aunslevhallen;C;Det Konservative Folkeparti;Rasmus Sandvej, Kolding;0
Nyborg;1. Aunslevhallen;C;Det Konservative Folkeparti;Anders Johansson, Svendborg;1
Nyborg;1. Aunslevhallen;C;Det Konservative Folkeparti;Gunver Birgitte Nielsen, Haderslev;1
Nyborg;1. Aunslevhallen;C;Det Konservative Folkeparti;Morten Weiss-Pedersen, Middelfart;0
Nyborg;1. Aunslevhallen;C;Det Konservative Folkeparti;Marianne Quorp Kjærgaard, Aabenraa;1
Nyborg;1. Aunslevhallen;C;Det Konservative Folkeparti;Henrik Sandholm, Vejle;0
Nyborg;1. Aunslevhallen;C;Det Konservative Folkeparti;Betina Wettengel, Kolding;0
Nyborg;1. Aunslevhallen;C;Det Konservative Folkeparti;Joacchim Brahtz, Faaborg;1
Nyborg;1. Aunslevhallen;C;Det Konservative Folkeparti;Tonny Stenkilde, Vissenbjerg;0
Nyborg;1. Aunslevhallen;C;Det Konservative Folkeparti;Carsten Jäger, Otterup;0
Nyborg;1. Aunslevhallen;C;Det Konservative Folkeparti;Carl Jørgen Heide, Ærø;0
Nyborg;1. Aunslevhallen;C;Det Konservative Folkeparti;Preben Steen, Vejle;1
Nyborg;1. Aunslevhallen;E;Borgerlig Fornuft;Listestemmer;0
Nyborg;1. Aunslevhallen;E;Borgerlig Fornuft;Sabrina Bech Bartholin, Esbjerg;1
Nyborg;1. Aunslevhallen;E;Borgerlig Fornuft;Morten Møller, Esbjerg;0
Nyborg;1. Aunslevhallen;E;Borgerlig Fornuft;Maiken Huglstad Pedersen, Esbjerg;0
Nyborg;1. Aunslevhallen;E;Borgerlig Fornuft;Niels Jessen, Esbjerg;0
Nyborg;1. Aunslevhallen;F;SF - Socialistisk Folkeparti;Listestemmer;60
Nyborg;1. Aunslevhallen;F;SF - Socialistisk Folkeparti;Annette Blynel, Svendborg;13
Nyborg;1. Aunslevhallen;F;SF - Socialistisk Folkeparti;Sara Darling Jørgensen, Svendborg;6
