Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Svendborg;1. Byen;A;Socialdemokratiet;Listestemmer;1119
Svendborg;1. Byen;A;Socialdemokratiet;Mette With Hagensen, Varde;75
Svendborg;1. Byen;A;Socialdemokratiet;Simon Sharif Chowdhury, Odense;13
Svendborg;1. Byen;A;Socialdemokratiet;Jette Damsø Henriksen, Sønderborg;12
Svendborg;1. Byen;A;Socialdemokratiet;Andi Sejersen, Vejle;5
Svendborg;1. Byen;A;Socialdemokratiet;Sonja Randrup, Fredericia;7
Svendborg;1. Byen;A;Socialdemokratiet;Mikael Hansen, Svendborg;768
Svendborg;1. Byen;A;Socialdemokratiet;Anne Fabricius, Odense;35
Svendborg;1. Byen;A;Socialdemokratiet;Kim Johansen, Nordfyn;7
Svendborg;1. Byen;A;Socialdemokratiet;Elin Søndergaard, Ringe;26
Svendborg;1. Byen;A;Socialdemokratiet;Poul Erik Jensen, Kolding;3
Svendborg;1. Byen;A;Socialdemokratiet;Kim Eskesen, Esbjerg;0
Svendborg;1. Byen;A;Socialdemokratiet;Tanja Vestergaard Skøtt, Vejen;3
Svendborg;1. Byen;A;Socialdemokratiet;Halil Özsari, Odense;4
Svendborg;1. Byen;A;Socialdemokratiet;Karsten Meyer Olesen, Aabenraa;2
Svendborg;1. Byen;A;Socialdemokratiet;Alina Racila, Tønder;0
Svendborg;1. Byen;A;Socialdemokratiet;Hans Stavnsager, Faaborg;59
Svendborg;1. Byen;A;Socialdemokratiet;Jens William Grav, Fredericia;5
Svendborg;1. Byen;A;Socialdemokratiet;Ulla Koman, Esbjerg;6
Svendborg;1. Byen;A;Socialdemokratiet;Maria Glinvad Damgaard, Haderslev;0
Svendborg;1. Byen;A;Socialdemokratiet;Ivan Damsted, Assens;0
Svendborg;1. Byen;A;Socialdemokratiet;Karina Vestergaard, Billund;7
Svendborg;1. Byen;A;Socialdemokratiet;Jasmin Bjelosevic, Vejle;4
Svendborg;1. Byen;B;Radikale Venstre;Listestemmer;164
Svendborg;1. Byen;B;Radikale Venstre;Morten Lorenzen, Assens;11
Svendborg;1. Byen;B;Radikale Venstre;Melissa Gilroy, Fanø;12
Svendborg;1. Byen;B;Radikale Venstre;Emilie Haaning, Nyborg;4
Svendborg;1. Byen;B;Radikale Venstre;Lærke Lysdal, Odense;11
Svendborg;1. Byen;B;Radikale Venstre;Zeb Meier Watz, Odense C;4
Svendborg;1. Byen;B;Radikale Venstre;Finn Hartvig Nielsen, Næsbyhoved Broby;3
Svendborg;1. Byen;B;Radikale Venstre;Hanne Ringgaard Møller, Svendborg;135
Svendborg;1. Byen;B;Radikale Venstre;Anna Mette Skov Borring, Årslev;9
Svendborg;1. Byen;B;Radikale Venstre;Claus Bjørn Madsen, Vejle;1
Svendborg;1. Byen;B;Radikale Venstre;Agnete Fog, Tranekær;4
Svendborg;1. Byen;B;Radikale Venstre;Lars E. Boesen, Middelfart;0
Svendborg;1. Byen;B;Radikale Venstre;Stefan Göttler, Svendborg;12
Svendborg;1. Byen;B;Radikale Venstre;Knud Nørregaard, Kolding;3
Svendborg;1. Byen;B;Radikale Venstre;Kim Lei-Jensen, Odense;5
Svendborg;1. Byen;B;Radikale Venstre;Benedicte Wilson, Odense;10
Svendborg;1. Byen;B;Radikale Venstre;Teddy Stafsen, Svendborg;24
Svendborg;1. Byen;B;Radikale Venstre;Kenny Holm, Sjølund;0
Svendborg;1. Byen;C;Det Konservative Folkeparti;Listestemmer;240
Svendborg;1. Byen;C;Det Konservative Folkeparti;Joachim Hoffmann, Odense;111
Svendborg;1. Byen;C;Det Konservative Folkeparti;May-Britt Andrea Andersen, Esbjerg;5
Svendborg;1. Byen;C;Det Konservative Folkeparti;Roya Moore, Odense;20
Svendborg;1. Byen;C;Det Konservative Folkeparti;Knud Erik Langhoff, Kolding;0
Svendborg;1. Byen;C;Det Konservative Folkeparti;Kirsten Hassing, Fredericia;9
Svendborg;1. Byen;C;Det Konservative Folkeparti;Michael Nielsen, Kerteminde;4
Svendborg;1. Byen;C;Det Konservative Folkeparti;Alexander Bork, Aabenraa;3
Svendborg;1. Byen;C;Det Konservative Folkeparti;Rasmus Sandvej, Kolding;0
Svendborg;1. Byen;C;Det Konservative Folkeparti;Anders Johansson, Svendborg;111
Svendborg;1. Byen;C;Det Konservative Folkeparti;Gunver Birgitte Nielsen, Haderslev;1
Svendborg;1. Byen;C;Det Konservative Folkeparti;Morten Weiss-Pedersen, Middelfart;1
Svendborg;1. Byen;C;Det Konservative Folkeparti;Marianne Quorp Kjærgaard, Aabenraa;3
Svendborg;1. Byen;C;Det Konservative Folkeparti;Henrik Sandholm, Vejle;1
Svendborg;1. Byen;C;Det Konservative Folkeparti;Betina Wettengel, Kolding;2
Svendborg;1. Byen;C;Det Konservative Folkeparti;Joacchim Brahtz, Faaborg;1
Svendborg;1. Byen;C;Det Konservative Folkeparti;Tonny Stenkilde, Vissenbjerg;1
Svendborg;1. Byen;C;Det Konservative Folkeparti;Carsten Jäger, Otterup;3
Svendborg;1. Byen;C;Det Konservative Folkeparti;Carl Jørgen Heide, Ærø;10
Svendborg;1. Byen;C;Det Konservative Folkeparti;Preben Steen, Vejle;2
Svendborg;1. Byen;E;Borgerlig Fornuft;Listestemmer;6
Svendborg;1. Byen;E;Borgerlig Fornuft;Sabrina Bech Bartholin, Esbjerg;4
Svendborg;1. Byen;E;Borgerlig Fornuft;Morten Møller, Esbjerg;1
Svendborg;1. Byen;E;Borgerlig Fornuft;Maiken Huglstad Pedersen, Esbjerg;0
Svendborg;1. Byen;E;Borgerlig Fornuft;Niels Jessen, Esbjerg;0
Svendborg;1. Byen;F;SF - Socialistisk Folkeparti;Listestemmer;559
Svendborg;1. Byen;F;SF - Socialistisk Folkeparti;Annette Blynel, Svendborg;451
Svendborg;1. Byen;F;SF - Socialistisk Folkeparti;Sara Darling Jørgensen, Svendborg;289
Svendborg;1. Byen;F;SF - Socialistisk Folkeparti;Susanne Stenstrop Thorsen, Kolding;7
Svendborg;1. Byen;F;SF - Socialistisk Folkeparti;Simon Meyer Off, Assens;10
Svendborg;1. Byen;F;SF - Socialistisk Folkeparti;Simon Dahl Verner, Esbjerg;3
Svendborg;1. Byen;F;SF - Socialistisk Folkeparti;Hanne Pedersen, Haderslev;5
Svendborg;1. Byen;F;SF - Socialistisk Folkeparti;Ole Tyrsted Jørgensen, Nyborg;4
Svendborg;1. Byen;F;SF - Socialistisk Folkeparti;Mikkel Berggreen Schmidt, Varde;7
Svendborg;1. Byen;F;SF - Socialistisk Folkeparti;Mads Holdgaard, Faaborg-Midtfyn;7
Svendborg;1. Byen;F;SF - Socialistisk Folkeparti;John Hyrup Jensen, Sønderborg;1
Svendborg;1. Byen;F;SF - Socialistisk Folkeparti;Jesper Mayerhofer, Odense;6
Svendborg;1. Byen;F;SF - Socialistisk Folkeparti;Bjarne Lund Henneberg, Tønder;3
Svendborg;1. Byen;F;SF - Socialistisk Folkeparti;Bent Olsen, Nordfyn;1
Svendborg;1. Byen;F;SF - Socialistisk Folkeparti;Lars Olesen, Fredericia;1
Svendborg;1. Byen;F;SF - Socialistisk Folkeparti;Laurits Kaae, Vejle;0
Svendborg;1. Byen;F;SF - Socialistisk Folkeparti;Kim Jørstad, Kerteminde;1
Svendborg;1. Byen;F;SF - Socialistisk Folkeparti;Michael Christensen, Aabenraa;3
Svendborg;1. Byen;I;Liberal Alliance;Listestemmer;228
Svendborg;1. Byen;I;Liberal Alliance;Bettina Eriksen, Kerteminde;2
Svendborg;1. Byen;I;Liberal Alliance;Christian Nyby Bergholdt, Varde;2
Svendborg;1. Byen;I;Liberal Alliance;Thomas Vedsted, Haderslev;2
Svendborg;1. Byen;I;Liberal Alliance;Camilla Silfverberg, Svendborg;120
Svendborg;1. Byen;I;Liberal Alliance;Lars Lillebæk, Vissenbjerg;9
Svendborg;1. Byen;I;Liberal Alliance;John Rasmussen, Fredericia;3
Svendborg;1. Byen;I;Liberal Alliance;Christian Fini, Vejle;1
Svendborg;1. Byen;I;Liberal Alliance;Marc Dyhr Seremet-Bangert, Vojens;1
Svendborg;1. Byen;I;Liberal Alliance;Cecilie Liv Hansen, Kolding;18
Svendborg;1. Byen;I;Liberal Alliance;Christina Kokkendoff, Kolding;2
Svendborg;1. Byen;I;Liberal Alliance;Peter Nikolajsen, Esbjerg;0
