Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Ærø;1. Marstal;A;Socialdemokratiet;Listestemmer;128
Ærø;1. Marstal;A;Socialdemokratiet;Mette With Hagensen, Varde;7
Ærø;1. Marstal;A;Socialdemokratiet;Simon Sharif Chowdhury, Odense;5
Ærø;1. Marstal;A;Socialdemokratiet;Jette Damsø Henriksen, Sønderborg;1
Ærø;1. Marstal;A;Socialdemokratiet;Andi Sejersen, Vejle;3
Ærø;1. Marstal;A;Socialdemokratiet;Sonja Randrup, Fredericia;0
Ærø;1. Marstal;A;Socialdemokratiet;Mikael Hansen, Svendborg;23
Ærø;1. Marstal;A;Socialdemokratiet;Anne Fabricius, Odense;12
Ærø;1. Marstal;A;Socialdemokratiet;Kim Johansen, Nordfyn;1
Ærø;1. Marstal;A;Socialdemokratiet;Elin Søndergaard, Ringe;2
Ærø;1. Marstal;A;Socialdemokratiet;Poul Erik Jensen, Kolding;0
Ærø;1. Marstal;A;Socialdemokratiet;Kim Eskesen, Esbjerg;1
Ærø;1. Marstal;A;Socialdemokratiet;Tanja Vestergaard Skøtt, Vejen;0
Ærø;1. Marstal;A;Socialdemokratiet;Halil Özsari, Odense;1
Ærø;1. Marstal;A;Socialdemokratiet;Karsten Meyer Olesen, Aabenraa;1
Ærø;1. Marstal;A;Socialdemokratiet;Alina Racila, Tønder;0
Ærø;1. Marstal;A;Socialdemokratiet;Hans Stavnsager, Faaborg;24
Ærø;1. Marstal;A;Socialdemokratiet;Jens William Grav, Fredericia;1
Ærø;1. Marstal;A;Socialdemokratiet;Ulla Koman, Esbjerg;1
Ærø;1. Marstal;A;Socialdemokratiet;Maria Glinvad Damgaard, Haderslev;0
Ærø;1. Marstal;A;Socialdemokratiet;Ivan Damsted, Assens;0
Ærø;1. Marstal;A;Socialdemokratiet;Karina Vestergaard, Billund;1
Ærø;1. Marstal;A;Socialdemokratiet;Jasmin Bjelosevic, Vejle;0
Ærø;1. Marstal;B;Radikale Venstre;Listestemmer;18
Ærø;1. Marstal;B;Radikale Venstre;Morten Lorenzen, Assens;0
Ærø;1. Marstal;B;Radikale Venstre;Melissa Gilroy, Fanø;2
Ærø;1. Marstal;B;Radikale Venstre;Emilie Haaning, Nyborg;0
Ærø;1. Marstal;B;Radikale Venstre;Lærke Lysdal, Odense;0
Ærø;1. Marstal;B;Radikale Venstre;Zeb Meier Watz, Odense C;0
Ærø;1. Marstal;B;Radikale Venstre;Finn Hartvig Nielsen, Næsbyhoved Broby;0
Ærø;1. Marstal;B;Radikale Venstre;Hanne Ringgaard Møller, Svendborg;2
Ærø;1. Marstal;B;Radikale Venstre;Anna Mette Skov Borring, Årslev;1
Ærø;1. Marstal;B;Radikale Venstre;Claus Bjørn Madsen, Vejle;1
Ærø;1. Marstal;B;Radikale Venstre;Agnete Fog, Tranekær;1
Ærø;1. Marstal;B;Radikale Venstre;Lars E. Boesen, Middelfart;0
Ærø;1. Marstal;B;Radikale Venstre;Stefan Göttler, Svendborg;0
Ærø;1. Marstal;B;Radikale Venstre;Knud Nørregaard, Kolding;1
Ærø;1. Marstal;B;Radikale Venstre;Kim Lei-Jensen, Odense;0
Ærø;1. Marstal;B;Radikale Venstre;Benedicte Wilson, Odense;1
Ærø;1. Marstal;B;Radikale Venstre;Teddy Stafsen, Svendborg;0
Ærø;1. Marstal;B;Radikale Venstre;Kenny Holm, Sjølund;0
Ærø;1. Marstal;C;Det Konservative Folkeparti;Listestemmer;72
Ærø;1. Marstal;C;Det Konservative Folkeparti;Joachim Hoffmann, Odense;17
Ærø;1. Marstal;C;Det Konservative Folkeparti;May-Britt Andrea Andersen, Esbjerg;0
Ærø;1. Marstal;C;Det Konservative Folkeparti;Roya Moore, Odense;2
Ærø;1. Marstal;C;Det Konservative Folkeparti;Knud Erik Langhoff, Kolding;0
Ærø;1. Marstal;C;Det Konservative Folkeparti;Kirsten Hassing, Fredericia;5
Ærø;1. Marstal;C;Det Konservative Folkeparti;Michael Nielsen, Kerteminde;2
Ærø;1. Marstal;C;Det Konservative Folkeparti;Alexander Bork, Aabenraa;3
Ærø;1. Marstal;C;Det Konservative Folkeparti;Rasmus Sandvej, Kolding;0
Ærø;1. Marstal;C;Det Konservative Folkeparti;Anders Johansson, Svendborg;37
Ærø;1. Marstal;C;Det Konservative Folkeparti;Gunver Birgitte Nielsen, Haderslev;0
Ærø;1. Marstal;C;Det Konservative Folkeparti;Morten Weiss-Pedersen, Middelfart;0
Ærø;1. Marstal;C;Det Konservative Folkeparti;Marianne Quorp Kjærgaard, Aabenraa;1
Ærø;1. Marstal;C;Det Konservative Folkeparti;Henrik Sandholm, Vejle;1
Ærø;1. Marstal;C;Det Konservative Folkeparti;Betina Wettengel, Kolding;0
Ærø;1. Marstal;C;Det Konservative Folkeparti;Joacchim Brahtz, Faaborg;0
Ærø;1. Marstal;C;Det Konservative Folkeparti;Tonny Stenkilde, Vissenbjerg;0
Ærø;1. Marstal;C;Det Konservative Folkeparti;Carsten Jäger, Otterup;1
Ærø;1. Marstal;C;Det Konservative Folkeparti;Carl Jørgen Heide, Ærø;314
Ærø;1. Marstal;C;Det Konservative Folkeparti;Preben Steen, Vejle;1
Ærø;1. Marstal;E;Borgerlig Fornuft;Listestemmer;2
Ærø;1. Marstal;E;Borgerlig Fornuft;Sabrina Bech Bartholin, Esbjerg;1
Ærø;1. Marstal;E;Borgerlig Fornuft;Morten Møller, Esbjerg;0
Ærø;1. Marstal;E;Borgerlig Fornuft;Maiken Huglstad Pedersen, Esbjerg;0
Ærø;1. Marstal;E;Borgerlig Fornuft;Niels Jessen, Esbjerg;0
Ærø;1. Marstal;F;SF - Socialistisk Folkeparti;Listestemmer;101
Ærø;1. Marstal;F;SF - Socialistisk Folkeparti;Annette Blynel, Svendborg;71
Ærø;1. Marstal;F;SF - Socialistisk Folkeparti;Sara Darling Jørgensen, Svendborg;8
Ærø;1. Marstal;F;SF - Socialistisk Folkeparti;Susanne Stenstrop Thorsen, Kolding;0
Ærø;1. Marstal;F;SF - Socialistisk Folkeparti;Simon Meyer Off, Assens;0
Ærø;1. Marstal;F;SF - Socialistisk Folkeparti;Simon Dahl Verner, Esbjerg;1
Ærø;1. Marstal;F;SF - Socialistisk Folkeparti;Hanne Pedersen, Haderslev;0
Ærø;1. Marstal;F;SF - Socialistisk Folkeparti;Ole Tyrsted Jørgensen, Nyborg;3
Ærø;1. Marstal;F;SF - Socialistisk Folkeparti;Mikkel Berggreen Schmidt, Varde;1
Ærø;1. Marstal;F;SF - Socialistisk Folkeparti;Mads Holdgaard, Faaborg-Midtfyn;2
Ærø;1. Marstal;F;SF - Socialistisk Folkeparti;John Hyrup Jensen, Sønderborg;0
Ærø;1. Marstal;F;SF - Socialistisk Folkeparti;Jesper Mayerhofer, Odense;0
Ærø;1. Marstal;F;SF - Socialistisk Folkeparti;Bjarne Lund Henneberg, Tønder;0
Ærø;1. Marstal;F;SF - Socialistisk Folkeparti;Bent Olsen, Nordfyn;1
Ærø;1. Marstal;F;SF - Socialistisk Folkeparti;Lars Olesen, Fredericia;0
Ærø;1. Marstal;F;SF - Socialistisk Folkeparti;Laurits Kaae, Vejle;0
Ærø;1. Marstal;F;SF - Socialistisk Folkeparti;Kim Jørstad, Kerteminde;0
Ærø;1. Marstal;F;SF - Socialistisk Folkeparti;Michael Christensen, Aabenraa;0
Ærø;1. Marstal;I;Liberal Alliance;Listestemmer;24
Ærø;1. Marstal;I;Liberal Alliance;Bettina Eriksen, Kerteminde;0
Ærø;1. Marstal;I;Liberal Alliance;Christian Nyby Bergholdt, Varde;0
Ærø;1. Marstal;I;Liberal Alliance;Thomas Vedsted, Haderslev;0
Ærø;1. Marstal;I;Liberal Alliance;Camilla Silfverberg, Svendborg;2
Ærø;1. Marstal;I;Liberal Alliance;Lars Lillebæk, Vissenbjerg;1
Ærø;1. Marstal;I;Liberal Alliance;John Rasmussen, Fredericia;0
Ærø;1. Marstal;I;Liberal Alliance;Christian Fini, Vejle;0
Ærø;1. Marstal;I;Liberal Alliance;Marc Dyhr Seremet-Bangert, Vojens;0
Ærø;1. Marstal;I;Liberal Alliance;Cecilie Liv Hansen, Kolding;8
