Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Listestemmer;364
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Lars Gaardhøj, København;97
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Trine Birk Andersen, Holbæk;11
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Jarl Feyling, København;3
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Sofie de Bretteville, Ballerup;27
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Michael Schmidt, Halsnæs;2
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Laila Kildesgaard, Bornholm;14
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Susanne Lundvald, Næstved;0
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Sara Smith Hald, Valby;3
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Nicolai Kampmann, Hvidovre;7
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Sine Reffstrup, Ringsted;3
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Vibeke Westh, Frederiksberg;5
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Susanne Due Kristensen, Hillerød;2
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Thomas Adelskov, Odsherred;1
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Brian Høier, Tårnby;0
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Martin Baden, Ishøj;2
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Torben Klitmøller Hollmann, Lolland;4
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Ole Terkelsen, Valby;2
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Martin Thor Pedersen, Helsingør;0
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Katrine Skov, Gladsaxe;1
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Lisette Lind Larsen, Faxe;1
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Ulrik Juhl Hansen, Vesterbro;0
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Kirsten Rask, Kalundborg;0
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Niels Christian Dahl, Allerød;0
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Hari Neupane, Ørestad;18
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Håkon Nielsen, Rødovre;2
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Helle Lethmar, Køge;1
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Bodil Kornbek, Lyngby-Taarbæk;3
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;John Hansen, Guldborgsund;4
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Kenneth Nielsen, Slagelse;1
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Claus Heje, Høje-Taastrup;63
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Rasmus Oxfeldt Larsen, Vordingborg;2
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Frederik Haugstrup Jacobsen, Østerbro;1
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Steen S. Hansen, Stevns;1
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Stina Højgaard, Greve;1
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;René Vejby Kierch, Roskilde;1
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Mikkel Krog, Lejre;2
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Jan Månsson, Sorø;0
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Camilla Hoffmann, København;3
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Line Andrup, Egedal;2
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Ludwig Heldt, København;4
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Stig Ekman, Bispebjerg;0
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Alice Rudkjær, Rudersdal;2
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Mille Koch Rømer, Østerbro;0
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Dickte Noël Toft, Hørsholm;1
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Felex Pedersen, Odsherred;1
Albertslund;1. Herstedøster Skole;A;Socialdemokratiet;Gitte Simoni, Roskilde;1
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Listestemmer;84
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Thomas Rohden, København;10
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Anne Møller Ronex, Holbæk;3
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Stinus Lindgreen, Lyngby-Taarbæk;22
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Jeppe Fransson, Roskilde;1
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Sofie Holm, København;2
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Christina Thorholm, Hillerød;2
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Nadeem Farooq, Høje-Taastrup;17
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Tine Hessner, Furesø;1
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Kristian Kirk Mailand, Bornholm;1
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Freja Wirlander, Hvidovre;3
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Ruben Kidde, Frederiksberg;5
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Vibeke Grønbæk, Vordingborg;0
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Line Krogh Lay, Stevns;1
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Brian Køster, Hvidovre;6
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Thomas Baark, Guldborgsund;1
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Lars Hoppe Søe, Næstved;0
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Jacob Netteberg, Birkerød;0
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Maria Katarina Nielsen, Frederikssund;1
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Søren Burcharth, København;0
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Julie Herdal Molbech, København;1
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Anders Medum Groth, Furesø;1
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Søs Haugaard, København;0
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Kim Pagels, Solrød;0
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Jørgen Suhr, Hillerød;0
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Martin Schepelern, København;0
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Christian Fink Elkjær, Rudersdal;1
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Peter L. Sørensen, Gribskov;0
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Gitte Kjær-Westermann, Lyngby-Taarbæk;0
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Kim Mandix, København;0
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Rikke Mortensen, Egedal;0
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Trine Dybkjær, Gentofte;1
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Marianne Bredgaard Karlsson, Fredensborg;0
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Christina Falkberg, Gladsaxe;0
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Kashif Ahmad, København;18
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Irfan Gilani, Brøndby;42
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Edris Qasimi, Sorø;1
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Lartey Lawson, København;0
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Oruc Polat, Albertslund;22
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Merete Them Kjølholm, Allerød;1
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Jesper Luthman, Espergærde;3
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Bjørn Bjerrehøj, Tårnby;0
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Claus Rehfeld, København;0
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Charlotte Saabye Sørensen, København N;0
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Lars Green Bach, Ballerup;2
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Claus Wachmann, Gladsaxe;0
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Alina Protsyk, København;0
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Marianne Fritzen, Odsherred;0
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Emilie U. Andersen-Ranberg, Hørsholm;4
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Magnus Dræby, Halsnæs;0
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Knud Mogensen, Helsingør;0
Albertslund;1. Herstedøster Skole;B;Radikale Venstre;Emilie Borch Sloth, Glostrup;4
Albertslund;1. Herstedøster Skole;C;Det Konservative Folkeparti;Listestemmer;166
