Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Dragør;1. Dragør Skole;A;Socialdemokratiet;Listestemmer;288
Dragør;1. Dragør Skole;A;Socialdemokratiet;Lars Gaardhøj, København;56
Dragør;1. Dragør Skole;A;Socialdemokratiet;Trine Birk Andersen, Holbæk;5
Dragør;1. Dragør Skole;A;Socialdemokratiet;Jarl Feyling, København;2
Dragør;1. Dragør Skole;A;Socialdemokratiet;Sofie de Bretteville, Ballerup;9
Dragør;1. Dragør Skole;A;Socialdemokratiet;Michael Schmidt, Halsnæs;0
Dragør;1. Dragør Skole;A;Socialdemokratiet;Laila Kildesgaard, Bornholm;9
Dragør;1. Dragør Skole;A;Socialdemokratiet;Susanne Lundvald, Næstved;2
Dragør;1. Dragør Skole;A;Socialdemokratiet;Sara Smith Hald, Valby;1
Dragør;1. Dragør Skole;A;Socialdemokratiet;Nicolai Kampmann, Hvidovre;2
Dragør;1. Dragør Skole;A;Socialdemokratiet;Sine Reffstrup, Ringsted;5
Dragør;1. Dragør Skole;A;Socialdemokratiet;Vibeke Westh, Frederiksberg;4
Dragør;1. Dragør Skole;A;Socialdemokratiet;Susanne Due Kristensen, Hillerød;3
Dragør;1. Dragør Skole;A;Socialdemokratiet;Thomas Adelskov, Odsherred;3
Dragør;1. Dragør Skole;A;Socialdemokratiet;Brian Høier, Tårnby;61
Dragør;1. Dragør Skole;A;Socialdemokratiet;Martin Baden, Ishøj;0
Dragør;1. Dragør Skole;A;Socialdemokratiet;Torben Klitmøller Hollmann, Lolland;0
Dragør;1. Dragør Skole;A;Socialdemokratiet;Ole Terkelsen, Valby;2
Dragør;1. Dragør Skole;A;Socialdemokratiet;Martin Thor Pedersen, Helsingør;0
Dragør;1. Dragør Skole;A;Socialdemokratiet;Katrine Skov, Gladsaxe;0
Dragør;1. Dragør Skole;A;Socialdemokratiet;Lisette Lind Larsen, Faxe;0
Dragør;1. Dragør Skole;A;Socialdemokratiet;Ulrik Juhl Hansen, Vesterbro;0
Dragør;1. Dragør Skole;A;Socialdemokratiet;Kirsten Rask, Kalundborg;1
Dragør;1. Dragør Skole;A;Socialdemokratiet;Niels Christian Dahl, Allerød;2
Dragør;1. Dragør Skole;A;Socialdemokratiet;Hari Neupane, Ørestad;0
Dragør;1. Dragør Skole;A;Socialdemokratiet;Håkon Nielsen, Rødovre;1
Dragør;1. Dragør Skole;A;Socialdemokratiet;Helle Lethmar, Køge;0
Dragør;1. Dragør Skole;A;Socialdemokratiet;Bodil Kornbek, Lyngby-Taarbæk;0
Dragør;1. Dragør Skole;A;Socialdemokratiet;John Hansen, Guldborgsund;3
Dragør;1. Dragør Skole;A;Socialdemokratiet;Kenneth Nielsen, Slagelse;0
Dragør;1. Dragør Skole;A;Socialdemokratiet;Claus Heje, Høje-Taastrup;1
Dragør;1. Dragør Skole;A;Socialdemokratiet;Rasmus Oxfeldt Larsen, Vordingborg;3
Dragør;1. Dragør Skole;A;Socialdemokratiet;Frederik Haugstrup Jacobsen, Østerbro;2
Dragør;1. Dragør Skole;A;Socialdemokratiet;Steen S. Hansen, Stevns;0
Dragør;1. Dragør Skole;A;Socialdemokratiet;Stina Højgaard, Greve;1
Dragør;1. Dragør Skole;A;Socialdemokratiet;René Vejby Kierch, Roskilde;1
Dragør;1. Dragør Skole;A;Socialdemokratiet;Mikkel Krog, Lejre;0
Dragør;1. Dragør Skole;A;Socialdemokratiet;Jan Månsson, Sorø;0
Dragør;1. Dragør Skole;A;Socialdemokratiet;Camilla Hoffmann, København;3
Dragør;1. Dragør Skole;A;Socialdemokratiet;Line Andrup, Egedal;0
Dragør;1. Dragør Skole;A;Socialdemokratiet;Ludwig Heldt, København;0
Dragør;1. Dragør Skole;A;Socialdemokratiet;Stig Ekman, Bispebjerg;3
Dragør;1. Dragør Skole;A;Socialdemokratiet;Alice Rudkjær, Rudersdal;1
Dragør;1. Dragør Skole;A;Socialdemokratiet;Mille Koch Rømer, Østerbro;1
Dragør;1. Dragør Skole;A;Socialdemokratiet;Dickte Noël Toft, Hørsholm;1
Dragør;1. Dragør Skole;A;Socialdemokratiet;Felex Pedersen, Odsherred;1
Dragør;1. Dragør Skole;A;Socialdemokratiet;Gitte Simoni, Roskilde;0
Dragør;1. Dragør Skole;B;Radikale Venstre;Listestemmer;138
Dragør;1. Dragør Skole;B;Radikale Venstre;Thomas Rohden, København;10
Dragør;1. Dragør Skole;B;Radikale Venstre;Anne Møller Ronex, Holbæk;5
Dragør;1. Dragør Skole;B;Radikale Venstre;Stinus Lindgreen, Lyngby-Taarbæk;12
Dragør;1. Dragør Skole;B;Radikale Venstre;Jeppe Fransson, Roskilde;0
Dragør;1. Dragør Skole;B;Radikale Venstre;Sofie Holm, København;6
Dragør;1. Dragør Skole;B;Radikale Venstre;Christina Thorholm, Hillerød;5
Dragør;1. Dragør Skole;B;Radikale Venstre;Nadeem Farooq, Høje-Taastrup;1
Dragør;1. Dragør Skole;B;Radikale Venstre;Tine Hessner, Furesø;0
Dragør;1. Dragør Skole;B;Radikale Venstre;Kristian Kirk Mailand, Bornholm;2
Dragør;1. Dragør Skole;B;Radikale Venstre;Freja Wirlander, Hvidovre;0
Dragør;1. Dragør Skole;B;Radikale Venstre;Ruben Kidde, Frederiksberg;2
Dragør;1. Dragør Skole;B;Radikale Venstre;Vibeke Grønbæk, Vordingborg;1
Dragør;1. Dragør Skole;B;Radikale Venstre;Line Krogh Lay, Stevns;4
Dragør;1. Dragør Skole;B;Radikale Venstre;Brian Køster, Hvidovre;0
Dragør;1. Dragør Skole;B;Radikale Venstre;Thomas Baark, Guldborgsund;1
Dragør;1. Dragør Skole;B;Radikale Venstre;Lars Hoppe Søe, Næstved;0
Dragør;1. Dragør Skole;B;Radikale Venstre;Jacob Netteberg, Birkerød;1
Dragør;1. Dragør Skole;B;Radikale Venstre;Maria Katarina Nielsen, Frederikssund;1
Dragør;1. Dragør Skole;B;Radikale Venstre;Søren Burcharth, København;0
Dragør;1. Dragør Skole;B;Radikale Venstre;Julie Herdal Molbech, København;3
Dragør;1. Dragør Skole;B;Radikale Venstre;Anders Medum Groth, Furesø;0
Dragør;1. Dragør Skole;B;Radikale Venstre;Søs Haugaard, København;1
Dragør;1. Dragør Skole;B;Radikale Venstre;Kim Pagels, Solrød;0
Dragør;1. Dragør Skole;B;Radikale Venstre;Jørgen Suhr, Hillerød;0
Dragør;1. Dragør Skole;B;Radikale Venstre;Martin Schepelern, København;1
Dragør;1. Dragør Skole;B;Radikale Venstre;Christian Fink Elkjær, Rudersdal;0
