Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Fredensborg;1. Asminderød;A;Socialdemokratiet;Listestemmer;476
Fredensborg;1. Asminderød;A;Socialdemokratiet;Lars Gaardhøj, København;62
Fredensborg;1. Asminderød;A;Socialdemokratiet;Trine Birk Andersen, Holbæk;11
Fredensborg;1. Asminderød;A;Socialdemokratiet;Jarl Feyling, København;0
Fredensborg;1. Asminderød;A;Socialdemokratiet;Sofie de Bretteville, Ballerup;6
Fredensborg;1. Asminderød;A;Socialdemokratiet;Michael Schmidt, Halsnæs;3
Fredensborg;1. Asminderød;A;Socialdemokratiet;Laila Kildesgaard, Bornholm;6
Fredensborg;1. Asminderød;A;Socialdemokratiet;Susanne Lundvald, Næstved;4
Fredensborg;1. Asminderød;A;Socialdemokratiet;Sara Smith Hald, Valby;3
Fredensborg;1. Asminderød;A;Socialdemokratiet;Nicolai Kampmann, Hvidovre;3
Fredensborg;1. Asminderød;A;Socialdemokratiet;Sine Reffstrup, Ringsted;3
Fredensborg;1. Asminderød;A;Socialdemokratiet;Vibeke Westh, Frederiksberg;7
Fredensborg;1. Asminderød;A;Socialdemokratiet;Susanne Due Kristensen, Hillerød;73
Fredensborg;1. Asminderød;A;Socialdemokratiet;Thomas Adelskov, Odsherred;1
Fredensborg;1. Asminderød;A;Socialdemokratiet;Brian Høier, Tårnby;0
Fredensborg;1. Asminderød;A;Socialdemokratiet;Martin Baden, Ishøj;1
Fredensborg;1. Asminderød;A;Socialdemokratiet;Torben Klitmøller Hollmann, Lolland;3
Fredensborg;1. Asminderød;A;Socialdemokratiet;Ole Terkelsen, Valby;1
Fredensborg;1. Asminderød;A;Socialdemokratiet;Martin Thor Pedersen, Helsingør;9
Fredensborg;1. Asminderød;A;Socialdemokratiet;Katrine Skov, Gladsaxe;0
Fredensborg;1. Asminderød;A;Socialdemokratiet;Lisette Lind Larsen, Faxe;1
Fredensborg;1. Asminderød;A;Socialdemokratiet;Ulrik Juhl Hansen, Vesterbro;44
Fredensborg;1. Asminderød;A;Socialdemokratiet;Kirsten Rask, Kalundborg;0
Fredensborg;1. Asminderød;A;Socialdemokratiet;Niels Christian Dahl, Allerød;9
Fredensborg;1. Asminderød;A;Socialdemokratiet;Hari Neupane, Ørestad;0
Fredensborg;1. Asminderød;A;Socialdemokratiet;Håkon Nielsen, Rødovre;0
Fredensborg;1. Asminderød;A;Socialdemokratiet;Helle Lethmar, Køge;3
Fredensborg;1. Asminderød;A;Socialdemokratiet;Bodil Kornbek, Lyngby-Taarbæk;2
Fredensborg;1. Asminderød;A;Socialdemokratiet;John Hansen, Guldborgsund;2
Fredensborg;1. Asminderød;A;Socialdemokratiet;Kenneth Nielsen, Slagelse;0
Fredensborg;1. Asminderød;A;Socialdemokratiet;Claus Heje, Høje-Taastrup;1
Fredensborg;1. Asminderød;A;Socialdemokratiet;Rasmus Oxfeldt Larsen, Vordingborg;2
