Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Listestemmer;617
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Lars Gaardhøj, København;163
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Trine Birk Andersen, Holbæk;13
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Jarl Feyling, København;9
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Sofie de Bretteville, Ballerup;22
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Michael Schmidt, Halsnæs;1
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Laila Kildesgaard, Bornholm;26
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Susanne Lundvald, Næstved;1
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Sara Smith Hald, Valby;9
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Nicolai Kampmann, Hvidovre;1
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Sine Reffstrup, Ringsted;5
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Vibeke Westh, Frederiksberg;181
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Susanne Due Kristensen, Hillerød;1
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Thomas Adelskov, Odsherred;7
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Brian Høier, Tårnby;0
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Martin Baden, Ishøj;2
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Torben Klitmøller Hollmann, Lolland;5
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Ole Terkelsen, Valby;2
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Martin Thor Pedersen, Helsingør;1
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Katrine Skov, Gladsaxe;1
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Lisette Lind Larsen, Faxe;2
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Ulrik Juhl Hansen, Vesterbro;1
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Kirsten Rask, Kalundborg;0
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Niels Christian Dahl, Allerød;0
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Hari Neupane, Ørestad;2
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Håkon Nielsen, Rødovre;0
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Helle Lethmar, Køge;4
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Bodil Kornbek, Lyngby-Taarbæk;4
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;John Hansen, Guldborgsund;2
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Kenneth Nielsen, Slagelse;3
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Claus Heje, Høje-Taastrup;2
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Rasmus Oxfeldt Larsen, Vordingborg;2
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Frederik Haugstrup Jacobsen, Østerbro;0
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Steen S. Hansen, Stevns;0
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Stina Højgaard, Greve;0
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;René Vejby Kierch, Roskilde;1
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Mikkel Krog, Lejre;0
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Jan Månsson, Sorø;1
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Camilla Hoffmann, København;10
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Line Andrup, Egedal;0
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Ludwig Heldt, København;5
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Stig Ekman, Bispebjerg;0
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Alice Rudkjær, Rudersdal;1
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Mille Koch Rømer, Østerbro;2
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Dickte Noël Toft, Hørsholm;2
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Felex Pedersen, Odsherred;0
Frederiksberg;1. 10. Kreds, Søerne;A;Socialdemokratiet;Gitte Simoni, Roskilde;1
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Listestemmer;524
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Thomas Rohden, København;113
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Anne Møller Ronex, Holbæk;18
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Stinus Lindgreen, Lyngby-Taarbæk;63
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Jeppe Fransson, Roskilde;4
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Sofie Holm, København;48
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Christina Thorholm, Hillerød;7
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Nadeem Farooq, Høje-Taastrup;8
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Tine Hessner, Furesø;5
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Kristian Kirk Mailand, Bornholm;5
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Freja Wirlander, Hvidovre;9
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Ruben Kidde, Frederiksberg;113
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Vibeke Grønbæk, Vordingborg;3
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Line Krogh Lay, Stevns;3
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Brian Køster, Hvidovre;12
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Thomas Baark, Guldborgsund;1
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Lars Hoppe Søe, Næstved;0
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Jacob Netteberg, Birkerød;2
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Maria Katarina Nielsen, Frederikssund;4
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Søren Burcharth, København;5
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Julie Herdal Molbech, København;8
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Anders Medum Groth, Furesø;2
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Søs Haugaard, København;4
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Kim Pagels, Solrød;2
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Jørgen Suhr, Hillerød;1
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Martin Schepelern, København;2
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Christian Fink Elkjær, Rudersdal;2
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Peter L. Sørensen, Gribskov;1
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Gitte Kjær-Westermann, Lyngby-Taarbæk;1
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Kim Mandix, København;3
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Rikke Mortensen, Egedal;5
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Trine Dybkjær, Gentofte;15
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Marianne Bredgaard Karlsson, Fredensborg;0
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Christina Falkberg, Gladsaxe;11
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Kashif Ahmad, København;13
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Irfan Gilani, Brøndby;5
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Edris Qasimi, Sorø;0
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Lartey Lawson, København;0
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Oruc Polat, Albertslund;3
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Merete Them Kjølholm, Allerød;2
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Jesper Luthman, Espergærde;1
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Bjørn Bjerrehøj, Tårnby;3
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Claus Rehfeld, København;7
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Charlotte Saabye Sørensen, København N;1
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Lars Green Bach, Ballerup;0
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Claus Wachmann, Gladsaxe;1
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Alina Protsyk, København;0
Frederiksberg;1. 10. Kreds, Søerne;B;Radikale Venstre;Marianne Fritzen, Odsherred;0
