Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Herlev;1. Herlev Medborgerhus;A;Socialdemokratiet;Listestemmer;921
Herlev;1. Herlev Medborgerhus;A;Socialdemokratiet;Lars Gaardhøj, København;176
Herlev;1. Herlev Medborgerhus;A;Socialdemokratiet;Trine Birk Andersen, Holbæk;17
Herlev;1. Herlev Medborgerhus;A;Socialdemokratiet;Jarl Feyling, København;13
Herlev;1. Herlev Medborgerhus;A;Socialdemokratiet;Sofie de Bretteville, Ballerup;79
Herlev;1. Herlev Medborgerhus;A;Socialdemokratiet;Michael Schmidt, Halsnæs;6
Herlev;1. Herlev Medborgerhus;A;Socialdemokratiet;Laila Kildesgaard, Bornholm;11
Herlev;1. Herlev Medborgerhus;A;Socialdemokratiet;Susanne Lundvald, Næstved;2
Herlev;1. Herlev Medborgerhus;A;Socialdemokratiet;Sara Smith Hald, Valby;7
Herlev;1. Herlev Medborgerhus;A;Socialdemokratiet;Nicolai Kampmann, Hvidovre;6
Herlev;1. Herlev Medborgerhus;A;Socialdemokratiet;Sine Reffstrup, Ringsted;1
Herlev;1. Herlev Medborgerhus;A;Socialdemokratiet;Vibeke Westh, Frederiksberg;5
Herlev;1. Herlev Medborgerhus;A;Socialdemokratiet;Susanne Due Kristensen, Hillerød;2
Herlev;1. Herlev Medborgerhus;A;Socialdemokratiet;Thomas Adelskov, Odsherred;11
Herlev;1. Herlev Medborgerhus;A;Socialdemokratiet;Brian Høier, Tårnby;1
Herlev;1. Herlev Medborgerhus;A;Socialdemokratiet;Martin Baden, Ishøj;42
Herlev;1. Herlev Medborgerhus;A;Socialdemokratiet;Torben Klitmøller Hollmann, Lolland;5
Herlev;1. Herlev Medborgerhus;A;Socialdemokratiet;Ole Terkelsen, Valby;5
Herlev;1. Herlev Medborgerhus;A;Socialdemokratiet;Martin Thor Pedersen, Helsingør;2
Herlev;1. Herlev Medborgerhus;A;Socialdemokratiet;Katrine Skov, Gladsaxe;11
Herlev;1. Herlev Medborgerhus;A;Socialdemokratiet;Lisette Lind Larsen, Faxe;2
Herlev;1. Herlev Medborgerhus;A;Socialdemokratiet;Ulrik Juhl Hansen, Vesterbro;1
Herlev;1. Herlev Medborgerhus;A;Socialdemokratiet;Kirsten Rask, Kalundborg;0
Herlev;1. Herlev Medborgerhus;A;Socialdemokratiet;Niels Christian Dahl, Allerød;6
Herlev;1. Herlev Medborgerhus;A;Socialdemokratiet;Hari Neupane, Ørestad;33
Herlev;1. Herlev Medborgerhus;A;Socialdemokratiet;Håkon Nielsen, Rødovre;30
Herlev;1. Herlev Medborgerhus;A;Socialdemokratiet;Helle Lethmar, Køge;7
