Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Hillerød;1. Royal Stage;A;Socialdemokratiet;Listestemmer;518
Hillerød;1. Royal Stage;A;Socialdemokratiet;Lars Gaardhøj, København;112
Hillerød;1. Royal Stage;A;Socialdemokratiet;Trine Birk Andersen, Holbæk;10
Hillerød;1. Royal Stage;A;Socialdemokratiet;Jarl Feyling, København;7
Hillerød;1. Royal Stage;A;Socialdemokratiet;Sofie de Bretteville, Ballerup;8
Hillerød;1. Royal Stage;A;Socialdemokratiet;Michael Schmidt, Halsnæs;3
Hillerød;1. Royal Stage;A;Socialdemokratiet;Laila Kildesgaard, Bornholm;11
Hillerød;1. Royal Stage;A;Socialdemokratiet;Susanne Lundvald, Næstved;1
Hillerød;1. Royal Stage;A;Socialdemokratiet;Sara Smith Hald, Valby;3
Hillerød;1. Royal Stage;A;Socialdemokratiet;Nicolai Kampmann, Hvidovre;2
Hillerød;1. Royal Stage;A;Socialdemokratiet;Sine Reffstrup, Ringsted;2
Hillerød;1. Royal Stage;A;Socialdemokratiet;Vibeke Westh, Frederiksberg;8
Hillerød;1. Royal Stage;A;Socialdemokratiet;Susanne Due Kristensen, Hillerød;246
Hillerød;1. Royal Stage;A;Socialdemokratiet;Thomas Adelskov, Odsherred;2
Hillerød;1. Royal Stage;A;Socialdemokratiet;Brian Høier, Tårnby;0
Hillerød;1. Royal Stage;A;Socialdemokratiet;Martin Baden, Ishøj;0
Hillerød;1. Royal Stage;A;Socialdemokratiet;Torben Klitmøller Hollmann, Lolland;1
Hillerød;1. Royal Stage;A;Socialdemokratiet;Ole Terkelsen, Valby;2
Hillerød;1. Royal Stage;A;Socialdemokratiet;Martin Thor Pedersen, Helsingør;1
Hillerød;1. Royal Stage;A;Socialdemokratiet;Katrine Skov, Gladsaxe;5
Hillerød;1. Royal Stage;A;Socialdemokratiet;Lisette Lind Larsen, Faxe;1
Hillerød;1. Royal Stage;A;Socialdemokratiet;Ulrik Juhl Hansen, Vesterbro;0
Hillerød;1. Royal Stage;A;Socialdemokratiet;Kirsten Rask, Kalundborg;2
Hillerød;1. Royal Stage;A;Socialdemokratiet;Niels Christian Dahl, Allerød;6
Hillerød;1. Royal Stage;A;Socialdemokratiet;Hari Neupane, Ørestad;1
Hillerød;1. Royal Stage;A;Socialdemokratiet;Håkon Nielsen, Rødovre;0
Hillerød;1. Royal Stage;A;Socialdemokratiet;Helle Lethmar, Køge;2
Hillerød;1. Royal Stage;A;Socialdemokratiet;Bodil Kornbek, Lyngby-Taarbæk;0
Hillerød;1. Royal Stage;A;Socialdemokratiet;John Hansen, Guldborgsund;4
Hillerød;1. Royal Stage;A;Socialdemokratiet;Kenneth Nielsen, Slagelse;2
Hillerød;1. Royal Stage;A;Socialdemokratiet;Claus Heje, Høje-Taastrup;1
Hillerød;1. Royal Stage;A;Socialdemokratiet;Rasmus Oxfeldt Larsen, Vordingborg;0
Hillerød;1. Royal Stage;A;Socialdemokratiet;Frederik Haugstrup Jacobsen, Østerbro;0
Hillerød;1. Royal Stage;A;Socialdemokratiet;Steen S. Hansen, Stevns;1
Hillerød;1. Royal Stage;A;Socialdemokratiet;Stina Højgaard, Greve;2
Hillerød;1. Royal Stage;A;Socialdemokratiet;René Vejby Kierch, Roskilde;1
Hillerød;1. Royal Stage;A;Socialdemokratiet;Mikkel Krog, Lejre;1
Hillerød;1. Royal Stage;A;Socialdemokratiet;Jan Månsson, Sorø;0
Hillerød;1. Royal Stage;A;Socialdemokratiet;Camilla Hoffmann, København;7
Hillerød;1. Royal Stage;A;Socialdemokratiet;Line Andrup, Egedal;2
Hillerød;1. Royal Stage;A;Socialdemokratiet;Ludwig Heldt, København;1
Hillerød;1. Royal Stage;A;Socialdemokratiet;Stig Ekman, Bispebjerg;0
Hillerød;1. Royal Stage;A;Socialdemokratiet;Alice Rudkjær, Rudersdal;2
Hillerød;1. Royal Stage;A;Socialdemokratiet;Mille Koch Rømer, Østerbro;0
Hillerød;1. Royal Stage;A;Socialdemokratiet;Dickte Noël Toft, Hørsholm;1
Hillerød;1. Royal Stage;A;Socialdemokratiet;Felex Pedersen, Odsherred;2
Hillerød;1. Royal Stage;A;Socialdemokratiet;Gitte Simoni, Roskilde;1
Hillerød;1. Royal Stage;B;Radikale Venstre;Listestemmer;190
Hillerød;1. Royal Stage;B;Radikale Venstre;Thomas Rohden, København;17
Hillerød;1. Royal Stage;B;Radikale Venstre;Anne Møller Ronex, Holbæk;4
Hillerød;1. Royal Stage;B;Radikale Venstre;Stinus Lindgreen, Lyngby-Taarbæk;18
Hillerød;1. Royal Stage;B;Radikale Venstre;Jeppe Fransson, Roskilde;1
Hillerød;1. Royal Stage;B;Radikale Venstre;Sofie Holm, København;7
Hillerød;1. Royal Stage;B;Radikale Venstre;Christina Thorholm, Hillerød;115
Hillerød;1. Royal Stage;B;Radikale Venstre;Nadeem Farooq, Høje-Taastrup;3
Hillerød;1. Royal Stage;B;Radikale Venstre;Tine Hessner, Furesø;5
Hillerød;1. Royal Stage;B;Radikale Venstre;Kristian Kirk Mailand, Bornholm;5
Hillerød;1. Royal Stage;B;Radikale Venstre;Freja Wirlander, Hvidovre;2
Hillerød;1. Royal Stage;B;Radikale Venstre;Ruben Kidde, Frederiksberg;3
Hillerød;1. Royal Stage;B;Radikale Venstre;Vibeke Grønbæk, Vordingborg;3
Hillerød;1. Royal Stage;B;Radikale Venstre;Line Krogh Lay, Stevns;1
Hillerød;1. Royal Stage;B;Radikale Venstre;Brian Køster, Hvidovre;1
Hillerød;1. Royal Stage;B;Radikale Venstre;Thomas Baark, Guldborgsund;2
Hillerød;1. Royal Stage;B;Radikale Venstre;Lars Hoppe Søe, Næstved;1
Hillerød;1. Royal Stage;B;Radikale Venstre;Jacob Netteberg, Birkerød;6
Hillerød;1. Royal Stage;B;Radikale Venstre;Maria Katarina Nielsen, Frederikssund;2
Hillerød;1. Royal Stage;B;Radikale Venstre;Søren Burcharth, København;3
Hillerød;1. Royal Stage;B;Radikale Venstre;Julie Herdal Molbech, København;2
Hillerød;1. Royal Stage;B;Radikale Venstre;Anders Medum Groth, Furesø;0
Hillerød;1. Royal Stage;B;Radikale Venstre;Søs Haugaard, København;1
Hillerød;1. Royal Stage;B;Radikale Venstre;Kim Pagels, Solrød;1
Hillerød;1. Royal Stage;B;Radikale Venstre;Jørgen Suhr, Hillerød;19
Hillerød;1. Royal Stage;B;Radikale Venstre;Martin Schepelern, København;0
Hillerød;1. Royal Stage;B;Radikale Venstre;Christian Fink Elkjær, Rudersdal;1
Hillerød;1. Royal Stage;B;Radikale Venstre;Peter L. Sørensen, Gribskov;1
Hillerød;1. Royal Stage;B;Radikale Venstre;Gitte Kjær-Westermann, Lyngby-Taarbæk;1
Hillerød;1. Royal Stage;B;Radikale Venstre;Kim Mandix, København;4
Hillerød;1. Royal Stage;B;Radikale Venstre;Rikke Mortensen, Egedal;2
Hillerød;1. Royal Stage;B;Radikale Venstre;Trine Dybkjær, Gentofte;7
Hillerød;1. Royal Stage;B;Radikale Venstre;Marianne Bredgaard Karlsson, Fredensborg;1
Hillerød;1. Royal Stage;B;Radikale Venstre;Christina Falkberg, Gladsaxe;4
Hillerød;1. Royal Stage;B;Radikale Venstre;Kashif Ahmad, København;2
