Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Høje-Taastrup;1. Børne- og Kulturhuset;A;Socialdemokratiet;Listestemmer;151
Høje-Taastrup;1. Børne- og Kulturhuset;A;Socialdemokratiet;Lars Gaardhøj, København;29
Høje-Taastrup;1. Børne- og Kulturhuset;A;Socialdemokratiet;Trine Birk Andersen, Holbæk;5
Høje-Taastrup;1. Børne- og Kulturhuset;A;Socialdemokratiet;Jarl Feyling, København;1
Høje-Taastrup;1. Børne- og Kulturhuset;A;Socialdemokratiet;Sofie de Bretteville, Ballerup;2
Høje-Taastrup;1. Børne- og Kulturhuset;A;Socialdemokratiet;Michael Schmidt, Halsnæs;1
Høje-Taastrup;1. Børne- og Kulturhuset;A;Socialdemokratiet;Laila Kildesgaard, Bornholm;6
Høje-Taastrup;1. Børne- og Kulturhuset;A;Socialdemokratiet;Susanne Lundvald, Næstved;1
Høje-Taastrup;1. Børne- og Kulturhuset;A;Socialdemokratiet;Sara Smith Hald, Valby;0
Høje-Taastrup;1. Børne- og Kulturhuset;A;Socialdemokratiet;Nicolai Kampmann, Hvidovre;2
Høje-Taastrup;1. Børne- og Kulturhuset;A;Socialdemokratiet;Sine Reffstrup, Ringsted;2
Høje-Taastrup;1. Børne- og Kulturhuset;A;Socialdemokratiet;Vibeke Westh, Frederiksberg;3
Høje-Taastrup;1. Børne- og Kulturhuset;A;Socialdemokratiet;Susanne Due Kristensen, Hillerød;0
Høje-Taastrup;1. Børne- og Kulturhuset;A;Socialdemokratiet;Thomas Adelskov, Odsherred;4
Høje-Taastrup;1. Børne- og Kulturhuset;A;Socialdemokratiet;Brian Høier, Tårnby;1
Høje-Taastrup;1. Børne- og Kulturhuset;A;Socialdemokratiet;Martin Baden, Ishøj;4
Høje-Taastrup;1. Børne- og Kulturhuset;A;Socialdemokratiet;Torben Klitmøller Hollmann, Lolland;2
Høje-Taastrup;1. Børne- og Kulturhuset;A;Socialdemokratiet;Ole Terkelsen, Valby;0
Høje-Taastrup;1. Børne- og Kulturhuset;A;Socialdemokratiet;Martin Thor Pedersen, Helsingør;0
