Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Listestemmer;107
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Lars Gaardhøj, København;29
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Trine Birk Andersen, Holbæk;3
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Jarl Feyling, København;1
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Sofie de Bretteville, Ballerup;2
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Michael Schmidt, Halsnæs;0
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Laila Kildesgaard, Bornholm;6
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Susanne Lundvald, Næstved;0
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Sara Smith Hald, Valby;2
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Nicolai Kampmann, Hvidovre;3
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Sine Reffstrup, Ringsted;1
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Vibeke Westh, Frederiksberg;0
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Susanne Due Kristensen, Hillerød;0
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Thomas Adelskov, Odsherred;0
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Brian Høier, Tårnby;0
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Martin Baden, Ishøj;57
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Torben Klitmøller Hollmann, Lolland;1
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Ole Terkelsen, Valby;0
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Martin Thor Pedersen, Helsingør;1
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Katrine Skov, Gladsaxe;0
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Lisette Lind Larsen, Faxe;0
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Ulrik Juhl Hansen, Vesterbro;0
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Kirsten Rask, Kalundborg;1
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Niels Christian Dahl, Allerød;0
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Hari Neupane, Ørestad;1
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Håkon Nielsen, Rødovre;0
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Helle Lethmar, Køge;1
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Bodil Kornbek, Lyngby-Taarbæk;0
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;John Hansen, Guldborgsund;0
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Kenneth Nielsen, Slagelse;0
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Claus Heje, Høje-Taastrup;3
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Rasmus Oxfeldt Larsen, Vordingborg;0
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Frederik Haugstrup Jacobsen, Østerbro;0
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Steen S. Hansen, Stevns;0
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Stina Højgaard, Greve;2
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;René Vejby Kierch, Roskilde;1
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Mikkel Krog, Lejre;0
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Jan Månsson, Sorø;0
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Camilla Hoffmann, København;1
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Line Andrup, Egedal;1
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Ludwig Heldt, København;0
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Stig Ekman, Bispebjerg;0
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Alice Rudkjær, Rudersdal;0
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Mille Koch Rømer, Østerbro;1
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Dickte Noël Toft, Hørsholm;1
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Felex Pedersen, Odsherred;0
Ishøj;1. Ishøj Landsby;A;Socialdemokratiet;Gitte Simoni, Roskilde;0
Ishøj;1. Ishøj Landsby;B;Radikale Venstre;Listestemmer;30
Ishøj;1. Ishøj Landsby;B;Radikale Venstre;Thomas Rohden, København;6
Ishøj;1. Ishøj Landsby;B;Radikale Venstre;Anne Møller Ronex, Holbæk;3
Ishøj;1. Ishøj Landsby;B;Radikale Venstre;Stinus Lindgreen, Lyngby-Taarbæk;2
