Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Listestemmer;229
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Lars Gaardhøj, København;14
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Trine Birk Andersen, Holbæk;46
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Jarl Feyling, København;0
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Sofie de Bretteville, Ballerup;3
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Michael Schmidt, Halsnæs;3
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Laila Kildesgaard, Bornholm;2
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Susanne Lundvald, Næstved;1
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Sara Smith Hald, Valby;0
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Nicolai Kampmann, Hvidovre;1
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Sine Reffstrup, Ringsted;4
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Vibeke Westh, Frederiksberg;0
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Susanne Due Kristensen, Hillerød;2
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Thomas Adelskov, Odsherred;9
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Brian Høier, Tårnby;3
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Martin Baden, Ishøj;0
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Torben Klitmøller Hollmann, Lolland;0
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Ole Terkelsen, Valby;1
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Martin Thor Pedersen, Helsingør;0
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Katrine Skov, Gladsaxe;0
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Lisette Lind Larsen, Faxe;0
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Ulrik Juhl Hansen, Vesterbro;0
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Kirsten Rask, Kalundborg;0
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Niels Christian Dahl, Allerød;5
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Hari Neupane, Ørestad;0
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Håkon Nielsen, Rødovre;0
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Helle Lethmar, Køge;1
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Bodil Kornbek, Lyngby-Taarbæk;0
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;John Hansen, Guldborgsund;0
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Kenneth Nielsen, Slagelse;1
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Claus Heje, Høje-Taastrup;0
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Rasmus Oxfeldt Larsen, Vordingborg;0
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Frederik Haugstrup Jacobsen, Østerbro;0
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Steen S. Hansen, Stevns;0
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Stina Højgaard, Greve;0
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;René Vejby Kierch, Roskilde;4
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Mikkel Krog, Lejre;27
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Jan Månsson, Sorø;0
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Camilla Hoffmann, København;0
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Line Andrup, Egedal;0
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Ludwig Heldt, København;0
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Stig Ekman, Bispebjerg;1
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Alice Rudkjær, Rudersdal;0
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Mille Koch Rømer, Østerbro;1
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Dickte Noël Toft, Hørsholm;0
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Felex Pedersen, Odsherred;0
Lejre;1. Hyllinge-Lyndby;A;Socialdemokratiet;Gitte Simoni, Roskilde;7
Lejre;1. Hyllinge-Lyndby;B;Radikale Venstre;Listestemmer;45
Lejre;1. Hyllinge-Lyndby;B;Radikale Venstre;Thomas Rohden, København;3
Lejre;1. Hyllinge-Lyndby;B;Radikale Venstre;Anne Møller Ronex, Holbæk;12
Lejre;1. Hyllinge-Lyndby;B;Radikale Venstre;Stinus Lindgreen, Lyngby-Taarbæk;0
Lejre;1. Hyllinge-Lyndby;B;Radikale Venstre;Jeppe Fransson, Roskilde;3
Lejre;1. Hyllinge-Lyndby;B;Radikale Venstre;Sofie Holm, København;5
Lejre;1. Hyllinge-Lyndby;B;Radikale Venstre;Christina Thorholm, Hillerød;0
Lejre;1. Hyllinge-Lyndby;B;Radikale Venstre;Nadeem Farooq, Høje-Taastrup;0
Lejre;1. Hyllinge-Lyndby;B;Radikale Venstre;Tine Hessner, Furesø;0
Lejre;1. Hyllinge-Lyndby;B;Radikale Venstre;Kristian Kirk Mailand, Bornholm;0
Lejre;1. Hyllinge-Lyndby;B;Radikale Venstre;Freja Wirlander, Hvidovre;0
Lejre;1. Hyllinge-Lyndby;B;Radikale Venstre;Ruben Kidde, Frederiksberg;0
Lejre;1. Hyllinge-Lyndby;B;Radikale Venstre;Vibeke Grønbæk, Vordingborg;0
Lejre;1. Hyllinge-Lyndby;B;Radikale Venstre;Line Krogh Lay, Stevns;0
Lejre;1. Hyllinge-Lyndby;B;Radikale Venstre;Brian Køster, Hvidovre;0
Lejre;1. Hyllinge-Lyndby;B;Radikale Venstre;Thomas Baark, Guldborgsund;0
Lejre;1. Hyllinge-Lyndby;B;Radikale Venstre;Lars Hoppe Søe, Næstved;1
Lejre;1. Hyllinge-Lyndby;B;Radikale Venstre;Jacob Netteberg, Birkerød;2
Lejre;1. Hyllinge-Lyndby;B;Radikale Venstre;Maria Katarina Nielsen, Frederikssund;1
Lejre;1. Hyllinge-Lyndby;B;Radikale Venstre;Søren Burcharth, København;0
Lejre;1. Hyllinge-Lyndby;B;Radikale Venstre;Julie Herdal Molbech, København;0
Lejre;1. Hyllinge-Lyndby;B;Radikale Venstre;Anders Medum Groth, Furesø;0
