Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Listestemmer;284
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Lars Gaardhøj, København;59
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Trine Birk Andersen, Holbæk;6
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Jarl Feyling, København;4
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Sofie de Bretteville, Ballerup;6
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Michael Schmidt, Halsnæs;1
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Laila Kildesgaard, Bornholm;11
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Susanne Lundvald, Næstved;0
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Sara Smith Hald, Valby;1
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Nicolai Kampmann, Hvidovre;5
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Sine Reffstrup, Ringsted;0
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Vibeke Westh, Frederiksberg;3
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Susanne Due Kristensen, Hillerød;4
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Thomas Adelskov, Odsherred;7
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Brian Høier, Tårnby;2
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Martin Baden, Ishøj;1
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Torben Klitmøller Hollmann, Lolland;3
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Ole Terkelsen, Valby;4
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Martin Thor Pedersen, Helsingør;0
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Katrine Skov, Gladsaxe;3
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Lisette Lind Larsen, Faxe;0
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Ulrik Juhl Hansen, Vesterbro;0
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Kirsten Rask, Kalundborg;2
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Niels Christian Dahl, Allerød;3
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Hari Neupane, Ørestad;1
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Håkon Nielsen, Rødovre;0
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Helle Lethmar, Køge;1
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Bodil Kornbek, Lyngby-Taarbæk;88
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;John Hansen, Guldborgsund;2
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Kenneth Nielsen, Slagelse;0
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Claus Heje, Høje-Taastrup;3
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Rasmus Oxfeldt Larsen, Vordingborg;5
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Frederik Haugstrup Jacobsen, Østerbro;1
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Steen S. Hansen, Stevns;0
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Stina Højgaard, Greve;0
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;René Vejby Kierch, Roskilde;2
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Mikkel Krog, Lejre;2
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Jan Månsson, Sorø;0
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Camilla Hoffmann, København;7
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Line Andrup, Egedal;1
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Ludwig Heldt, København;3
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Stig Ekman, Bispebjerg;1
Lyngby-Taarbæk;1. Lyngby Midt;A;Socialdemokratiet;Alice Rudkjær, Rudersdal;6
