Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Odsherred;1. Asnæs;A;Socialdemokratiet;Listestemmer;161
Odsherred;1. Asnæs;A;Socialdemokratiet;Lars Gaardhøj, København;8
Odsherred;1. Asnæs;A;Socialdemokratiet;Trine Birk Andersen, Holbæk;37
Odsherred;1. Asnæs;A;Socialdemokratiet;Jarl Feyling, København;0
Odsherred;1. Asnæs;A;Socialdemokratiet;Sofie de Bretteville, Ballerup;1
Odsherred;1. Asnæs;A;Socialdemokratiet;Michael Schmidt, Halsnæs;0
Odsherred;1. Asnæs;A;Socialdemokratiet;Laila Kildesgaard, Bornholm;0
Odsherred;1. Asnæs;A;Socialdemokratiet;Susanne Lundvald, Næstved;1
Odsherred;1. Asnæs;A;Socialdemokratiet;Sara Smith Hald, Valby;2
Odsherred;1. Asnæs;A;Socialdemokratiet;Nicolai Kampmann, Hvidovre;0
Odsherred;1. Asnæs;A;Socialdemokratiet;Sine Reffstrup, Ringsted;0
Odsherred;1. Asnæs;A;Socialdemokratiet;Vibeke Westh, Frederiksberg;0
Odsherred;1. Asnæs;A;Socialdemokratiet;Susanne Due Kristensen, Hillerød;0
Odsherred;1. Asnæs;A;Socialdemokratiet;Thomas Adelskov, Odsherred;593
Odsherred;1. Asnæs;A;Socialdemokratiet;Brian Høier, Tårnby;2
Odsherred;1. Asnæs;A;Socialdemokratiet;Martin Baden, Ishøj;0
Odsherred;1. Asnæs;A;Socialdemokratiet;Torben Klitmøller Hollmann, Lolland;0
Odsherred;1. Asnæs;A;Socialdemokratiet;Ole Terkelsen, Valby;0
Odsherred;1. Asnæs;A;Socialdemokratiet;Martin Thor Pedersen, Helsingør;0
Odsherred;1. Asnæs;A;Socialdemokratiet;Katrine Skov, Gladsaxe;1
Odsherred;1. Asnæs;A;Socialdemokratiet;Lisette Lind Larsen, Faxe;0
Odsherred;1. Asnæs;A;Socialdemokratiet;Ulrik Juhl Hansen, Vesterbro;0
Odsherred;1. Asnæs;A;Socialdemokratiet;Kirsten Rask, Kalundborg;2
Odsherred;1. Asnæs;A;Socialdemokratiet;Niels Christian Dahl, Allerød;1
Odsherred;1. Asnæs;A;Socialdemokratiet;Hari Neupane, Ørestad;0
Odsherred;1. Asnæs;A;Socialdemokratiet;Håkon Nielsen, Rødovre;2
Odsherred;1. Asnæs;A;Socialdemokratiet;Helle Lethmar, Køge;1
Odsherred;1. Asnæs;A;Socialdemokratiet;Bodil Kornbek, Lyngby-Taarbæk;0
Odsherred;1. Asnæs;A;Socialdemokratiet;John Hansen, Guldborgsund;0
Odsherred;1. Asnæs;A;Socialdemokratiet;Kenneth Nielsen, Slagelse;3
Odsherred;1. Asnæs;A;Socialdemokratiet;Claus Heje, Høje-Taastrup;0
Odsherred;1. Asnæs;A;Socialdemokratiet;Rasmus Oxfeldt Larsen, Vordingborg;2
Odsherred;1. Asnæs;A;Socialdemokratiet;Frederik Haugstrup Jacobsen, Østerbro;0
Odsherred;1. Asnæs;A;Socialdemokratiet;Steen S. Hansen, Stevns;0
Odsherred;1. Asnæs;A;Socialdemokratiet;Stina Højgaard, Greve;0
Odsherred;1. Asnæs;A;Socialdemokratiet;René Vejby Kierch, Roskilde;0
Odsherred;1. Asnæs;A;Socialdemokratiet;Mikkel Krog, Lejre;0
Odsherred;1. Asnæs;A;Socialdemokratiet;Jan Månsson, Sorø;0
Odsherred;1. Asnæs;A;Socialdemokratiet;Camilla Hoffmann, København;0
Odsherred;1. Asnæs;A;Socialdemokratiet;Line Andrup, Egedal;0
Odsherred;1. Asnæs;A;Socialdemokratiet;Ludwig Heldt, København;1
Odsherred;1. Asnæs;A;Socialdemokratiet;Stig Ekman, Bispebjerg;0
Odsherred;1. Asnæs;A;Socialdemokratiet;Alice Rudkjær, Rudersdal;0
Odsherred;1. Asnæs;A;Socialdemokratiet;Mille Koch Rømer, Østerbro;0
Odsherred;1. Asnæs;A;Socialdemokratiet;Dickte Noël Toft, Hørsholm;0
Odsherred;1. Asnæs;A;Socialdemokratiet;Felex Pedersen, Odsherred;70
Odsherred;1. Asnæs;A;Socialdemokratiet;Gitte Simoni, Roskilde;0
Odsherred;1. Asnæs;B;Radikale Venstre;Listestemmer;41
Odsherred;1. Asnæs;B;Radikale Venstre;Thomas Rohden, København;2
Odsherred;1. Asnæs;B;Radikale Venstre;Anne Møller Ronex, Holbæk;36
Odsherred;1. Asnæs;B;Radikale Venstre;Stinus Lindgreen, Lyngby-Taarbæk;1
Odsherred;1. Asnæs;B;Radikale Venstre;Jeppe Fransson, Roskilde;0
Odsherred;1. Asnæs;B;Radikale Venstre;Sofie Holm, København;1
Odsherred;1. Asnæs;B;Radikale Venstre;Christina Thorholm, Hillerød;1
Odsherred;1. Asnæs;B;Radikale Venstre;Nadeem Farooq, Høje-Taastrup;0
Odsherred;1. Asnæs;B;Radikale Venstre;Tine Hessner, Furesø;0
Odsherred;1. Asnæs;B;Radikale Venstre;Kristian Kirk Mailand, Bornholm;1
Odsherred;1. Asnæs;B;Radikale Venstre;Freja Wirlander, Hvidovre;0
Odsherred;1. Asnæs;B;Radikale Venstre;Ruben Kidde, Frederiksberg;0
Odsherred;1. Asnæs;B;Radikale Venstre;Vibeke Grønbæk, Vordingborg;0
Odsherred;1. Asnæs;B;Radikale Venstre;Line Krogh Lay, Stevns;0
Odsherred;1. Asnæs;B;Radikale Venstre;Brian Køster, Hvidovre;0
Odsherred;1. Asnæs;B;Radikale Venstre;Thomas Baark, Guldborgsund;1
Odsherred;1. Asnæs;B;Radikale Venstre;Lars Hoppe Søe, Næstved;0
Odsherred;1. Asnæs;B;Radikale Venstre;Jacob Netteberg, Birkerød;0
Odsherred;1. Asnæs;B;Radikale Venstre;Maria Katarina Nielsen, Frederikssund;0
Odsherred;1. Asnæs;B;Radikale Venstre;Søren Burcharth, København;0
Odsherred;1. Asnæs;B;Radikale Venstre;Julie Herdal Molbech, København;0
Odsherred;1. Asnæs;B;Radikale Venstre;Anders Medum Groth, Furesø;0
Odsherred;1. Asnæs;B;Radikale Venstre;Søs Haugaard, København;0
Odsherred;1. Asnæs;B;Radikale Venstre;Kim Pagels, Solrød;0
Odsherred;1. Asnæs;B;Radikale Venstre;Jørgen Suhr, Hillerød;0
Odsherred;1. Asnæs;B;Radikale Venstre;Martin Schepelern, København;0
Odsherred;1. Asnæs;B;Radikale Venstre;Christian Fink Elkjær, Rudersdal;0
Odsherred;1. Asnæs;B;Radikale Venstre;Peter L. Sørensen, Gribskov;0
Odsherred;1. Asnæs;B;Radikale Venstre;Gitte Kjær-Westermann, Lyngby-Taarbæk;0
Odsherred;1. Asnæs;B;Radikale Venstre;Kim Mandix, København;0
Odsherred;1. Asnæs;B;Radikale Venstre;Rikke Mortensen, Egedal;0
Odsherred;1. Asnæs;B;Radikale Venstre;Trine Dybkjær, Gentofte;1
Odsherred;1. Asnæs;B;Radikale Venstre;Marianne Bredgaard Karlsson, Fredensborg;0
Odsherred;1. Asnæs;B;Radikale Venstre;Christina Falkberg, Gladsaxe;1
Odsherred;1. Asnæs;B;Radikale Venstre;Kashif Ahmad, København;0
Odsherred;1. Asnæs;B;Radikale Venstre;Irfan Gilani, Brøndby;0
Odsherred;1. Asnæs;B;Radikale Venstre;Edris Qasimi, Sorø;0
Odsherred;1. Asnæs;B;Radikale Venstre;Lartey Lawson, København;0
Odsherred;1. Asnæs;B;Radikale Venstre;Oruc Polat, Albertslund;0
Odsherred;1. Asnæs;B;Radikale Venstre;Merete Them Kjølholm, Allerød;1
Odsherred;1. Asnæs;B;Radikale Venstre;Jesper Luthman, Espergærde;0
Odsherred;1. Asnæs;B;Radikale Venstre;Bjørn Bjerrehøj, Tårnby;0
Odsherred;1. Asnæs;B;Radikale Venstre;Claus Rehfeld, København;0
Odsherred;1. Asnæs;B;Radikale Venstre;Charlotte Saabye Sørensen, København N;0
Odsherred;1. Asnæs;B;Radikale Venstre;Lars Green Bach, Ballerup;0
Odsherred;1. Asnæs;B;Radikale Venstre;Claus Wachmann, Gladsaxe;0
Odsherred;1. Asnæs;B;Radikale Venstre;Alina Protsyk, København;0
Odsherred;1. Asnæs;B;Radikale Venstre;Marianne Fritzen, Odsherred;26
Odsherred;1. Asnæs;B;Radikale Venstre;Emilie U. Andersen-Ranberg, Hørsholm;1
Odsherred;1. Asnæs;B;Radikale Venstre;Magnus Dræby, Halsnæs;0
Odsherred;1. Asnæs;B;Radikale Venstre;Knud Mogensen, Helsingør;0
Odsherred;1. Asnæs;B;Radikale Venstre;Emilie Borch Sloth, Glostrup;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Listestemmer;48
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Christoffer Buster Reinhardt, Rudersdal;2
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Line Ervolder, København;2
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Christian Wedell-Neergaard, Køge;4
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Jesper Marcus, Gentofte;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Christian Vigilius, Gentofte;2
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Tina-Mia Eriksen, Ringsted;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Turan Akbulut, Høje-Taastrup;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Jacob Rosenberg, Frederiksberg;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Stine Østlund, Hillerød;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Mogens Anneberg, Bornholm;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Helge Adam Møller, Næstved;2
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Kenneth Gøtterup, Amager;1
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Dorte Vilhelmsen, Herlev;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Jørgen Johansen, Allerød;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Mogens Hallager, Roskilde;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Søren Friis Trebbien, Hvidovre;1
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Maj Allin Thorup, Hørsholm;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Patrick Lehto, Tårnby;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;John Tefke, Lyngby;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Lars Carstensen, Furesø;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Rico Djernis, København;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Trine Egetved, Gribskov;1
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Rebecca Plomin, Gladsaxe;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Mette Aagaard, Lolland;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Michael Mathiesen, Helsingør;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Vilhelm Møller, Faxe;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Birgitte Neergaard-Kofod, Egedal;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Thomas Christophersen, Holbæk;4
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Celine Lind Jakobsen, Fredensborg;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Claus Neergaard, Næstved;1
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Jan H. Klit, København;1
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Therese Hejnfelt, Frederikssund;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Carsten Petersen, Sorø;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Camilla Sabroe Parbst, Roskilde;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Frederik Germann, Halsnæs;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Jesper Adler, Vordingborg;1
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Thomas von Jessen, Fredensborg;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Ali Ünsal, Køge;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Henrik Jacobsen, Lolland;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Jesper Tvilde, Fredensborg;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Egon Bo, Slagelse;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Kim Drejer Nielsen, Rødovre;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Peter Horsted Hansen, Odsherred;16
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Jane Christensen, Kalundborg;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Jess Eiberg Hansen, Greve;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Jan Færch, Solrød;1
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Simon Krabbe, Ballerup;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Ida Busk, København;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Victoria Helene Olsen, Roskilde;1
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Mathias Schwartz Kirkegaard, Greve;0
Odsherred;1. Asnæs;C;Det Konservative Folkeparti;Egil Hulgaard, Furesø;0
Odsherred;1. Asnæs;F;SF - Socialistisk Folkeparti;Listestemmer;81
Odsherred;1. Asnæs;F;SF - Socialistisk Folkeparti;Peter Westermann, København;7
Odsherred;1. Asnæs;F;SF - Socialistisk Folkeparti;Hanne Svenningsen, Lejre;14
Odsherred;1. Asnæs;F;SF - Socialistisk Folkeparti;Sadek Al-Amood, Valby;1
Odsherred;1. Asnæs;F;SF - Socialistisk Folkeparti;Emilie Esmann, Amager;4
Odsherred;1. Asnæs;F;SF - Socialistisk Folkeparti;Julie Hoff Sørensen, Stevns;5
Odsherred;1. Asnæs;F;SF - Socialistisk Folkeparti;Anja Rosengreen, Halsnæs;1
Odsherred;1. Asnæs;F;SF - Socialistisk Folkeparti;Phillip Bergenhammer Østergaard, Tårnby;0
Odsherred;1. Asnæs;F;SF - Socialistisk Folkeparti;Joan Kragh, Guldborgsund;1
Odsherred;1. Asnæs;F;SF - Socialistisk Folkeparti;Thomas Garfort, Rønne;0
Odsherred;1. Asnæs;F;SF - Socialistisk Folkeparti;Trine Schaltz, København;1
Odsherred;1. Asnæs;F;SF - Socialistisk Folkeparti;Kirsten Balle, Herlev;0
Odsherred;1. Asnæs;F;SF - Socialistisk Folkeparti;Maja Roesen, Køge;2
Odsherred;1. Asnæs;F;SF - Socialistisk Folkeparti;Frank Hedegaard, København;0
Odsherred;1. Asnæs;F;SF - Socialistisk Folkeparti;Bente Borg Donkin, Helsingør;0
Odsherred;1. Asnæs;F;SF - Socialistisk Folkeparti;Kim Elmose, Roskilde;0
