Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Vordingborg;1. Vordingborg;A;Socialdemokratiet;Listestemmer;488
Vordingborg;1. Vordingborg;A;Socialdemokratiet;Lars Gaardhøj, København;55
Vordingborg;1. Vordingborg;A;Socialdemokratiet;Trine Birk Andersen, Holbæk;30
Vordingborg;1. Vordingborg;A;Socialdemokratiet;Jarl Feyling, København;2
Vordingborg;1. Vordingborg;A;Socialdemokratiet;Sofie de Bretteville, Ballerup;3
Vordingborg;1. Vordingborg;A;Socialdemokratiet;Michael Schmidt, Halsnæs;10
Vordingborg;1. Vordingborg;A;Socialdemokratiet;Laila Kildesgaard, Bornholm;2
Vordingborg;1. Vordingborg;A;Socialdemokratiet;Susanne Lundvald, Næstved;91
Vordingborg;1. Vordingborg;A;Socialdemokratiet;Sara Smith Hald, Valby;2
Vordingborg;1. Vordingborg;A;Socialdemokratiet;Nicolai Kampmann, Hvidovre;6
Vordingborg;1. Vordingborg;A;Socialdemokratiet;Sine Reffstrup, Ringsted;3
Vordingborg;1. Vordingborg;A;Socialdemokratiet;Vibeke Westh, Frederiksberg;4
Vordingborg;1. Vordingborg;A;Socialdemokratiet;Susanne Due Kristensen, Hillerød;3
Vordingborg;1. Vordingborg;A;Socialdemokratiet;Thomas Adelskov, Odsherred;4
Vordingborg;1. Vordingborg;A;Socialdemokratiet;Brian Høier, Tårnby;1
Vordingborg;1. Vordingborg;A;Socialdemokratiet;Martin Baden, Ishøj;0
Vordingborg;1. Vordingborg;A;Socialdemokratiet;Torben Klitmøller Hollmann, Lolland;56
Vordingborg;1. Vordingborg;A;Socialdemokratiet;Ole Terkelsen, Valby;3
Vordingborg;1. Vordingborg;A;Socialdemokratiet;Martin Thor Pedersen, Helsingør;0
Vordingborg;1. Vordingborg;A;Socialdemokratiet;Katrine Skov, Gladsaxe;1
Vordingborg;1. Vordingborg;A;Socialdemokratiet;Lisette Lind Larsen, Faxe;8
Vordingborg;1. Vordingborg;A;Socialdemokratiet;Ulrik Juhl Hansen, Vesterbro;0
Vordingborg;1. Vordingborg;A;Socialdemokratiet;Kirsten Rask, Kalundborg;3
Vordingborg;1. Vordingborg;A;Socialdemokratiet;Niels Christian Dahl, Allerød;2
Vordingborg;1. Vordingborg;A;Socialdemokratiet;Hari Neupane, Ørestad;0
Vordingborg;1. Vordingborg;A;Socialdemokratiet;Håkon Nielsen, Rødovre;0
Vordingborg;1. Vordingborg;A;Socialdemokratiet;Helle Lethmar, Køge;1
