Kreds,valgsted_navn,kandidat_navn,parti,stemmer,Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,Socialdemokratiet,249,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Christel Schaldemose,Socialdemokratiet,268,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Niels Fuglsang,Socialdemokratiet,19,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Marianne Vind,Socialdemokratiet,18,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Magnus Barsøe,Socialdemokratiet,14,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Asser Mortensen,Socialdemokratiet,5,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Mathias Niebuhr,Socialdemokratiet,19,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Niels Christian Dahl,Socialdemokratiet,16,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Andi Helbo Sejersen,Socialdemokratiet,3,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Tayo Lill Andreasen,Socialdemokratiet,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Maria Radoor,Socialdemokratiet,37,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,Radikale Venstre,255,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Sigrid Friis,Radikale Venstre,198,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Anne Sophie Callesen,Radikale Venstre,15,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Philip Tarning-Andersen,Radikale Venstre,4,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Anne-Sofie Sadolin Henningsen,Radikale Venstre,12,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Charlotte Amdi Burgess,Radikale Venstre,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Kathrine Olldag,Radikale Venstre,2,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Frederik Aagaard Sørensen,Radikale Venstre,11,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Hediye Temiz,Radikale Venstre,21,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Jens Frost,Radikale Venstre,3,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,João Møller,Radikale Venstre,3,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Jan Werner Mathiasen,Radikale Venstre,13,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Kim Pagels,Radikale Venstre,5,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Finn Hartvig Nielsen,Radikale Venstre,2,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Sissel van Run-Kvist,Radikale Venstre,12,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Martin Schepelern,Radikale Venstre,8,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Michael Flarup,Radikale Venstre,9,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Asmus Knigge Vilster,Radikale Venstre,3,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Nikolai Tange,Radikale Venstre,9,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Lars Fogh Mortensen,Radikale Venstre,4,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Lartey Lawson,Radikale Venstre,7,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,Det Konservative Folkeparti,258,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Niels Flemming Hansen,Det Konservative Folkeparti,55,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Marcus Knuth,Det Konservative Folkeparti,22,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Birgitte Bergman,Det Konservative Folkeparti,19,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Maria Pryds,Det Konservative Folkeparti,14,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Steen Holm Iversen,Det Konservative Folkeparti,8,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Tina-Mia Eriksen,Det Konservative Folkeparti,12,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Søren Friis Trebbien,Det Konservative Folkeparti,13,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Flemming Agerskov,Det Konservative Folkeparti,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Jacob Rosenberg,Det Konservative Folkeparti,2,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Natasja Bruun Knudsen,Det Konservative Folkeparti,2,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Egil Hulgaard,Det Konservative Folkeparti,14,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Helle Laursen Petersen,Det Konservative Folkeparti,6,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Manuel Vigilius,Det Konservative Folkeparti,4,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Barbara Engelstoft,Det Konservative Folkeparti,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Nicklas Verne,Det Konservative Folkeparti,5,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Vladimir Stanic,Det Konservative Folkeparti,23,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Elisabeth Ildal,Det Konservative Folkeparti,2,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Martin Vendel Nielsen,Det Konservative Folkeparti,2,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,John Hoppe,Det Konservative Folkeparti,15,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Jacob Stryhn,Det Konservative Folkeparti,9,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,SF - Socialistisk Folkeparti,458,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Kira Marie Peter-Hansen,SF - Socialistisk Folkeparti,531,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Rasmus Nordqvist,SF - Socialistisk Folkeparti,23,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Villy Søvndal,SF - Socialistisk Folkeparti,158,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Rikke Lauritsen,SF - Socialistisk Folkeparti,20,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Magnus Flensborg,SF - Socialistisk Folkeparti,15,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Kristine Amalie Rostgård,SF - Socialistisk Folkeparti,26,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Melina Andersen,SF - Socialistisk Folkeparti,4,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Taner Genc,SF - Socialistisk Folkeparti,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Andreas Grosbøll,SF - Socialistisk Folkeparti,10,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Michael Egelund Andersen,SF - Socialistisk Folkeparti,2,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Joan Kragh,SF - Socialistisk Folkeparti,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Thue Grum-Schwensen,SF - Socialistisk Folkeparti,2,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Mads Hvid,SF - Socialistisk Folkeparti,3,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,John Brandt,SF - Socialistisk Folkeparti,4,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Anders Bøge,SF - Socialistisk Folkeparti,3,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Pia Lieberknecht,SF - Socialistisk Folkeparti,2,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Emil Njor,SF - Socialistisk Folkeparti,6,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Elias Julius Binggeli,SF - Socialistisk Folkeparti,5,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Kim Elmose,SF - Socialistisk Folkeparti,2,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Allan Søgaard-Andersen,SF - Socialistisk Folkeparti,8,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,Liberal Alliance,181,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Henrik Dahl,Liberal Alliance,112,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Mads Strange,Liberal Alliance,38,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Thorbjørn Jacobsen,Liberal Alliance,4,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Carsten Normann,Liberal Alliance,2,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Helle Jensen,Liberal Alliance,5,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Martin Sibast Laugesen,Liberal Alliance,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Thomas Vesth,Liberal Alliance,3,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Nikolaj Steffenauer,Liberal Alliance,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Danny Malkowski,Liberal Alliance,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Lars Høyer Holmqvist,Liberal Alliance,4,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Louise Siv Ebbesen,Liberal Alliance,8,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Chelle Lilly,Liberal Alliance,4,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,Moderaterne,76,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Stine Bosse,Moderaterne,100,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Bergur Løkke Rasmussen,Moderaterne,30,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Tobias Marney,Moderaterne,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Laurs Nørlund,Moderaterne,2,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Barikan Solecki,Moderaterne,2,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Klavs A. Holm,Moderaterne,4,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Karin Liltorp,Moderaterne,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Ivar Nørlund,Moderaterne,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Frederik Lau Petersen,Moderaterne,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Abdinoor Adam Hassan,Moderaterne,7,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Dea Kehler,Moderaterne,3,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Lars Barfoed,Moderaterne,5,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,Dansk Folkeparti,97,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Anders Vistisen,Dansk Folkeparti,59,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Majbritt Birkholm,Dansk Folkeparti,7,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Tobias Weische,Dansk Folkeparti,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Hans Blaaberg,Dansk Folkeparti,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Finn Rudaizky,Dansk Folkeparti,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Sune Nørgaard Jakobsen,Dansk Folkeparti,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Carsten Sørensen,Dansk Folkeparti,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Michael Nedersøe,Dansk Folkeparti,3,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Rune Bønnelykke,Dansk Folkeparti,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Julie Jacobsen,Dansk Folkeparti,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Søren Hansen,Dansk Folkeparti,4,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Inger-Marie Tryde,Dansk Folkeparti,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Mette Sode Hansen,Dansk Folkeparti,3,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Henrik Thinggaard,Dansk Folkeparti,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Birgitte Milling,Dansk Folkeparti,3,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Søren Lund Hansen,Dansk Folkeparti,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Bonett Trusell,Dansk Folkeparti,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Stine Steffensen,Dansk Folkeparti,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,"Venstre, Danmarks Liberale Parti",151,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Morten Løkkegaard,"Venstre, Danmarks Liberale Parti",160,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Asger Christensen,"Venstre, Danmarks Liberale Parti",15,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Ulla Tørnæs,"Venstre, Danmarks Liberale Parti",15,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Julie Hassing,"Venstre, Danmarks Liberale Parti",10,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Marianne Lynghøj,"Venstre, Danmarks Liberale Parti",41,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Carsten Kissmeyer,"Venstre, Danmarks Liberale Parti",9,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Alexandra Sasha,"Venstre, Danmarks Liberale Parti",3,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Jonas Pullich,"Venstre, Danmarks Liberale Parti",40,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Torsten Laksafoss Holbek,"Venstre, Danmarks Liberale Parti",2,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Thorbern Alexander Klingert,"Venstre, Danmarks Liberale Parti",7,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Jakob Dyrman,"Venstre, Danmarks Liberale Parti",2,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Niels Plum,"Venstre, Danmarks Liberale Parti",4,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,Danmarksdemokraterne,79,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Kristoffer Storm,Danmarksdemokraterne,26,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Vivi Altenburg,Danmarksdemokraterne,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Magnus Bigum,Danmarksdemokraterne,3,Fyns Storkreds
