Kreds,valgsted_navn,kandidat_navn,parti,stemmer,Storkreds
Frederikshavnkredsen,1. Skagen,Partiliste,Socialdemokratiet,207,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Christel Schaldemose,Socialdemokratiet,177,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Niels Fuglsang,Socialdemokratiet,18,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Marianne Vind,Socialdemokratiet,24,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Magnus Barsøe,Socialdemokratiet,5,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Asser Mortensen,Socialdemokratiet,111,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Mathias Niebuhr,Socialdemokratiet,2,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Niels Christian Dahl,Socialdemokratiet,5,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Andi Helbo Sejersen,Socialdemokratiet,3,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Tayo Lill Andreasen,Socialdemokratiet,0,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Maria Radoor,Socialdemokratiet,6,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Partiliste,Radikale Venstre,21,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Sigrid Friis,Radikale Venstre,30,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Anne Sophie Callesen,Radikale Venstre,0,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Philip Tarning-Andersen,Radikale Venstre,0,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Anne-Sofie Sadolin Henningsen,Radikale Venstre,0,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Charlotte Amdi Burgess,Radikale Venstre,0,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Kathrine Olldag,Radikale Venstre,2,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Frederik Aagaard Sørensen,Radikale Venstre,0,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Hediye Temiz,Radikale Venstre,1,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Jens Frost,Radikale Venstre,0,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,João Møller,Radikale Venstre,0,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Jan Werner Mathiasen,Radikale Venstre,0,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Kim Pagels,Radikale Venstre,0,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Finn Hartvig Nielsen,Radikale Venstre,0,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Sissel van Run-Kvist,Radikale Venstre,1,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Martin Schepelern,Radikale Venstre,0,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Michael Flarup,Radikale Venstre,1,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Asmus Knigge Vilster,Radikale Venstre,2,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Nikolai Tange,Radikale Venstre,0,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Lars Fogh Mortensen,Radikale Venstre,1,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Lartey Lawson,Radikale Venstre,0,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Partiliste,Det Konservative Folkeparti,59,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Niels Flemming Hansen,Det Konservative Folkeparti,55,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Marcus Knuth,Det Konservative Folkeparti,10,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Birgitte Bergman,Det Konservative Folkeparti,7,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Maria Pryds,Det Konservative Folkeparti,2,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Steen Holm Iversen,Det Konservative Folkeparti,2,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Tina-Mia Eriksen,Det Konservative Folkeparti,3,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Søren Friis Trebbien,Det Konservative Folkeparti,2,Nordjyllands Storkreds
